institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
102719,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,42,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Business Risks: Policies,22,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Climate Change Governance,90,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Climate Risk Management,100,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Climate Strategy Impacts,100,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Climate-Related Management Incentives,100,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),14,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,EMS: Certification/ Audit/ Verification,27,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,ESG Products and Services (Financial Services),0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Emissions from Business Travel,22,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Energy Use,25,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Environmental Management Systems Database / Information S,16,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Environmental Reporting - Coverage,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Environmental Reporting - Materiality,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Environmental Risk Management,37,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Financial Opportunities Arising from Climate Change,19,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Financial Risks of Climate Change,16,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Implementation of Infrastructure / Project Finance Polici,29,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),21,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Low-Carbon Products,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Responsible Environmental Business Practices,19,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Sustainability Reporting Assurance,25,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Waste Disposal,25,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Water Use,18,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Audit Conflict of Interest,90,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Board Effectiveness,70,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Board Gender Diversity,27,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Board Type,100,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Brand Evaluation,32,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Brand Management Approach,7,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Brand Metrics Used,10,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Codes of Conduct,78,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Codes of Conduct: Coverage,75,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Corporate Governance Policy,70,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Corruption & Bribery,60,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Crime Prevention: Business Policy/ Procedures,23,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Crime Prevention: Provision of Training,11,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Crime Prevention: Transaction Monitoring,26,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Crisis State Aid,,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Customer Data Security & Data Privacy,25,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Customer Feedback Process,20,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Customer Satisfaction Measurement,27,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Global Systemically Important Banks,,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Involvement of Stakeholders in Product Development,27,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,70,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Online Financial Services: Success,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Opportunities,14,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Reporting on breaches,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Responsibilities and Committees,75,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Risk Governance,71,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Risk Map,4,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Risk Optimization,27,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Risk Review,10,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Risk Strategy,20,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Supplier Risk Management Measures,3,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Supply Chain Risk Exposure,19,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Supply Chain Transparency & Reporting,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Transparency of Executive Compensation,100,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Absentee Rate,13,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Absenteeism: Work-Related Stress,14,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,16,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Business and Human Rights,10,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,CEO Compensation - Success Metrics,60,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Controversial Issues: Dilemmas Guidelines,15,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Controversial Issues: Dilemmas Implementation,12,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Corporate Citizenship Strategy,80,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,33,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Employee Support Programs,21,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Employee Turnover Rate,30,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Financial Inclusion Products & Services,10,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Human Capital Performance Indicators,20,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Human Resource Skill Mapping and Developing Process,37,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Measuring Benefits,50,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,OHS Governance Framework,19,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,OHS Governance Oversight,19,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,OHS Training & Education,17,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Payout Type of Total Performance-Related Compensation,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Percentage of Performance Related Compensation for each E,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Personal and Organizational Learning and Development,20,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Philanthropic Contributions,18,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Social Reporting - Assurance,25,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Social Reporting - Coverage,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Social Reporting - Materiality,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Social Reporting - Quantitative Data,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Stakeholder Engagement Governance,17,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Stakeholder Engagement Review,16,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Trend of Employee Wellbeing,22,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Type of Performance Appraisal,20,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Type of Philanthropic Activities,50,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Workforce Breakdown: Gender,9,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Dimension,Economic Governance Dimension,57,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Dimension,Environmental Dimension,31,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Dimension,Social Dimension,31,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Business Risks and Opportunities,24,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Climate Strategy,60,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Environmental Policy & Management Systems,47,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Environmental Reporting,6,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Operational Eco-Efficiency,21,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Anti-crime Policy & Measures,52,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Brand Management,42,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Business Ethics,70,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Corporate Governance,81,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Customer Relationship Management,44,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Financial Stability & Systemic Risk,,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Risk & Crisis Management,50,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Supply Chain Management,34,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Controversial Issues: Dilemmas in Lending & Financing,39,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Corporate Citizenship & Philanthropy,43,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Financial Inclusion,10,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Human Capital Development,25,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Labor Practice Indicators,47,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Occupational Health & Safety,17,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Social Reporting,6,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Stakeholder Engagement,46,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Talent Attraction & Retention,38,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,35,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Business Risks: Policies,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Climate Change Governance,90,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Climate Risk Management,100,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Climate Strategy Impacts,100,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Climate-Related Management Incentives,100,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,EMS: Certification/ Audit/ Verification,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,ESG Products and Services (Financial Services),0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Emissions from Business Travel,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Energy Use,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Environmental Management Systems Database / Information S,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Environmental Reporting - Coverage,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Environmental Reporting - Materiality,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Environmental Risk Management,37,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Financial Opportunities Arising from Climate Change,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Financial Risks of Climate Change,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Implementation of Infrastructure / Project Finance Polici,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Low-Carbon Products,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Responsible Environmental Business Practices,19,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Sustainability Reporting Assurance,25,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Waste Disposal,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Water Use,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Audit Conflict of Interest,90,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Board Effectiveness,70,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Board Gender Diversity,27,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Board Type,100,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Brand Evaluation,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Brand Management Approach,7,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Brand Metrics Used,10,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Codes of Conduct,78,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Codes of Conduct: Coverage,75,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Corporate Governance Policy,70,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Corruption & Bribery,60,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Crime Prevention: Business Policy/ Procedures,23,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Crime Prevention: Provision of Training,11,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Crime Prevention: Transaction Monitoring,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Crisis State Aid,,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Customer Data Security & Data Privacy,25,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Customer Feedback Process,20,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Customer Satisfaction Measurement,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Global Systemically Important Banks,,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Involvement of Stakeholders in Product Development,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,70,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Online Financial Services: Success,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Opportunities,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Reporting on breaches,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Responsibilities and Committees,75,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Risk Governance,71,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Risk Map,4,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Risk Optimization,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Risk Review,10,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Risk Strategy,20,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Supplier Risk Management Measures,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Supply Chain Risk Exposure,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Supply Chain Transparency & Reporting,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Transparency of Executive Compensation,100,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Absentee Rate,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Absenteeism: Work-Related Stress,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Business and Human Rights,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,CEO Compensation - Success Metrics,60,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Controversial Issues: Dilemmas Guidelines,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Controversial Issues: Dilemmas Implementation,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Corporate Citizenship Strategy,80,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,33,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Employee Support Programs,21,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Employee Turnover Rate,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Financial Inclusion Products & Services,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Human Capital Performance Indicators,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Human Resource Skill Mapping and Developing Process,37,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Measuring Benefits,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,OHS Governance Framework,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,OHS Governance Oversight,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,OHS Training & Education,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Payout Type of Total Performance-Related Compensation,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Percentage of Performance Related Compensation for each E,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Personal and Organizational Learning and Development,20,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Philanthropic Contributions,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Social Reporting - Assurance,25,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Social Reporting - Coverage,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Social Reporting - Materiality,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Social Reporting - Quantitative Data,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Stakeholder Engagement Governance,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Stakeholder Engagement Review,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Trend of Employee Wellbeing,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Type of Performance Appraisal,20,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Type of Philanthropic Activities,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Question,Workforce Breakdown: Gender,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Dimension,Economic Governance Dimension,53,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Dimension,Environmental Dimension,22,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Dimension,Social Dimension,22,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Business Risks and Opportunities,15,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Climate Strategy,55,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Environmental Policy & Management Systems,36,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Environmental Reporting,6,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Operational Eco-Efficiency,3,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Anti-crime Policy & Measures,48,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Brand Management,34,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Business Ethics,70,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Corporate Governance,81,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Customer Relationship Management,36,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Financial Stability & Systemic Risk,,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Risk & Crisis Management,46,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Supply Chain Management,30,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Controversial Issues: Dilemmas in Lending & Financing,30,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Corporate Citizenship & Philanthropy,16,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Financial Inclusion,0,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Human Capital Development,17,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Labor Practice Indicators,42,004885,BEN,"Franklin Resources, Inc."
102719,2013-09-12,Criteria,Occupational Health & Safety,4,004885,BEN,"Franklin Resources, Inc."
