institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4086734,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,43,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,43,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Certifications of Agricultural Crops,54,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Certifications of Agricultural Crops,54,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Climate Change Governance,100,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Climate Change Governance,100,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Climate Risk Management,100,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Climate Risk Management,100,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Climate Strategy Impacts,100,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Climate Strategy Impacts,100,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Climate-Related Management Incentives,100,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Climate-Related Management Incentives,100,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Corporate Environmental Policy,100,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Corporate Environmental Policy,100,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Corporate Environmental Policy: Areas,34,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Corporate Environmental Policy: Areas,34,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),58,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),58,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,EMS: Certification/ Audit/ Verification,10,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,EMS: Certification/ Audit/ Verification,10,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,EP - Electricity Purchased,0,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,EP - Electricity Purchased,0,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Emissions Reduction Targets,100,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Emissions Reduction Targets,100,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Energy Use,27,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Energy Use,27,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Environmental Reporting - Coverage,0,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Environmental Reporting - Coverage,0,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Environmental Reporting - Materiality,12,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Environmental Reporting - Materiality,12,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Environmental Reporting - Quantitative Data,34,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Environmental Reporting - Quantitative Data,34,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Financial Risks of Climate Change,20,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Financial Risks of Climate Change,20,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,GMO Labeling,0,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,GMO Labeling,0,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,GMO Statement,75,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,GMO Statement,75,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),10,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),10,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),16,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),16,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Issues Covered in Environmental Guidelines and Standards,32,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Issues Covered in Environmental Guidelines and Standards,32,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Low-Carbon Products,0,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Low-Carbon Products,0,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Packaging Commitment,50,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Packaging Commitment,50,,,"Brown-Forman Corporation., Asset Management Arm"
4086734,2013-09-12,Question,Packaging Materials,54,002435,BF.B,Brown-Forman Corporation
4086734,2013-09-12,Question,Packaging Materials,54,,,"Brown-Forman Corporation., Asset Management Arm"
