institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4500439,2014-03-18,S&P Global ESG Score,S&P Global ESG Score,41,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Certifications of Agricultural Crops,49,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Climate Change Governance,44,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Climate Risk Management,30,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Climate Strategy Impacts,25,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Climate-Related Management Incentives,,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Corporate Environmental Policy,100,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Corporate Environmental Policy: Areas,34,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Direct Greenhouse Gas Emissions (Scope 1),0,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,EMS: Certification/ Audit/ Verification,30,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,EP - Electricity Purchased,16,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Emissions Reduction Targets,71,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Energy Use,0,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Environmental Reporting - Coverage,100,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Environmental Reporting - Materiality,0,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Environmental Reporting - Quantitative Data,34,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Financial Opportunities Arising from Climate Change,14,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Financial Risks of Climate Change,10,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,GMO Labeling,0,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,GMO Statement,12,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Indirect Greenhouse Gas Emissions (Scope 2),0,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Indirect Greenhouse Gas Emissions (Scope 3),17,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Issues Covered in Environmental Guidelines and Standards,76,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Low-Carbon Products,16,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,MSC Certification,0,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Packaging Commitment,90,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Packaging Materials,50,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Share of Organic Products,49,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Sustainability Reporting Assurance,19,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Sustainable Agriculture Commitment,50,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Tools / Processes / Systems / Standards / Frameworks used,6,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Waste Disposal,0,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Water Consumption,0,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Analysis of Risks,100,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Audit Conflict of Interest,100,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Board Effectiveness,70,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Board Gender Diversity,0,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Board Type,100,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,CEO-to-Employee Pay Ratio,0,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Codes of Conduct,89,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Codes of Conduct: Coverage,75,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Codes of Conduct: Systems/ Procedures,56,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Corporate Governance Policy,100,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Corruption & Bribery,20,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Crisis Preparedness,25,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Critical Supplier Identification,24,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Development of Health & Nutrition Strategy,80,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,ESG Integration in SCM Strategy,22,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Emerging Market Exposure & Strategy,8,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Environmental Innovation,15,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Health & Nutrition Product Innovation Capabilities for NE,0,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Health & Nutrition Reformulation,20,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Knowledge Transfer,31,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Marketing Self-Regulation on Health & Nutrition,12,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Measuring Purchasing Power,0,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Non-Executive Chairperson/ Lead Director,70,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Open Innovation,41,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Opportunities,29,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Pricing Strategy & Responsibility,38,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Process Innovations,40,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Product Adaptation for Emerging Markets (B2C),30,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Product Innovations,34,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,R&D Core or Basic Research,33,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,R&D Development Stages,32,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,R&D Ideation or Applied Research,38,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,R&D Launch,40,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,R&D Post-Launch,34,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,R&D Spending,40,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Reporting on breaches,0,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Responsibilities and Committees,75,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Responsibility Risk & Crisis Management (including Water,60,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Risk Response Strategy,80,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Risks Correlation,39,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Sensitivity Analysis & Stress Testing (including Water an,40,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Social Innovation,20,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Supplier Risk Management Measures,4,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Supply Chain Risk Exposure,31,144435,BG,Bunge Global SA
4500439,2014-03-18,Question,Supply Chain Transparency & Reporting,10,144435,BG,Bunge Global SA
