institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4152157,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,78,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Climate Change Governance,90,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Climate Risk Management,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Climate Strategy Impacts,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Climate-Related Management Incentives,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Coverage of Environmental Management Policy,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),90,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,EMS: Certification/ Audit/ Verification,83,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,EP - Biological Oxygen Demand,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Emissions Reduction Targets,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Energy Use,90,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Environmental Reporting - Coverage,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Environmental Reporting - Materiality,56,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Environmental Reporting - Quantitative Data,67,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Financial Opportunities Arising from Climate Change,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Financial Risks of Climate Change,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Hazardous Waste,80,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),66,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Low-Carbon Products,0,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Sustainability Reporting Assurance,85,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Waste Disposal,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Water Use,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Analysis of Risks,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Audit Conflict of Interest,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Board Effectiveness,63,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Board Gender Diversity,50,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Board Type,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,CEO-to-Employee Pay Ratio,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Codes of Conduct,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Codes of Conduct: Coverage,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,78,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Corporate Governance Policy,80,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Corruption & Bribery,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Critical Supplier Identification,95,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Customer Feedback Process,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Customer Satisfaction Measurement,48,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Direct-to-Consumer Marketing,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Direct-to-Consumer Marketing: OPDP,0,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Direct-to-Consumer Marketing: Policies,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,ESG Integration in SCM Strategy,53,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Environmental Innovation,,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Ethical Marketing - Complaints Tracking,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Ethical Marketing Commitment,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Open Innovation,98,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Opportunities,0,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Process Innovations,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Product Innovations (Healthcare),28,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,R&D Core or Basic Research,90,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,R&D Development Stages,78,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,R&D Ideation or Applied Research,90,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,R&D Launch,90,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,R&D Post-Launch,90,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,R&D Spending,100,024468,BIIB,Biogen Inc.
4152157,2013-09-12,Question,Reporting on breaches,0,024468,BIIB,Biogen Inc.
