institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4122589,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,34,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Corporate Environmental Policy: Areas,10,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),14,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,EMS: Certification/ Audit/ Verification,21,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Energy Use,14,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Environmental Reporting - Coverage,0,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Environmental Reporting - Materiality,0,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),17,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Packaging Commitment,19,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Sustainability Reporting Assurance,0,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Waste Disposal,14,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Water Use,16,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Analysis of Customer Value,29,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Analysis of Risks,0,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Audit Conflict of Interest,100,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Board Effectiveness,60,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Board Gender Diversity,4,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Board Type,100,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Brand Metrics Used,16,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Branding Strategies,14,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Codes of Conduct,100,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Codes of Conduct: Coverage,50,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,78,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Corporate Governance Policy,80,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Corruption & Bribery,60,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Critical Supplier Identification,19,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Customer Feedback Process,40,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Customer Satisfaction Measurement,24,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,ESG Integration in SCM Strategy,13,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Emerging Market Exposure & Strategy,0,119314,BKNG,Booking Holdings Inc.
4122589,2013-09-12,Question,Green Factor Analysis,19,119314,BKNG,Booking Holdings Inc.
