institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
6893503,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,74,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Centralized Data Collection System,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Coverage of Environmental Management Policy,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),90,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,EMS: Certification/ Audit/ Verification,55,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Energy Use,90,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Environmental Reporting - Coverage,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Environmental Reporting - Materiality,47,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Exposure to Hazardous Substances,64,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Hydrocarbon Spills,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),90,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Natural Gas Leakage and Flaring,,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Sustainability Reporting Assurance,25,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Waste Disposal,70,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Water Use,80,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Analysis of Risks,40,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Audit Conflict of Interest,92,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Board Effectiveness,85,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Board Gender Diversity,27,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Board Type,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,CEO-to-Employee Pay Ratio,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Codes of Conduct,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Codes of Conduct: Coverage,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,78,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Corporate Governance Policy,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Corruption & Bribery,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Crisis Preparedness,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Critical Supplier Identification,75,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Customer Feedback Process,60,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Customer Satisfaction Measurement,76,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,ESG Integration in SCM Strategy,83,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Examples,50,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Investments with High Environmental and Social Impact,60,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,60,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Opportunities,30,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Reporting on breaches,0,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Responsibilities and Committees,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Responsibility Risk & Crisis Management (including Climat,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Risk Response Strategy,80,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Risks Correlation,40,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Sensitivity Analysis & Stress Testing,70,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Supplier Risk Management Measures,61,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Supply Chain Risk Exposure,75,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Supply Chain Transparency & Reporting,0,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Transparency of Executive Compensation,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,40,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Business and Human Rights,40,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,CEO Compensation - Success Metrics,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Corporate Citizenship Strategy,70,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Employee Turnover Rate,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Fatalities,70,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Human Capital Performance Indicators,40,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Human Resource Skill Mapping and Developing Process,95,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Lost-Time Injury Frequency Rate (LTIFR) - Contractors,0,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Lost-Time Injury Frequency Rate (LTIFR) - Employees,35,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Measuring Benefits,0,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Occupational Illness Frequency Rate (OIFR) - Employees,100,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Payout Type of Total Performance-Related Compensation,0,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Percentage of Performance Related Compensation for each E,60,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Personal and Organizational Learning and Development,80,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Philanthropic Contributions,30,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Social Reporting - Assurance,25,032106,BKR,Baker Hughes Company
6893503,2013-09-12,Question,Social Reporting - Coverage,100,032106,BKR,Baker Hughes Company
