institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
100144,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,66,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,66,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,66,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Business Risks: Policies,,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Business Risks: Policies,,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Business Risks: Policies,,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Climate Change Governance,100,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Climate Change Governance,100,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Climate Change Governance,100,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Climate Risk Management,100,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Climate Risk Management,100,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Climate Risk Management,100,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Climate Strategy Impacts,100,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Climate Strategy Impacts,100,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Climate Strategy Impacts,100,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Climate-Related Management Incentives,100,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Climate-Related Management Incentives,100,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Climate-Related Management Incentives,100,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),90,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),90,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),90,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,EMS: Certification/ Audit/ Verification,76,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,EMS: Certification/ Audit/ Verification,76,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,EMS: Certification/ Audit/ Verification,76,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,ESG Products and Services (Financial Services),9,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,ESG Products and Services (Financial Services),9,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,ESG Products and Services (Financial Services),9,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Emissions from Business Travel,80,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Emissions from Business Travel,80,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Emissions from Business Travel,80,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Energy Use,80,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Energy Use,80,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Energy Use,80,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Environmental Management Systems Database / Information S,85,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Environmental Management Systems Database / Information S,85,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Environmental Management Systems Database / Information S,85,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Environmental Reporting - Coverage,100,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Environmental Reporting - Coverage,100,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Environmental Reporting - Coverage,100,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Environmental Reporting - Materiality,68,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Environmental Reporting - Materiality,68,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Environmental Reporting - Materiality,68,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Environmental Reporting - Quantitative Data,67,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Environmental Reporting - Quantitative Data,67,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Environmental Reporting - Quantitative Data,67,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Environmental Risk Management,50,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Environmental Risk Management,50,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Environmental Risk Management,50,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Financial Opportunities Arising from Climate Change,100,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Financial Opportunities Arising from Climate Change,100,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Financial Opportunities Arising from Climate Change,100,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Financial Risks of Climate Change,100,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Financial Risks of Climate Change,100,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Financial Risks of Climate Change,100,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Implementation of Infrastructure / Project Finance Polici,,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Implementation of Infrastructure / Project Finance Polici,,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Implementation of Infrastructure / Project Finance Polici,,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Low-Carbon Products,0,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Low-Carbon Products,0,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Low-Carbon Products,0,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Responsible Environmental Business Practices,64,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Responsible Environmental Business Practices,64,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Responsible Environmental Business Practices,64,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Sustainability Reporting Assurance,25,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Sustainability Reporting Assurance,25,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Sustainability Reporting Assurance,25,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Waste Disposal,66,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Waste Disposal,66,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Waste Disposal,66,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Water Use,2,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Water Use,2,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Water Use,2,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Audit Conflict of Interest,99,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Audit Conflict of Interest,99,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Audit Conflict of Interest,99,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Board Effectiveness,60,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Board Effectiveness,60,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Board Effectiveness,60,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Board Gender Diversity,22,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Board Gender Diversity,22,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
100144,2013-09-12,Question,Board Gender Diversity,22,,,"The Bank of New York Mellon Corporation, Investment Arm"
100144,2013-09-12,Question,Board Type,100,002019,BK,The Bank of New York Mellon Corporation
100144,2013-09-12,Question,Board Type,100,,,"The Bank of New York Mellon Corp, Private Banking & Securities Investments"
