institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4048287,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,38,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Business Risks: Policies,28,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Climate Change Governance,41,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Climate Risk Management,28,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Climate Strategy Impacts,23,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Climate-Related Management Incentives,46,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),12,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,EMS: Certification/ Audit/ Verification,25,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,ESG Products and Services (Financial Services),21,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Emissions from Business Travel,21,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Energy Use,23,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Environmental Management Systems Database / Information S,13,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Environmental Reporting - Coverage,0,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Environmental Reporting - Materiality,0,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Environmental Risk Management,13,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Financial Opportunities Arising from Climate Change,17,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Financial Risks of Climate Change,13,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Implementation of Infrastructure / Project Finance Polici,26,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),18,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Low-Carbon Products,12,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Responsible Environmental Business Practices,8,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Sustainability Reporting Assurance,0,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Waste Disposal,23,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Water Use,16,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Audit Conflict of Interest,94,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Board Effectiveness,60,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Board Gender Diversity,2,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Board Type,50,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Brand Evaluation,29,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Brand Management Approach,7,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Brand Metrics Used,9,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Codes of Conduct,89,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Codes of Conduct: Coverage,50,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Corporate Governance Policy,88,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Corruption & Bribery,80,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Crime Prevention: Business Policy/ Procedures,23,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Crime Prevention: Provision of Training,11,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Crime Prevention: Transaction Monitoring,23,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Crisis State Aid,23,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Customer Data Security & Data Privacy,25,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Customer Feedback Process,20,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Customer Satisfaction Measurement,25,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Global Systemically Important Banks,,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Involvement of Stakeholders in Product Development,20,124434,BLK,"BlackRock, Inc."
4048287,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,60,124434,BLK,"BlackRock, Inc."
