institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4623856,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,72,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,Chemical Oxygen Demand,0,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,Climate Change Governance,90,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,Climate Risk Management,100,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,Climate Strategy Impacts,100,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,Climate-Related Management Incentives,100,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,Coverage of Environmental Management Policy,100,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),80,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,EMS: Certification/ Audit/ Verification,38,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,EP - Biological Oxygen Demand,0,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,EP - Electricity Purchased,80,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,Emissions Reduction Targets,100,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,Energy Use,80,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,Environmental Reporting - Coverage,100,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,Environmental Reporting - Materiality,30,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,Financial Risks of Climate Change,45,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,Hazardous Waste,10,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,002403,BMY,Bristol-Myers Squibb Company
4623856,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),50,002403,BMY,Bristol-Myers Squibb Company
