institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
103462,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,31,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Corporate Environmental Policy: Areas,6,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),13,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,EMS: Certification/ Audit/ Verification,20,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Early Detection of Risks in Product Development,18,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Emissions from Business Travel,8,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Energy Use,17,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Environmental / Social / Ethical elements of Underwriting,40,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Environmental Management Systems Database / Information S,7,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Environmental Reporting - Coverage,0,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Environmental Reporting - Materiality,0,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),13,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Investments,16,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Products / Services,9,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Responsible Environmental Business Practices,6,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Risk Training,18,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Sustainability Reporting Assurance,0,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Waste Disposal,11,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Water Use,8,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Audit Conflict of Interest,100,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Board Effectiveness,60,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Board Gender Diversity,22,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Board Type,100,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Brand Evaluation,28,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Brand Management Approach,3,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Brand Metrics Used,15,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Codes of Conduct,77,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Codes of Conduct: Coverage,50,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Corporate Governance Policy,62,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Corruption & Bribery,20,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Customer Data Security & Data Privacy,18,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Customer Feedback Process,20,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Customer Satisfaction Measurement,20,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Digital Strategy,12,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,0,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Online Financial Services: Success,5,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Opportunities,15,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Reporting on breaches,0,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Responsibilities and Committees,75,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Risk Governance,63,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Risk Map,0,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Risk Optimization,19,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Risk Review,4,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Risk Strategy,20,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Supplier Risk Management Measures,3,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Supply Chain Risk Exposure,14,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Supply Chain Transparency & Reporting,5,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Transparency of Executive Compensation,80,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Absentee Rate,8,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Absenteeism: Work-Related Stress,14,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Access to Insurance/ Social Value Added,9,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,15,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Business and Human Rights,12,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,CEO Compensation - Success Metrics,7,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Corporate Citizenship Strategy,18,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,11,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Employee Support Programs,10,002176,BRK.A,Berkshire Hathaway Inc.
103462,2013-09-12,Question,Employee Turnover Rate,26,002176,BRK.A,Berkshire Hathaway Inc.
