institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
103448,2020-01-17,S&P Global ESG Score,S&P Global ESG Score,11,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,S&P Global ESG Score,S&P Global ESG Score,11,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Climate Risk Management,39,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Climate Risk Management,39,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Climate-Related Management Incentives,,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Climate-Related Management Incentives,,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Direct Greenhouse Gas Emissions (Scope 1),0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Direct Greenhouse Gas Emissions (Scope 1),0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Emissions Reduction Targets,26,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Emissions Reduction Targets,26,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Emissions from Business Travel,,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Emissions from Business Travel,,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Energy Use,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Energy Use,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Environmental Reporting - Coverage,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Environmental Reporting - Coverage,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Environmental Reporting - Quantitative Data,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Environmental Reporting - Quantitative Data,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Indirect Greenhouse Gas Emissions (Scope 2),4,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Indirect Greenhouse Gas Emissions (Scope 2),4,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Indirect Greenhouse Gas Emissions (Scope 3),16,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Indirect Greenhouse Gas Emissions (Scope 3),16,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Internal Carbon Pricing,,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Internal Carbon Pricing,,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Low-Carbon Products,,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Low-Carbon Products,,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Scenario Analysis,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Scenario Analysis,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Sustainability Reporting Assurance,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Sustainability Reporting Assurance,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Waste Disposal,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Waste Disposal,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Water Use,2,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Water Use,2,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Anti-Competitive Practices,,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Anti-Competitive Practices,,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Board Average Tenure,77,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Board Average Tenure,77,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Board Diversity Policy,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Board Diversity Policy,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Board Effectiveness,38,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Board Effectiveness,38,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Board Gender Diversity,14,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Board Gender Diversity,14,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Board Industry Experience,77,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Board Industry Experience,77,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Board Type,52,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Board Type,52,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Breaches of Customer Privacy: Complaints,11,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Breaches of Customer Privacy: Complaints,11,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,CEO Compensation - Long-Term Performance Alignment,,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,CEO Compensation - Long-Term Performance Alignment,,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,CEO Compensation - Success Metrics,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,CEO Compensation - Success Metrics,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,CEO-to-Employee Pay Ratio,,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,CEO-to-Employee Pay Ratio,,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Codes of Conduct,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Codes of Conduct,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Codes of Conduct: Coverage,,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Codes of Conduct: Coverage,,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Codes of Conduct: Systems/ Procedures,,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Codes of Conduct: Systems/ Procedures,,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Contributions & Other Spending,5,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Contributions & Other Spending,5,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Corruption & Bribery,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Corruption & Bribery,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Corruption & Bribery Cases,,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Corruption & Bribery Cases,,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Customer Privacy Information,,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Customer Privacy Information,,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Customer Satisfaction Measurement,8,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Customer Satisfaction Measurement,8,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Dual Class Shares,100,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Dual Class Shares,100,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,ESG Integration into Governance & Strategy,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,ESG Integration into Governance & Strategy,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Effective Tax Rate,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Effective Tax Rate,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Emerging Risks,,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Emerging Risks,,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Family Ownership,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Family Ownership,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Government Ownership,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Government Ownership,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,IT Security/ Cybersecurity Breaches,15,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,IT Security/ Cybersecurity Breaches,15,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,IT Security/ Cybersecurity Governance,100,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,IT Security/ Cybersecurity Governance,100,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,IT Security/ Cybersecurity Measures,11,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,IT Security/ Cybersecurity Measures,11,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,IT Security/ Cybersecurity Process & Infrastructure,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,IT Security/ Cybersecurity Process & Infrastructure,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Integration of ESG Criteria for Asset Owners,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Integration of ESG Criteria for Asset Owners,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Integration of ESG Criteria in Asset Management (INS),,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Integration of ESG Criteria in Asset Management (INS),,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Involvement of Stakeholders,,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Involvement of Stakeholders,,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Largest Contributions & Expenditures,,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Largest Contributions & Expenditures,,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Management Ownership,100,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Management Ownership,100,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Management Ownership Requirements,60,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Management Ownership Requirements,60,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Material Issues for Enterprise Value Creation,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Material Issues for Enterprise Value Creation,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Materiality Analysis,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Materiality Analysis,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Non-Executive Chairperson/ Lead Director,70,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Non-Executive Chairperson/ Lead Director,70,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Principles for Sustainable Insurance,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Principles for Sustainable Insurance,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Privacy Policy: Systems/ Procedures,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Privacy Policy: Systems/ Procedures,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Reporting on breaches,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Reporting on breaches,0,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Risk Culture,,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Risk Culture,,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Risk Governance,30,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Risk Governance,30,,,"Brown & Brown Inc., Asset Management Arm"
103448,2020-01-17,Question,Sustainable Insurance Underwriting Policy,0,015417,BRO,"Brown & Brown, Inc."
103448,2020-01-17,Question,Sustainable Insurance Underwriting Policy,0,,,"Brown & Brown Inc., Asset Management Arm"
