institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4157226,2017-04-19,S&P Global ESG Score,S&P Global ESG Score,42,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Climate Change Governance,100,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Climate Risk Management,100,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Climate Strategy - CDP Alignment,,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Climate Strategy Impacts,100,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Climate-Related Management Incentives,100,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Corporate Environmental Policy: Areas,34,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Data Center Efficiency,27,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Denominator - Revenues,,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Direct Greenhouse Gas Emissions (Scope 1),53,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,EMS: Certification/ Audit/ Verification,21,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,EP - Electricity Purchased,60,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Emissions Reduction Targets,100,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Energy Use,60,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Environmental Reporting - Coverage,55,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Environmental Reporting - Quantitative Data,0,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Financial Opportunities Arising from Climate Change,20,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Financial Risks of Climate Change,45,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Indirect Greenhouse Gas Emissions (Scope 2),34,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Indirect Greenhouse Gas Emissions (Scope 3),67,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Low-Carbon Products,30,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Share of Renewable Energy in Data Centers,32,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Sustainability Reporting Assurance,0,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Waste Disposal,24,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Water Use,18,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Anti-Competitive Practices,0,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Board Diversity Policy,50,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Board Effectiveness,58,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Board Gender Diversity,4,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Board Type,100,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Breaches of Customer Privacy: Complaints,23,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,CEO Compensation - Success Metrics,46,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,CEO-to-Employee Pay Ratio,38,176928,BR,"Broadridge Financial Solutions, Inc."
4157226,2017-04-19,Question,Certification and Audits of IT System,45,176928,BR,"Broadridge Financial Solutions, Inc."
