institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4810597,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,38,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,38,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Climate Change Governance,100,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Climate Change Governance,100,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Climate Risk Management,100,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Climate Risk Management,100,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Climate Strategy Impacts,22,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Climate Strategy Impacts,22,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Climate-Related Management Incentives,0,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Climate-Related Management Incentives,0,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Coverage of Environmental Management Policy,23,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Coverage of Environmental Management Policy,23,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),10,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),10,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,EMS: Certification/ Audit/ Verification,95,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,EMS: Certification/ Audit/ Verification,95,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,EP - Biological Oxygen Demand,0,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,EP - Biological Oxygen Demand,0,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,EP - Electricity Purchased,14,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,EP - Electricity Purchased,14,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Emissions Reduction Targets,37,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Emissions Reduction Targets,37,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Energy Use,15,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Energy Use,15,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Environmental Reporting - Coverage,0,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Environmental Reporting - Coverage,0,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Environmental Reporting - Materiality,0,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Environmental Reporting - Materiality,0,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Environmental Reporting - Quantitative Data,66,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Environmental Reporting - Quantitative Data,66,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Financial Opportunities Arising from Climate Change,12,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Financial Opportunities Arising from Climate Change,12,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Financial Risks of Climate Change,13,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Financial Risks of Climate Change,13,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Hazardous Waste,20,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Hazardous Waste,20,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),14,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),14,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),16,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),16,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Low-Carbon Products,0,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Low-Carbon Products,0,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Sustainability Reporting Assurance,6,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Sustainability Reporting Assurance,6,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Volatile Organic Compounds Emissions,21,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Volatile Organic Compounds Emissions,21,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Waste Disposal,10,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Waste Disposal,10,,,"Boston Scientific Corp, Asset Management Arm"
4810597,2013-09-12,Question,Water Use,10,025279,BSX,Boston Scientific Corporation
4810597,2013-09-12,Question,Water Use,10,,,"Boston Scientific Corp, Asset Management Arm"
