institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4910640,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,40,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,40,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Climate Change Governance,40,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Climate Change Governance,40,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Climate Risk Management,27,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Climate Risk Management,27,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Climate Strategy Impacts,22,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Climate Strategy Impacts,22,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Climate-Related Management Incentives,45,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Climate-Related Management Incentives,45,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Coverage of Environmental Management Policy,45,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Coverage of Environmental Management Policy,45,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),19,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),19,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,EMS: Certification/ Audit/ Verification,40,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,EMS: Certification/ Audit/ Verification,40,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Emissions Reduction Targets,36,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Emissions Reduction Targets,36,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,End of Life Cycle Responsibility,13,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,End of Life Cycle Responsibility,13,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Energy Use,23,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Energy Use,23,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Environmental Labels & Declarations,43,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Environmental Labels & Declarations,43,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Environmental Reporting - Coverage,0,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Environmental Reporting - Coverage,0,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Environmental Reporting - Materiality,0,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Environmental Reporting - Materiality,0,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Financial Opportunities Arising from Climate Change,13,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Financial Opportunities Arising from Climate Change,13,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Financial Risks of Climate Change,12,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Financial Risks of Climate Change,12,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),27,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),27,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),14,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),14,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Life Cycle Assessment,35,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Life Cycle Assessment,35,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Life Cycle Research Projects,45,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Life Cycle Research Projects,45,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Low-Carbon Products,17,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Low-Carbon Products,17,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Product Design Criteria,16,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Product Design Criteria,16,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Responsibilities and Management System,25,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Responsibilities and Management System,25,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Sustainability Reporting Assurance,13,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Sustainability Reporting Assurance,13,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Waste Disposal,20,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Waste Disposal,20,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Water Use,20,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Water Use,20,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Analysis of Risks,0,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Analysis of Risks,0,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Audit Conflict of Interest,100,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Audit Conflict of Interest,100,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Board Effectiveness,60,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Board Effectiveness,60,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Board Gender Diversity,0,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Board Gender Diversity,0,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Board Type,100,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Board Type,100,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Codes of Conduct,89,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Codes of Conduct,89,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Codes of Conduct: Coverage,75,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Codes of Conduct: Coverage,75,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Corporate Governance Policy,88,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Corporate Governance Policy,88,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Corruption & Bribery,40,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Corruption & Bribery,40,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Crisis Preparedness,22,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Crisis Preparedness,22,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Critical Supplier Identification,25,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Critical Supplier Identification,25,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,ESG Integration in SCM Strategy,16,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,ESG Integration in SCM Strategy,16,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Environmental Impact from Transportation,16,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Environmental Impact from Transportation,16,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,80,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,80,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Open Innovation,27,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Open Innovation,27,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Opportunities,16,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Opportunities,16,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,R&D Spending,40,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,R&D Spending,40,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Reporting on breaches,0,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Reporting on breaches,0,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Responsibilities and Committees,75,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Responsibilities and Committees,75,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Responsibility Risk & Crisis Management (including Water,21,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Responsibility Risk & Crisis Management (including Water,21,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Risk Response Strategy,80,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Risk Response Strategy,80,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Risks Correlation,36,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Risks Correlation,36,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Sensitivity Analysis & Stress Testing,100,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Sensitivity Analysis & Stress Testing,100,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Supplier Risk Management Measures,10,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Supplier Risk Management Measures,10,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Supply Chain Risk Exposure,26,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Supply Chain Risk Exposure,26,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Supply Chain Transparency & Reporting,10,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Supply Chain Transparency & Reporting,10,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Transparency of Executive Compensation,100,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Transparency of Executive Compensation,100,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,13,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,13,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Business and Human Rights,11,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Business and Human Rights,11,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,CEO Compensation - Success Metrics,40,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,CEO Compensation - Success Metrics,40,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Corporate Citizenship Strategy,20,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Corporate Citizenship Strategy,20,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,33,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,33,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Employee Support Programs,11,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Employee Support Programs,11,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Employee Turnover Rate,33,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Employee Turnover Rate,33,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Health Management,33,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Health Management,33,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Healthy Lifestyle Incentive,31,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Healthy Lifestyle Incentive,31,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Human Capital Performance Indicators,18,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Human Capital Performance Indicators,18,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Human Resource Skill Mapping and Developing Process,100,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Human Resource Skill Mapping and Developing Process,100,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Measuring Benefits,45,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,Measuring Benefits,45,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,OHS Governance Framework,15,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,OHS Governance Framework,15,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,OHS Governance: Work-Related Risks Management System,14,028742,BWA,BorgWarner Inc.
4910640,2013-09-12,Question,OHS Governance: Work-Related Risks Management System,14,,,"BorgWarner Inc., Asset Management Arm"
4910640,2013-09-12,Question,Occupational Illness Frequency Rate (OIFR) - Employees,45,028742,BWA,BorgWarner Inc.
