institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
112885,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,37,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Approach Towards Biodiversity: Assurance,21,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Approach Towards Biodiversity: Reporting,28,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Biodiversity Commitment,22,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Centralized Data Collection System,0,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Certified Wood,43,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Climate Change Governance,39,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Climate Risk Management,26,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Climate Strategy Impacts,21,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Climate-Related Management Incentives,43,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Construction Waste Management,42,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),15,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,EMS: Certification/ Audit/ Verification,27,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,EP - Electricity Purchased,19,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Energy Efficiency Programs for Real Estate Portfolio,70,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Energy Use,17,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Environmental Reporting - Coverage,100,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Environmental Reporting - Materiality,0,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Financial Opportunities Arising from Climate Change,16,064925,BXP,"Boston Properties, Inc."
112885,2013-09-12,Question,Financial Risks of Climate Change,13,064925,BXP,"Boston Properties, Inc."
