institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4157397,2019-03-21,S&P Global ESG Score,S&P Global ESG Score,13,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,S&P Global ESG Score,S&P Global ESG Score,13,177088,BX,Blackstone Inc.
4157397,2019-03-21,S&P Global ESG Score,S&P Global ESG Score,13,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,Business Risks: Policies,7,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,Business Risks: Policies,7,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,Business Risks: Policies,7,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,Climate Risk Management,35,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,Climate Risk Management,35,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,Climate Risk Management,35,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,Climate Strategy - CDP Alignment,,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,Climate Strategy - CDP Alignment,,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,Climate Strategy - CDP Alignment,,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,Climate Strategy Impacts,25,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,Climate Strategy Impacts,25,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,Climate Strategy Impacts,25,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,Climate-Related Management Incentives,20,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,Climate-Related Management Incentives,20,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,Climate-Related Management Incentives,20,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,Direct Greenhouse Gas Emissions (Scope 1),4,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,Direct Greenhouse Gas Emissions (Scope 1),4,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,Direct Greenhouse Gas Emissions (Scope 1),4,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,EMS: Certification/ Audit/ Verification,14,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,EMS: Certification/ Audit/ Verification,14,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,EMS: Certification/ Audit/ Verification,14,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,ESG Products and Services (Financial Services),5,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,ESG Products and Services (Financial Services),5,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,ESG Products and Services (Financial Services),5,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,Emissions Reduction Targets,23,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,Emissions Reduction Targets,23,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,Emissions Reduction Targets,23,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,Emissions from Business Travel,5,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,Emissions from Business Travel,5,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,Emissions from Business Travel,5,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,Energy Use,2,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,Energy Use,2,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,Energy Use,2,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,Environmental Reporting - Coverage,0,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,Environmental Reporting - Coverage,0,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,Environmental Reporting - Coverage,0,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,Environmental Reporting - Quantitative Data,0,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,Environmental Reporting - Quantitative Data,0,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,Environmental Reporting - Quantitative Data,0,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,Environmental Risk Management,9,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,Environmental Risk Management,9,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,Environmental Risk Management,9,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,Financial Opportunities Arising from Climate Change,8,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,Financial Opportunities Arising from Climate Change,8,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,Financial Opportunities Arising from Climate Change,8,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,Financial Risks of Climate Change,5,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,Financial Risks of Climate Change,5,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,Financial Risks of Climate Change,5,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,Implementation of Infrastructure / Project Finance Polici,13,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,Implementation of Infrastructure / Project Finance Polici,13,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,Implementation of Infrastructure / Project Finance Polici,13,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,Indirect Greenhouse Gas Emissions (Scope 2),4,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,Indirect Greenhouse Gas Emissions (Scope 2),4,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,Indirect Greenhouse Gas Emissions (Scope 2),4,,,"The Blackstone Group L.P., Investment Banking Arm"
4157397,2019-03-21,Question,Indirect Greenhouse Gas Emissions (Scope 3),15,,,"The Blackstone Group, Private Equity Group"
4157397,2019-03-21,Question,Indirect Greenhouse Gas Emissions (Scope 3),15,177088,BX,Blackstone Inc.
4157397,2019-03-21,Question,Indirect Greenhouse Gas Emissions (Scope 3),15,,,"The Blackstone Group L.P., Investment Banking Arm"
