institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4101861,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,78,003362,CAG,"Conagra Brands, Inc."
4101861,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,78,,,"ConAgra Foods, Inc., Asset Management Arm"
4101861,2013-09-12,Question,Certifications of Agricultural Crops,25,003362,CAG,"Conagra Brands, Inc."
4101861,2013-09-12,Question,Certifications of Agricultural Crops,25,,,"ConAgra Foods, Inc., Asset Management Arm"
4101861,2013-09-12,Question,Climate Change Governance,100,003362,CAG,"Conagra Brands, Inc."
4101861,2013-09-12,Question,Climate Change Governance,100,,,"ConAgra Foods, Inc., Asset Management Arm"
4101861,2013-09-12,Question,Climate Risk Management,100,003362,CAG,"Conagra Brands, Inc."
4101861,2013-09-12,Question,Climate Risk Management,100,,,"ConAgra Foods, Inc., Asset Management Arm"
4101861,2013-09-12,Question,Climate Strategy Impacts,100,003362,CAG,"Conagra Brands, Inc."
4101861,2013-09-12,Question,Climate Strategy Impacts,100,,,"ConAgra Foods, Inc., Asset Management Arm"
4101861,2013-09-12,Question,Climate-Related Management Incentives,100,003362,CAG,"Conagra Brands, Inc."
4101861,2013-09-12,Question,Climate-Related Management Incentives,100,,,"ConAgra Foods, Inc., Asset Management Arm"
4101861,2013-09-12,Question,Corporate Environmental Policy,100,003362,CAG,"Conagra Brands, Inc."
4101861,2013-09-12,Question,Corporate Environmental Policy,100,,,"ConAgra Foods, Inc., Asset Management Arm"
4101861,2013-09-12,Question,Corporate Environmental Policy: Areas,100,003362,CAG,"Conagra Brands, Inc."
4101861,2013-09-12,Question,Corporate Environmental Policy: Areas,100,,,"ConAgra Foods, Inc., Asset Management Arm"
4101861,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),60,003362,CAG,"Conagra Brands, Inc."
4101861,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),60,,,"ConAgra Foods, Inc., Asset Management Arm"
4101861,2013-09-12,Question,EMS: Certification/ Audit/ Verification,4,003362,CAG,"Conagra Brands, Inc."
4101861,2013-09-12,Question,EMS: Certification/ Audit/ Verification,4,,,"ConAgra Foods, Inc., Asset Management Arm"
4101861,2013-09-12,Question,EP - Electricity Purchased,52,003362,CAG,"Conagra Brands, Inc."
4101861,2013-09-12,Question,EP - Electricity Purchased,52,,,"ConAgra Foods, Inc., Asset Management Arm"
4101861,2013-09-12,Question,Emissions Reduction Targets,100,003362,CAG,"Conagra Brands, Inc."
4101861,2013-09-12,Question,Emissions Reduction Targets,100,,,"ConAgra Foods, Inc., Asset Management Arm"
4101861,2013-09-12,Question,Energy Use,52,003362,CAG,"Conagra Brands, Inc."
4101861,2013-09-12,Question,Energy Use,52,,,"ConAgra Foods, Inc., Asset Management Arm"
4101861,2013-09-12,Question,Environmental Reporting - Coverage,100,003362,CAG,"Conagra Brands, Inc."
4101861,2013-09-12,Question,Environmental Reporting - Coverage,100,,,"ConAgra Foods, Inc., Asset Management Arm"
