institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4073203,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,50,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Climate Change Governance,90,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Climate Risk Management,100,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Climate Strategy Impacts,50,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Climate-Related Management Incentives,100,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Corporate Environmental Policy,100,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Corporate Environmental Policy: Areas,67,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),69,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,EMS: Certification/ Audit/ Verification,50,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Emissions Reduction Targets,0,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Energy Use,60,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Environmental Reporting - Coverage,0,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Environmental Reporting - Materiality,0,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Financial Opportunities Arising from Climate Change,0,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Financial Risks of Climate Change,,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),63,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),16,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Low-Carbon Products,0,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Sustainability Reporting Assurance,19,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Waste Disposal,9,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Water Use,58,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Analysis of Risks,40,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Audit Conflict of Interest,100,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Board Effectiveness,85,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Board Gender Diversity,50,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Board Type,100,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Codes of Conduct,100,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Codes of Conduct: Coverage,100,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,78,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Corporate Governance Policy,88,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Corruption & Bribery,60,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Critical Supplier Identification,27,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Customer Feedback Process,100,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Customer Satisfaction Measurement,8,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,ESG Integration in SCM Strategy,23,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Ethical Marketing - Complaints Tracking,40,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Ethical Marketing Commitment,16,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,60,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Opportunities,17,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Quality Management & Audits of Distribution Networks,18,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Reporting on breaches,0,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Responsibilities and Committees,75,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Responsibility Risk & Crisis Management,100,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Risk Response Strategy,80,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Sensitivity Analysis & Stress Testing,70,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Supplier Risk Management Measures,9,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Supply Chain Risk Exposure,22,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Supply Chain Transparency & Reporting,5,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Transparency of Executive Compensation,100,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,27,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Business and Human Rights,3,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,CEO Compensation - Success Metrics,60,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Contribution to Increasing Quality of Life and Therapeuti,0,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Corporate Citizenship Strategy,80,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,80,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Employee Support Programs,52,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Employee Turnover Rate,30,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Health Management,100,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Healthy Lifestyle Incentive,100,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Home Related Nursing,0,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Human Capital Performance Indicators,100,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Human Resource Skill Mapping and Developing Process,100,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Measuring Benefits,20,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Occupational Illness Frequency Rate (OIFR) - Employees,0,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Partnerships Aspects for Sustainable Healthcare,27,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Partnerships Expenses,18,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Payout Type of Total Performance-Related Compensation,0,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Percentage of Performance Related Compensation for each E,20,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Personal and Organizational Learning and Development,70,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Philanthropic Contributions,29,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Social Reporting - Assurance,25,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Social Reporting - Coverage,0,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Social Reporting - Materiality,0,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Social Reporting - Quantitative Data,0,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Stakeholder Engagement Governance,16,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Stakeholder Engagement Review,6,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Trend of Employee Wellbeing,40,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Type of Performance Appraisal,40,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Type of Philanthropic Activities,100,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Workforce Breakdown: Gender,22,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Dimension,Economic Governance Dimension,62,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Dimension,Environmental Dimension,47,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Dimension,Social Dimension,42,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Climate Strategy,44,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Environmental Policy & Management Systems,73,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Environmental Reporting,5,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Operational Eco-Efficiency,53,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Business Ethics,76,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Corporate Governance,86,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Customer Relationship Management,44,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Marketing Practices,57,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Risk & Crisis Management,72,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Supply Chain Management,41,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Corporate Citizenship & Philanthropy,52,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Human Capital Development,91,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Labor Practice Indicators,52,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Occupational Health & Safety,63,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Partnerships Towards Sustainable Healthcare,25,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Service to Patients,0,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Social Reporting,6,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Stakeholder Engagement,42,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Criteria,Talent Attraction & Retention,49,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,45,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Climate Change Governance,90,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Climate Risk Management,100,002751,CAH,"Cardinal Health, Inc."
4073203,2013-09-12,Question,Climate Strategy Impacts,50,002751,CAH,"Cardinal Health, Inc."
