institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4158618,2020-12-18,S&P Global ESG Score,S&P Global ESG Score,40,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,S&P Global ESG Score,S&P Global ESG Score,40,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Business Impacts of Water Related Incidents,67,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Business Impacts of Water Related Incidents,67,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Climate Risk Management,67,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Climate Risk Management,67,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Climate Strategy Impacts,67,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Climate Strategy Impacts,67,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Climate-Related Management Incentives,51,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Climate-Related Management Incentives,51,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Coverage of Environmental Management Policy,40,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Coverage of Environmental Management Policy,40,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Direct Greenhouse Gas Emissions (Scope 1),90,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Direct Greenhouse Gas Emissions (Scope 1),90,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Dust Emissions,24,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Dust Emissions,24,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,EMS: Certification/ Audit/ Verification,37,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,EMS: Certification/ Audit/ Verification,37,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Emissions Reduction Targets,100,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Emissions Reduction Targets,100,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Encouraging Sustainable Building,67,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Encouraging Sustainable Building,67,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Energy Consumption,70,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Energy Consumption,70,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Environmental Labels & Declarations,10,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Environmental Labels & Declarations,10,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Environmental Reporting - Coverage,100,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Environmental Reporting - Coverage,100,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Environmental Violations,53,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Environmental Violations,53,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Exposure to Water Stressed Areas,,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Exposure to Water Stressed Areas,,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Financial Opportunities Arising from Climate Change,54,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Financial Opportunities Arising from Climate Change,54,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Financial Risks of Climate Change,54,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Financial Risks of Climate Change,54,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Hazardous Substances Commitment,67,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Hazardous Substances Commitment,67,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Hazardous Waste,20,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Hazardous Waste,20,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Indirect Greenhouse Gas Emissions (Scope 2),90,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Indirect Greenhouse Gas Emissions (Scope 2),90,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Indirect Greenhouse Gas Emissions (Scope 3),51,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Indirect Greenhouse Gas Emissions (Scope 3),51,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Internal Carbon Pricing,56,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Internal Carbon Pricing,56,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Life Cycle Assessment,27,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Life Cycle Assessment,27,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Low-Carbon Products,47,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Low-Carbon Products,47,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,NOx Emissions,37,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,NOx Emissions,37,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Product Design Criteria,67,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Product Design Criteria,67,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Quantity & Quality-Related Water Risks,46,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Quantity & Quality-Related Water Risks,46,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Raw Material Substitution,67,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Raw Material Substitution,67,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Resource Efficiency Benefits of Products,51,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,Resource Efficiency Benefits of Products,51,036191,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,SOx Emissions,24,002789,CARR,Carrier Global Corporation
4158618,2020-12-18,Question,SOx Emissions,24,036191,CARR,Carrier Global Corporation
