institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
114523,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,69,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Centralized Data Collection System,100,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Climate Change Governance,100,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Climate Risk Management,100,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Climate Strategy Impacts,50,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Climate-Related Management Incentives,40,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Coverage of Environmental Management Policy,100,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),80,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,EMS: Certification/ Audit/ Verification,54,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,EP - Electricity Purchased,70,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Emissions Reduction Targets,100,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,End of Life Cycle Responsibility,18,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Energy Use,70,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Environmental Labels & Declarations,10,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Environmental Reporting - Coverage,100,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Environmental Reporting - Materiality,74,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Exposure of Suppliers to Water Risks,0,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Financial Opportunities Arising from Climate Change,0,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Financial Risks of Climate Change,20,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Hazardous Waste,47,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),83,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Life Cycle Assessment,49,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Life Cycle Research Projects,100,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Low-Carbon Products,30,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Product Design Criteria,100,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Quantity & Quality-Related Water Risks,25,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Responsibilities and Management System,60,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Sustainability Reporting Assurance,25,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Target and Progress,100,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Tools / Processes / Systems / Standards / Frameworks used,84,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Volatile Organic Compounds Emissions,70,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Waste Disposal,38,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Water Consumption,100,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Water Risks Management of Suppliers,0,002817,CAT,Caterpillar Inc.
114523,2013-09-12,Question,Water Used During Products' Life Cycle,20,002817,CAT,Caterpillar Inc.
