institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4253262,2018-02-01,S&P Global ESG Score,S&P Global ESG Score,37,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Dimension,Economic Governance Dimension,47,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Dimension,Environmental Dimension,25,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Dimension,Social Dimension,30,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,S&P Global ESG Score,S&P Global ESG Score,24,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Business Risks: Policies,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Climate Risk Management,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Climate Strategy - CDP Alignment,,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Climate Strategy Impacts,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Climate-Related Management Incentives,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Direct Greenhouse Gas Emissions (Scope 1),0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,EMS: Certification/ Audit/ Verification,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,ESG Products and Services (Financial Services),0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Emissions from Business Travel,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Energy Use,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Environmental Management Systems Database / Information S,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Environmental Reporting - Coverage,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Environmental Reporting - Quantitative Data,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Environmental Risk Management,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Financial Opportunities Arising from Climate Change,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Financial Risks of Climate Change,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Implementation of Infrastructure / Project Finance Polici,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Indirect Greenhouse Gas Emissions (Scope 2),0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Low-Carbon Products,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Sustainability Reporting Assurance,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Waste Disposal,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Water Use,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Anti-Competitive Practices,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Board Average Tenure,56,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Board Diversity Policy,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Board Effectiveness,68,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Board Gender Diversity,38,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Board Industry Experience,31,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Board Type,85,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,CEO Compensation - Success Metrics,47,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,CEO-to-Employee Pay Ratio,100,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Codes of Conduct,80,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Codes of Conduct: Coverage,20,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Codes of Conduct: Systems/ Procedures,44,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Contributions & Other Spending,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Corruption & Bribery,20,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Corruption & Bribery Cases,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Crime Prevention: Business Policy/ Procedures,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Crime Prevention: Provision of Training,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Crime Prevention: Transaction Monitoring,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Crisis State Aid,,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Customer Satisfaction Measurement,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Emerging Risks,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,Global Systemically Important Banks,,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,IT Security/ Cybersecurity Breaches,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,IT Security/ Cybersecurity Governance,0,184500,CBOE,"Cboe Global Markets, Inc."
4253262,2018-02-01,Question,IT Security/ Cybersecurity Measures,0,184500,CBOE,"Cboe Global Markets, Inc."
