institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4025774,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,41,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Approach Towards Biodiversity: Assurance,25,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Approach Towards Biodiversity: Reporting,33,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Biodiversity Commitment,26,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Centralized Data Collection System,21,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Certified Wood,51,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Climate Change Governance,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Climate Risk Management,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Climate Strategy Impacts,25,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Climate-Related Management Incentives,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Construction Waste Management,28,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,EMS: Certification/ Audit/ Verification,25,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,EP - Electricity Purchased,23,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Energy Efficiency Programs for Real Estate Portfolio,50,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Energy Use,21,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Environmental Reporting - Coverage,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Environmental Reporting - Materiality,56,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Financial Risks of Climate Change,20,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Impact of Current Operations,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Impact of Proposed Operations,38,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),22,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Low-Carbon Products,30,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Quality of Building Materials,17,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Renewable Energy Consumption,5,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Responsibility,15,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Scope of Corporate Environmental Requirements/ Guidelines,44,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Share of Low-Energy Buildings,25,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Sustainability Reporting Assurance,25,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Waste Disposal,19,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Water Use,17,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Water-Saving Devices,14,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Access to Medicine Strategy Reporting,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Analysis of Risks,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Anti-Competitive Practices,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Antitrust Compliance,25,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Antitrust Policy,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Audit Conflict of Interest,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Board Effectiveness,75,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Board Gender Diversity,27,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Board Type,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Codes of Conduct,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Codes of Conduct: Coverage,25,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Corporate Governance Policy,88,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Corruption & Bribery,60,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Coverage of Antitrust Policy,35,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Critical Supplier Identification,17,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,ESG Integration in SCM Strategy,21,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Opportunities,17,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Reporting on breaches,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Responsibilities and Committees,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Responsibility Risk & Crisis Management,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Risk Response Strategy,80,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Sensitivity Analysis & Stress Testing,70,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Supplier Risk Management Measures,9,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Supply Chain Risk Exposure,16,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Supply Chain Transparency & Reporting,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Transparency of Executive Compensation,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Absentee Rate,18,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Absenteeism: Work-Related Stress,29,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,17,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Business and Human Rights,20,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,CEO Compensation - Success Metrics,40,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Corporate Citizenship Strategy,20,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,33,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Employee Support Programs,4,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Employee Turnover Rate,35,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Human Capital Performance Indicators,20,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Human Resource Skill Mapping and Developing Process,37,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Measuring Benefits,51,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,OHS Governance Framework,25,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,OHS Governance Oversight,25,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,OHS Training & Education,12,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Payout Type of Total Performance-Related Compensation,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Percentage of Performance Related Compensation for each E,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Personal and Organizational Learning and Development,30,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Philanthropic Contributions,23,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Share of Buildings Based on 'Social Integration',51,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Social Integration in New Buildings & Reconstruction,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Social Reporting - Assurance,25,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Social Reporting - Coverage,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Social Reporting - Materiality,32,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Social Reporting - Quantitative Data,7,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Stakeholder Engagement Governance,19,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Stakeholder Engagement Review,17,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Trend of Employee Wellbeing,20,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Type of Performance Appraisal,26,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Type of Philanthropic Activities,51,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Workforce Breakdown: Gender,5,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Dimension,Economic Governance Dimension,62,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Dimension,Environmental Dimension,34,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Dimension,Social Dimension,35,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Biodiversity,37,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Building Materials,29,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Climate Strategy,42,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Environmental Policy & Management Systems,51,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Environmental Reporting,45,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Operational Eco-Efficiency,15,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Resource Conservation & Resource Efficiency,24,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Antitrust Policy,49,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Business Ethics,65,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Corporate Governance,87,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Risk & Crisis Management,66,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Supply Chain Management,38,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Corporate Citizenship & Philanthropy,34,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Human Capital Development,28,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Labor Practice Indicators,47,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Occupational Health & Safety,18,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Social Integration & Regeneration,25,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Social Reporting,41,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Stakeholder Engagement,47,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Talent Attraction & Retention,36,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,34,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Approach Towards Biodiversity: Assurance,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Approach Towards Biodiversity: Reporting,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Biodiversity Commitment,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Centralized Data Collection System,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Certified Wood,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Climate Change Governance,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Climate Risk Management,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Climate Strategy Impacts,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Climate-Related Management Incentives,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Construction Waste Management,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,EMS: Certification/ Audit/ Verification,25,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,EP - Electricity Purchased,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Energy Efficiency Programs for Real Estate Portfolio,50,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Energy Use,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Environmental Reporting - Coverage,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Environmental Reporting - Materiality,56,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Financial Risks of Climate Change,20,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Impact of Current Operations,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Impact of Proposed Operations,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Low-Carbon Products,30,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Quality of Building Materials,17,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Renewable Energy Consumption,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Responsibility,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Scope of Corporate Environmental Requirements/ Guidelines,44,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Share of Low-Energy Buildings,25,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Sustainability Reporting Assurance,25,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Waste Disposal,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Water Use,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Water-Saving Devices,14,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Access to Medicine Strategy Reporting,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Analysis of Risks,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Anti-Competitive Practices,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Antitrust Compliance,25,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Antitrust Policy,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Audit Conflict of Interest,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Board Effectiveness,75,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Board Gender Diversity,27,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Board Type,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Codes of Conduct,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Codes of Conduct: Coverage,25,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Corporate Governance Policy,88,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Corruption & Bribery,60,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Coverage of Antitrust Policy,35,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Critical Supplier Identification,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,ESG Integration in SCM Strategy,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Opportunities,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Reporting on breaches,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Responsibilities and Committees,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Responsibility Risk & Crisis Management,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Risk Response Strategy,80,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Sensitivity Analysis & Stress Testing,70,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Supplier Risk Management Measures,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Supply Chain Risk Exposure,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Supply Chain Transparency & Reporting,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Transparency of Executive Compensation,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Absentee Rate,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Absenteeism: Work-Related Stress,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Business and Human Rights,20,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,CEO Compensation - Success Metrics,40,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Corporate Citizenship Strategy,20,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,33,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Employee Support Programs,4,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Employee Turnover Rate,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Human Capital Performance Indicators,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Human Resource Skill Mapping and Developing Process,37,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Measuring Benefits,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,OHS Governance Framework,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,OHS Governance Oversight,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,OHS Training & Education,12,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Payout Type of Total Performance-Related Compensation,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Percentage of Performance Related Compensation for each E,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Personal and Organizational Learning and Development,30,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Philanthropic Contributions,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Share of Buildings Based on 'Social Integration',0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Social Integration in New Buildings & Reconstruction,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Social Reporting - Assurance,25,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Social Reporting - Coverage,100,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Social Reporting - Materiality,32,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Social Reporting - Quantitative Data,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Stakeholder Engagement Governance,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Stakeholder Engagement Review,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Trend of Employee Wellbeing,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Type of Performance Appraisal,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Type of Philanthropic Activities,0,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Question,Workforce Breakdown: Gender,5,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Dimension,Economic Governance Dimension,60,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Dimension,Environmental Dimension,24,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Dimension,Social Dimension,24,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Biodiversity,20,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Building Materials,5,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Climate Strategy,38,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Environmental Policy & Management Systems,46,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Environmental Reporting,45,260774,CBRE,"CBRE Group, Inc."
4025774,2013-09-12,Criteria,Operational Eco-Efficiency,0,260774,CBRE,"CBRE Group, Inc."
