institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
103417,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,41,028034,CB,Chubb Limited
103417,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,41,,,"ACE Limited, Asset Management Arm"
103417,2013-09-12,Question,Corporate Environmental Policy: Areas,34,028034,CB,Chubb Limited
103417,2013-09-12,Question,Corporate Environmental Policy: Areas,34,,,"ACE Limited, Asset Management Arm"
103417,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),79,028034,CB,Chubb Limited
103417,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),79,,,"ACE Limited, Asset Management Arm"
103417,2013-09-12,Question,EMS: Certification/ Audit/ Verification,26,028034,CB,Chubb Limited
103417,2013-09-12,Question,EMS: Certification/ Audit/ Verification,26,,,"ACE Limited, Asset Management Arm"
103417,2013-09-12,Question,Early Detection of Risks in Product Development,60,028034,CB,Chubb Limited
103417,2013-09-12,Question,Early Detection of Risks in Product Development,60,,,"ACE Limited, Asset Management Arm"
103417,2013-09-12,Question,Emissions from Business Travel,13,028034,CB,Chubb Limited
103417,2013-09-12,Question,Emissions from Business Travel,13,,,"ACE Limited, Asset Management Arm"
103417,2013-09-12,Question,Energy Use,27,028034,CB,Chubb Limited
103417,2013-09-12,Question,Energy Use,27,,,"ACE Limited, Asset Management Arm"
103417,2013-09-12,Question,Environmental / Social / Ethical elements of Underwriting,40,028034,CB,Chubb Limited
103417,2013-09-12,Question,Environmental / Social / Ethical elements of Underwriting,40,,,"ACE Limited, Asset Management Arm"
103417,2013-09-12,Question,Environmental Management Systems Database / Information S,25,028034,CB,Chubb Limited
103417,2013-09-12,Question,Environmental Management Systems Database / Information S,25,,,"ACE Limited, Asset Management Arm"
103417,2013-09-12,Question,Environmental Reporting - Coverage,0,028034,CB,Chubb Limited
103417,2013-09-12,Question,Environmental Reporting - Coverage,0,,,"ACE Limited, Asset Management Arm"
103417,2013-09-12,Question,Environmental Reporting - Materiality,21,028034,CB,Chubb Limited
103417,2013-09-12,Question,Environmental Reporting - Materiality,21,,,"ACE Limited, Asset Management Arm"
103417,2013-09-12,Question,Environmental Reporting - Quantitative Data,33,028034,CB,Chubb Limited
103417,2013-09-12,Question,Environmental Reporting - Quantitative Data,33,,,"ACE Limited, Asset Management Arm"
103417,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),22,028034,CB,Chubb Limited
103417,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),22,,,"ACE Limited, Asset Management Arm"
