institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4417219,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,30,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Centralized Data Collection System,2,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Climate Change Governance,31,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Climate Risk Management,21,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Climate Strategy Impacts,17,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Climate-Related Management Incentives,35,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Dialogue with Local Communities,18,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),6,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,EMS: Certification/ Audit/ Verification,19,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Elements of Assurance Provision,8,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Emissions Reduction Targets,32,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Energy Use,9,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Environmental Reporting - Coverage,0,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Environmental Reporting - Materiality,0,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Financial Opportunities Arising from Climate Change,6,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Financial Risks of Climate Change,5,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),6,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),9,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Information to Stakeholders,15,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Low-Carbon Products,11,113490,CCI,Crown Castle Inc.
4417219,2013-09-12,Question,Process Allowing Assurance Provision,35,113490,CCI,Crown Castle Inc.
