institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4203958,2020-04-01,S&P Global ESG Score,S&P Global ESG Score,46,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Climate Risk Management,100,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Climate Strategy Impacts,,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Climate-Related Management Incentives,,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Coverage of Environmental Management Policy,10,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Direct Greenhouse Gas Emissions (Scope 1),70,140821,CCL,Carnival plc
4203958,2020-04-01,Question,EMS: Certification/ Audit/ Verification,20,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Emissions Reduction Targets,74,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Energy Consumption,70,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Environmental Reporting - Coverage,100,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Environmental Reporting - Quantitative Data,47,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Environmental Violations,55,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Financial Opportunities Arising from Climate Change,,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Financial Risks of Climate Change,,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Indirect Greenhouse Gas Emissions (Scope 2),70,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Indirect Greenhouse Gas Emissions (Scope 3),100,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Low-Carbon Products,,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Return on Environmental Investments,32,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Sustainability Reporting Assurance,80,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Waste Disposal,10,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Water Consumption,70,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Anti-Competitive Practices,,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Board Average Tenure,100,140821,CCL,Carnival plc
4203958,2020-04-01,Question,Board Diversity Policy,50,140821,CCL,Carnival plc
