institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
6546101,2019-12-19,S&P Global ESG Score,S&P Global ESG Score,26,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Climate Risk Management,47,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Climate Strategy Impacts,,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Climate-Related Management Incentives,,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Coverage of Environmental Management Policy,0,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Data Center Efficiency,21,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Direct Greenhouse Gas Emissions (Scope 1),16,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,EMS: Certification/ Audit/ Verification,15,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Emissions Reduction Targets,41,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Energy Use,13,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Environmental Reporting - Coverage,0,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Environmental Reporting - Quantitative Data,0,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Financial Opportunities Arising from Climate Change,,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Financial Risks of Climate Change,,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Indirect Greenhouse Gas Emissions (Scope 2),16,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Indirect Greenhouse Gas Emissions (Scope 3),32,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Low-Carbon Products,33,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Share of Renewable Energy in Data Centers,23,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Sustainability Reporting Assurance,0,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Waste Disposal,10,023546,CDAY,Ceridian HCM Holding Inc.
6546101,2019-12-19,Question,Water Use,16,023546,CDAY,Ceridian HCM Holding Inc.
