institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4963284,2014-03-18,S&P Global ESG Score,S&P Global ESG Score,36,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Climate Change Governance,35,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Climate Risk Management,23,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Climate Strategy Impacts,19,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Climate-Related Management Incentives,39,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Corporate Environmental Policy,39,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Corporate Environmental Policy: Areas,10,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Direct Greenhouse Gas Emissions (Scope 1),16,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,EMS: Certification/ Audit/ Verification,26,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,EP - Electricity Purchased,25,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Emissions Reduction Targets,39,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Energy Use,19,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Environmental Reporting - Coverage,0,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Environmental Reporting - Materiality,0,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Environmental Reporting - Quantitative Data,0,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Financial Opportunities Arising from Climate Change,11,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Financial Risks of Climate Change,11,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Indirect Greenhouse Gas Emissions (Scope 2),22,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Indirect Greenhouse Gas Emissions (Scope 3),14,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Low-Carbon Products,13,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Sustainability Reporting Assurance,0,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Waste Disposal,11,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Water Use,14,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Access to Medicine Strategy Reporting,0,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Analysis of Customer Value,26,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Analysis of Risks,0,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Anti-Competitive Practices,0,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Antitrust Compliance,50,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Antitrust Policy,100,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Audit Conflict of Interest,100,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Availability of Data to the Customer Center,21,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Board Effectiveness,60,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Board Gender Diversity,8,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Board Type,100,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Brand Metrics Used,10,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Breaches of Customer Privacy: Complaints,19,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,CEO-to-Employee Pay Ratio,0,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Codes of Conduct,100,013421,CDNS,"Cadence Design Systems, Inc."
4963284,2014-03-18,Question,Codes of Conduct: Coverage,25,013421,CDNS,"Cadence Design Systems, Inc."
