institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4114659,2016-03-16,S&P Global ESG Score,S&P Global ESG Score,30,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Climate Change Governance,27,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Climate Risk Management,16,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Climate Strategy Impacts,27,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Climate-Related Management Incentives,27,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Coverage of Environmental Management Policy,7,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Direct Greenhouse Gas Emissions (Scope 1),8,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,EMS: Certification/ Audit/ Verification,8,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,EP - Electricity Purchased,5,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Emissions Reduction Targets,22,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,End of Life Cycle Responsibility,6,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Energy Use,8,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Environmental Labels & Declarations,16,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Environmental Reporting - Coverage,29,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Environmental Reporting - Materiality,0,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Environmental Reporting - Quantitative Data,0,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Environmental Violations,31,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Financial Opportunities Arising from Climate Change,5,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Financial Risks of Climate Change,6,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Hazardous Waste,8,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Indirect Greenhouse Gas Emissions (Scope 2),9,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Indirect Greenhouse Gas Emissions (Scope 3),8,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Life Cycle Assessment,4,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Life Cycle Research Projects,27,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Low-Carbon Products,9,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Product Design Criteria,9,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Responsibilities and Management System,10,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Sustainability Reporting Assurance,0,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Tools / Processes / Systems / Standards / Frameworks used,0,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Volatile Organic Compounds Emissions,6,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Waste Disposal,10,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Water Consumption,5,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Access to Medicine Strategy Reporting,0,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Anti-Competitive Practices,13,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Antitrust Compliance,75,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Antitrust Policy,85,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Board Diversity Policy,57,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Board Effectiveness,46,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Board Gender Diversity,14,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Board Type,90,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Brand Metrics Used,12,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,CEO Compensation - Success Metrics,44,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,CEO-to-Employee Pay Ratio,11,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Codes of Conduct,100,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Codes of Conduct: Coverage,25,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Codes of Conduct: Systems/ Procedures,56,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Corruption & Bribery,40,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Coverage of Antitrust Policy,35,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Critical Supplier Identification,12,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Customer Satisfaction Measurement,0,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Customer Satisfaction Performance,23,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,ESG Integration in SCM Strategy,6,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Emerging Market Exposure & Strategy,5,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Emerging Markets - Manufacturing,18,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Emerging Markets - R&D,7,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Emerging Risks,11,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Environmental Impact from Transportation,10,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Environmental Innovation,4,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Incentives for Distribution Networks,19,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Knowledge Transfer,16,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Management Ownership Requirements,83,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Market & Customer Identification,9,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Non-Executive Chairperson/ Lead Director,60,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Online Strategies & Customers Online,13,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Open Innovation,27,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Opportunities,12,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Process Innovations,11,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Product Adaptation for Emerging Markets (B2B),27,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Product Innovations,14,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Quality Management & Audits of Distribution Networks,3,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,R&D Core or Basic Research,0,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,R&D Development Stages,0,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,R&D Ideation or Applied Research,0,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,R&D Launch,13,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,R&D Post-Launch,12,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Reporting on breaches,0,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Responsibilities and Committees,50,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Risk Culture,14,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Risk Governance,12,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Risks Correlation,23,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Sensitivity Analysis & Stress Testing (including Water an,13,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Social Innovation,6,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Stakeholder Perception Analysis,15,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Supplier Risk Management Measures,0,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Supply Chain Risk Exposure,9,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Supply Chain Transparency & Reporting,0,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Tax Reporting,50,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Tax Strategy and Governance,27,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Taxation Governance & Risks,7,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Total Brand-Related Expenses,100,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Transparency of Executive Compensation,85,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Business and Human Rights,10,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Corporate Citizenship Strategy,90,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Employee Development Programs,0,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Employee Turnover Rate,0,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Fatalities,0,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Freedom of Association,0,028320,CDW,CDW Corporation
4114659,2016-03-16,Question,Gender Pay Indicators,6,028320,CDW,CDW Corporation
