institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4072145,2023-02-17,S&P Global ESG Score,S&P Global ESG Score,41,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,S&P Global ESG Score,S&P Global ESG Score,41,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Ash & Gypsum Waste,,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Ash & Gypsum Waste,,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Availability Factor of Plants,30,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Availability Factor of Plants,30,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Biodiversity Commitment,44,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Biodiversity Commitment,44,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Biodiversity Exposure & Assessment,3,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Biodiversity Exposure & Assessment,3,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Business Impacts of Water Related Incidents,45,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Business Impacts of Water Related Incidents,45,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Climate Risk Assessment - Transition Risks,24,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Climate Risk Assessment - Transition Risks,24,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Climate Risk Management,60,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Climate Risk Management,60,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Climate Strategy Impacts,60,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Climate Strategy Impacts,60,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Climate-Related Management Incentives,47,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Climate-Related Management Incentives,47,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Climate-Related Scenario Analysis,21,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Climate-Related Scenario Analysis,21,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Coverage of Environmental Management Policy,20,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Coverage of Environmental Management Policy,20,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Direct Greenhouse Gas Emissions (Scope 1),100,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Direct Greenhouse Gas Emissions (Scope 1),100,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Direct Mercury Emissions,26,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Direct Mercury Emissions,26,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Dust Emissions,24,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Dust Emissions,24,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,EMS: Certification/ Audit/ Verification,100,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,EMS: Certification/ Audit/ Verification,100,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Efficiency of Generation,34,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Efficiency of Generation,34,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Electricity Capacity Mix,55,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Electricity Capacity Mix,55,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Electricity Generation Mix,70,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Electricity Generation Mix,70,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Electricity Transmission & Distribution Losses,21,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Electricity Transmission & Distribution Losses,21,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Electricity Transmission & Distribution Reliability,28,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Electricity Transmission & Distribution Reliability,28,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Emissions Reduction Targets,84,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Emissions Reduction Targets,84,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Energy Consumption,67,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Energy Consumption,67,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Environmental Policy & Commitments,63,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Environmental Policy & Commitments,63,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Environmental Reporting - Coverage,100,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Environmental Reporting - Coverage,100,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Environmental Violations,25,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Environmental Violations,25,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Exposure to Water Stressed Areas,,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Exposure to Water Stressed Areas,,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Financial Opportunities Arising from Climate Change,49,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Financial Opportunities Arising from Climate Change,49,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Financial Risks of Climate Change,42,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Financial Risks of Climate Change,42,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Gas Leakage Rate,21,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Gas Leakage Rate,21,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Hazardous Waste,18,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Hazardous Waste,18,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Indirect Greenhouse Gas Emissions (Scope 3),70,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Indirect Greenhouse Gas Emissions (Scope 3),70,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Internal Carbon Pricing,51,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Internal Carbon Pricing,51,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,NOx Emissions,70,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,NOx Emissions,70,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Net-Zero Commitment,0,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Net-Zero Commitment,0,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,No Deforestation Commitment,0,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,No Deforestation Commitment,0,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Nuclear Power Plant Performance Indicators (UCF),30,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Nuclear Power Plant Performance Indicators (UCF),30,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Physical Climate Risk Adaptation,27,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Physical Climate Risk Adaptation,27,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Public availability of EIA/ SIA results,0,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Public availability of EIA/ SIA results,0,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Quantity & Quality-Related Water Risks,49,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Quantity & Quality-Related Water Risks,49,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,SF6 Emissions,22,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,SF6 Emissions,22,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,SOx Emissions,55,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,SOx Emissions,55,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Sustainability Reporting Assurance,100,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Sustainability Reporting Assurance,100,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,TCFD Disclosure,0,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,TCFD Disclosure,0,156418,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Waste Disposal,21,040614,CEG,Constellation Energy Corporation
4072145,2023-02-17,Question,Waste Disposal,21,156418,CEG,Constellation Energy Corporation
