institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4103411,2014-03-18,S&P Global ESG Score,S&P Global ESG Score,36,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Chemical Oxygen Demand,21,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Climate Change Governance,37,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Climate Risk Management,25,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Climate Strategy Impacts,21,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Climate-Related Management Incentives,41,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Coverage of Environmental Management Policy,45,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Direct Greenhouse Gas Emissions (Scope 1),60,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,EMS: Certification/ Audit/ Verification,10,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,EP - Electricity Purchased,17,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Emissions Reduction Targets,42,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Energy Use,60,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Environmental Reporting - Coverage,0,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Environmental Reporting - Materiality,0,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Environmental Reporting - Quantitative Data,33,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Exposure,100,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Financial Opportunities Arising from Climate Change,12,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Financial Risks of Climate Change,9,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Hazardous Substances Commitment,0,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Indirect Greenhouse Gas Emissions (Scope 2),19,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Indirect Greenhouse Gas Emissions (Scope 3),16,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Life Cycle Assessment,16,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Life Cycle Research Projects,41,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Low-Carbon Products,14,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,NOx Emissions,18,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Product Design Criteria,80,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Renewable Raw Materials,0,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Responsibilities and Management System,60,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,SOx Emissions,18,162254,CE,Celanese Corporation
4103411,2014-03-18,Question,Sustainability Reporting Assurance,25,162254,CE,Celanese Corporation
