institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
1019881,2016-03-16,S&P Global ESG Score,S&P Global ESG Score,42,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,S&P Global ESG Score,S&P Global ESG Score,42,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,S&P Global ESG Score,S&P Global ESG Score,42,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Business Risks: Policies,16,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Business Risks: Policies,16,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Business Risks: Policies,16,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Climate Change Governance,45,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Climate Change Governance,45,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Climate Change Governance,45,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Climate Risk Management,27,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Climate Risk Management,27,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Climate Risk Management,27,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Climate Strategy Impacts,45,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Climate Strategy Impacts,45,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Climate Strategy Impacts,45,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Climate-Related Management Incentives,45,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Climate-Related Management Incentives,45,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Climate-Related Management Incentives,45,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Direct Greenhouse Gas Emissions (Scope 1),22,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Direct Greenhouse Gas Emissions (Scope 1),22,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Direct Greenhouse Gas Emissions (Scope 1),22,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,EMS: Certification/ Audit/ Verification,19,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,EMS: Certification/ Audit/ Verification,19,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,EMS: Certification/ Audit/ Verification,19,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,ESG Products and Services (Banks),8,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,ESG Products and Services (Banks),8,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,ESG Products and Services (Banks),8,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Emissions from Business Travel,20,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Emissions from Business Travel,20,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Emissions from Business Travel,20,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Energy Use,22,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Energy Use,22,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Energy Use,22,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Environmental Management Systems Database / Information S,15,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Environmental Management Systems Database / Information S,15,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Environmental Management Systems Database / Information S,15,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Environmental Reporting - Coverage,61,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Environmental Reporting - Coverage,61,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Environmental Reporting - Coverage,61,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Environmental Reporting - Materiality,18,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Environmental Reporting - Materiality,18,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Environmental Reporting - Materiality,18,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Environmental Reporting - Quantitative Data,0,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Environmental Reporting - Quantitative Data,0,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Environmental Reporting - Quantitative Data,0,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Environmental Risk Management,13,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Environmental Risk Management,13,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Environmental Risk Management,13,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Financial Opportunities Arising from Climate Change,19,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Financial Opportunities Arising from Climate Change,19,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Financial Opportunities Arising from Climate Change,19,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Financial Risks of Climate Change,18,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Financial Risks of Climate Change,18,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Financial Risks of Climate Change,18,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Implementation of Infrastructure / Project Finance Polici,35,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Implementation of Infrastructure / Project Finance Polici,35,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Implementation of Infrastructure / Project Finance Polici,35,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Indirect Greenhouse Gas Emissions (Scope 2),30,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Indirect Greenhouse Gas Emissions (Scope 2),30,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Indirect Greenhouse Gas Emissions (Scope 2),30,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Low-Carbon Products,14,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Low-Carbon Products,14,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Low-Carbon Products,14,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Sustainability Reporting Assurance,0,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Sustainability Reporting Assurance,0,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Sustainability Reporting Assurance,0,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Waste Disposal,20,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Waste Disposal,20,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Waste Disposal,20,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Water Use,18,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Water Use,18,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Water Use,18,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Board Diversity Policy,40,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Board Diversity Policy,40,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Board Diversity Policy,40,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Board Effectiveness,46,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Board Effectiveness,46,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Board Effectiveness,46,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Board Gender Diversity,22,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Board Gender Diversity,22,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Board Gender Diversity,22,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Board Type,100,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Board Type,100,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Board Type,100,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Brand Evaluation,20,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Brand Evaluation,20,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Brand Evaluation,20,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Brand Management Approach,19,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Brand Management Approach,19,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Brand Management Approach,19,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Brand Metrics Used,15,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Brand Metrics Used,15,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Brand Metrics Used,15,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,CEO Compensation - Success Metrics,17,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,CEO Compensation - Success Metrics,17,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,CEO Compensation - Success Metrics,17,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,CEO-to-Employee Pay Ratio,30,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,CEO-to-Employee Pay Ratio,30,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,CEO-to-Employee Pay Ratio,30,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Codes of Conduct,100,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Codes of Conduct,100,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Codes of Conduct,100,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Codes of Conduct: Coverage,75,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Codes of Conduct: Coverage,75,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Codes of Conduct: Coverage,75,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Codes of Conduct: Systems/ Procedures,56,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Codes of Conduct: Systems/ Procedures,56,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Codes of Conduct: Systems/ Procedures,56,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Corruption & Bribery,40,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Corruption & Bribery,40,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Corruption & Bribery,40,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Crime Prevention: Business Policy/ Procedures,23,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Crime Prevention: Business Policy/ Procedures,23,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Crime Prevention: Business Policy/ Procedures,23,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Crime Prevention: Provision of Training,11,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Crime Prevention: Provision of Training,11,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Crime Prevention: Provision of Training,11,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Crime Prevention: Transaction Monitoring,22,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Crime Prevention: Transaction Monitoring,22,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Crime Prevention: Transaction Monitoring,22,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Crisis State Aid,100,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Crisis State Aid,100,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Crisis State Aid,100,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Customer Data Security & Data Privacy,26,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Customer Data Security & Data Privacy,26,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Customer Data Security & Data Privacy,26,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Customer Satisfaction Measurement,21,021825,CFG,"Citizens Financial Group, Inc."
1019881,2016-03-16,Question,Customer Satisfaction Measurement,21,,,"Citizens Financial Group, Inc., Asset Management Arm"
1019881,2016-03-16,Question,Customer Satisfaction Measurement,21,,,"Citizens Financial Group, Investment Banking Arm"
1019881,2016-03-16,Question,Customer Satisfaction Performance,25,021825,CFG,"Citizens Financial Group, Inc."
