institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4533245,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,29,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Chemical Oxygen Demand,15,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Climate Change Governance,29,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Climate Risk Management,19,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Climate Strategy Impacts,16,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Climate-Related Management Incentives,32,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Coverage of Environmental Management Policy,9,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),9,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,EMS: Certification/ Audit/ Verification,22,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,EP - Electricity Purchased,12,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Emissions Reduction Targets,26,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Energy Use,11,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Environmental Reporting - Coverage,0,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Environmental Reporting - Materiality,0,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Exposure,100,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Financial Opportunities Arising from Climate Change,6,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Financial Risks of Climate Change,4,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Hazardous Substances Commitment,0,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),14,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),11,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Life Cycle Assessment,11,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Life Cycle Research Projects,32,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Low-Carbon Products,9,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,NOx Emissions,12,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Product Design Criteria,11,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Renewable Raw Materials,0,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Responsibilities and Management System,15,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,SOx Emissions,13,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Sustainability Reporting Assurance,7,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Sustainable Sourcing of Renewable Raw Materials,0,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Volatile Organic Compounds Emissions,15,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Waste Disposal,9,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Water Use,11,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Access to Medicine Strategy Reporting,0,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Analysis of Risks,0,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Anti-Competitive Practices,0,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Antitrust Compliance,25,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Antitrust Policy,28,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Audit Conflict of Interest,100,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Board Effectiveness,60,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Board Gender Diversity,0,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Board Type,100,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Codes of Conduct,100,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Codes of Conduct: Coverage,25,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Corporate Governance Policy,80,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Corruption & Bribery,60,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Coverage of Antitrust Policy,60,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Critical Supplier Identification,13,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Customer Feedback Process,20,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Customer Satisfaction Measurement,15,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,ESG Integration in SCM Strategy,11,163946,CF,"CF Industries Holdings, Inc."
4533245,2013-09-12,Question,Environmental Innovation,2,163946,CF,"CF Industries Holdings, Inc."
