institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4438978,2014-03-18,S&P Global ESG Score,S&P Global ESG Score,44,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,S&P Global ESG Score,S&P Global ESG Score,44,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Chemical Oxygen Demand,14,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Chemical Oxygen Demand,14,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Commitment to Lowering Product Impact,50,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Commitment to Lowering Product Impact,50,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Coverage of Environmental Management Policy,16,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Coverage of Environmental Management Policy,16,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Direct Greenhouse Gas Emissions (Scope 1),60,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Direct Greenhouse Gas Emissions (Scope 1),60,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,EMS: Certification/ Audit/ Verification,25,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,EMS: Certification/ Audit/ Verification,25,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Energy Use,60,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Energy Use,60,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Environmental Reporting - Coverage,100,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Environmental Reporting - Coverage,100,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Environmental Reporting - Materiality,24,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Environmental Reporting - Materiality,24,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Environmental Reporting - Quantitative Data,34,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Environmental Reporting - Quantitative Data,34,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Indirect Greenhouse Gas Emissions (Scope 2),20,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Indirect Greenhouse Gas Emissions (Scope 2),20,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Life Cycle Assessment,17,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Life Cycle Assessment,17,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Life Cycle Research Projects,46,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Life Cycle Research Projects,46,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,NOx Emissions,16,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,NOx Emissions,16,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Packaging Commitment,26,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Packaging Commitment,26,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Packaging Materials,46,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Packaging Materials,46,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Product Design Criteria,22,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Product Design Criteria,22,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Responsibilities and Management System,35,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Responsibilities and Management System,35,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Sustainability Reporting Assurance,25,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Sustainability Reporting Assurance,25,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Volatile Organic Compounds Emissions,5,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Volatile Organic Compounds Emissions,5,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Waste Disposal,0,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Waste Disposal,0,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Water Use,60,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Water Use,60,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Water Used During Products' Life Cycle (Downstream),27,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Water Used During Products' Life Cycle (Downstream),27,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Analysis of Risks,0,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Analysis of Risks,0,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Audit Conflict of Interest,100,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Audit Conflict of Interest,100,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Board Effectiveness,70,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Board Effectiveness,70,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Board Gender Diversity,33,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Board Gender Diversity,33,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Board Type,100,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Board Type,100,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Brand Metrics Used,24,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Brand Metrics Used,24,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,Branding Strategies,25,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,Branding Strategies,25,,,"Church & Dwight Co Inc., Asset Management Arm"
4438978,2014-03-18,Question,CEO-to-Employee Pay Ratio,65,003026,CHD,"Church & Dwight Co., Inc."
4438978,2014-03-18,Question,CEO-to-Employee Pay Ratio,65,,,"Church & Dwight Co Inc., Asset Management Arm"
