institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4095936,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,36,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Climate Change Governance,32,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Climate Risk Management,21,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Climate Strategy Impacts,18,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Climate-Related Management Incentives,35,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Coverage of Environmental Management Policy,12,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),16,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,EMS: Certification/ Audit/ Verification,,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Emissions Reduction Targets,29,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Energy Use,14,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Environmental Reporting - Coverage,0,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Environmental Reporting - Materiality,0,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Financial Opportunities Arising from Climate Change,9,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Financial Risks of Climate Change,12,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Fleet Exposure,20,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Fuel Costs,35,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),14,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 3),15,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Low-Carbon Products,12,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Sustainability Reporting Assurance,12,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Waste Disposal,13,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Water Use,14,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Analysis of Risks,0,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Audit Conflict of Interest,100,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Board Effectiveness,60,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Board Gender Diversity,58,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Board Type,100,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Codes of Conduct,89,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Codes of Conduct: Coverage,75,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Complaints Management,35,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Corporate Governance Policy,88,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Corruption & Bribery,40,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Crisis Preparedness,18,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Critical Supplier Identification,18,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Customer Satisfaction Measurement,20,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,ESG Integration in SCM Strategy,11,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Environmental Impact from Transportation,12,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,60,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Opportunities,20,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Reporting on breaches,0,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Responsibilities and Committees,75,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Responsibility Risk & Crisis Management (including Climat,30,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Risk Response Strategy,80,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Risks Correlation,28,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Sensitivity Analysis & Stress Testing,70,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Supplier Risk Management Measures,4,065609,CHRW,"C.H. Robinson Worldwide, Inc."
4095936,2013-09-12,Question,Supply Chain Risk Exposure,16,065609,CHRW,"C.H. Robinson Worldwide, Inc."
