institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4121481,2015-03-13,S&P Global ESG Score,S&P Global ESG Score,32,126136,CHTR,"Charter Communications, Inc."
4121481,2015-03-13,S&P Global ESG Score,S&P Global ESG Score,32,,,"Charter Communications Inc., Asset Management Arm"
4121481,2015-03-13,Question,Corporate Environmental Policy,31,126136,CHTR,"Charter Communications, Inc."
4121481,2015-03-13,Question,Corporate Environmental Policy,31,,,"Charter Communications Inc., Asset Management Arm"
4121481,2015-03-13,Question,Corporate Environmental Policy: Areas,15,126136,CHTR,"Charter Communications, Inc."
4121481,2015-03-13,Question,Corporate Environmental Policy: Areas,15,,,"Charter Communications Inc., Asset Management Arm"
4121481,2015-03-13,Question,Direct Greenhouse Gas Emissions (Scope 1),17,126136,CHTR,"Charter Communications, Inc."
4121481,2015-03-13,Question,Direct Greenhouse Gas Emissions (Scope 1),17,,,"Charter Communications Inc., Asset Management Arm"
4121481,2015-03-13,Question,EMS: Certification/ Audit/ Verification,12,126136,CHTR,"Charter Communications, Inc."
4121481,2015-03-13,Question,EMS: Certification/ Audit/ Verification,12,,,"Charter Communications Inc., Asset Management Arm"
4121481,2015-03-13,Question,Emissions from Business Travel,20,126136,CHTR,"Charter Communications, Inc."
4121481,2015-03-13,Question,Emissions from Business Travel,20,,,"Charter Communications Inc., Asset Management Arm"
4121481,2015-03-13,Question,Energy Use,22,126136,CHTR,"Charter Communications, Inc."
4121481,2015-03-13,Question,Energy Use,22,,,"Charter Communications Inc., Asset Management Arm"
4121481,2015-03-13,Question,Environmental Reporting - Coverage,0,126136,CHTR,"Charter Communications, Inc."
4121481,2015-03-13,Question,Environmental Reporting - Coverage,0,,,"Charter Communications Inc., Asset Management Arm"
4121481,2015-03-13,Question,Environmental Reporting - Materiality,0,126136,CHTR,"Charter Communications, Inc."
4121481,2015-03-13,Question,Environmental Reporting - Materiality,0,,,"Charter Communications Inc., Asset Management Arm"
4121481,2015-03-13,Question,Environmental Reporting - Quantitative Data,0,126136,CHTR,"Charter Communications, Inc."
4121481,2015-03-13,Question,Environmental Reporting - Quantitative Data,0,,,"Charter Communications Inc., Asset Management Arm"
4121481,2015-03-13,Question,Indirect Greenhouse Gas Emissions (Scope 2),24,126136,CHTR,"Charter Communications, Inc."
4121481,2015-03-13,Question,Indirect Greenhouse Gas Emissions (Scope 2),24,,,"Charter Communications Inc., Asset Management Arm"
