institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
103262,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,34,014824,CINF,Cincinnati Financial Corporation
103262,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,34,,,"Cincinnati Financial Corp., Asset Management Arm"
103262,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,34,,,"Cincinnati Financial Corp., Investment Arm"
103262,2013-09-12,Question,Corporate Environmental Policy: Areas,9,014824,CINF,Cincinnati Financial Corporation
103262,2013-09-12,Question,Corporate Environmental Policy: Areas,9,,,"Cincinnati Financial Corp., Asset Management Arm"
103262,2013-09-12,Question,Corporate Environmental Policy: Areas,9,,,"Cincinnati Financial Corp., Investment Arm"
103262,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),15,014824,CINF,Cincinnati Financial Corporation
103262,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),15,,,"Cincinnati Financial Corp., Asset Management Arm"
103262,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),15,,,"Cincinnati Financial Corp., Investment Arm"
103262,2013-09-12,Question,EMS: Certification/ Audit/ Verification,21,014824,CINF,Cincinnati Financial Corporation
103262,2013-09-12,Question,EMS: Certification/ Audit/ Verification,21,,,"Cincinnati Financial Corp., Asset Management Arm"
103262,2013-09-12,Question,EMS: Certification/ Audit/ Verification,21,,,"Cincinnati Financial Corp., Investment Arm"
103262,2013-09-12,Question,Early Detection of Risks in Product Development,21,014824,CINF,Cincinnati Financial Corporation
103262,2013-09-12,Question,Early Detection of Risks in Product Development,21,,,"Cincinnati Financial Corp., Asset Management Arm"
103262,2013-09-12,Question,Early Detection of Risks in Product Development,21,,,"Cincinnati Financial Corp., Investment Arm"
103262,2013-09-12,Question,Emissions from Business Travel,9,014824,CINF,Cincinnati Financial Corporation
103262,2013-09-12,Question,Emissions from Business Travel,9,,,"Cincinnati Financial Corp., Asset Management Arm"
103262,2013-09-12,Question,Emissions from Business Travel,9,,,"Cincinnati Financial Corp., Investment Arm"
103262,2013-09-12,Question,Energy Use,20,014824,CINF,Cincinnati Financial Corporation
103262,2013-09-12,Question,Energy Use,20,,,"Cincinnati Financial Corp., Asset Management Arm"
103262,2013-09-12,Question,Energy Use,20,,,"Cincinnati Financial Corp., Investment Arm"
103262,2013-09-12,Question,Environmental / Social / Ethical elements of Underwriting,32,014824,CINF,Cincinnati Financial Corporation
103262,2013-09-12,Question,Environmental / Social / Ethical elements of Underwriting,32,,,"Cincinnati Financial Corp., Asset Management Arm"
103262,2013-09-12,Question,Environmental / Social / Ethical elements of Underwriting,32,,,"Cincinnati Financial Corp., Investment Arm"
103262,2013-09-12,Question,Environmental Management Systems Database / Information S,9,014824,CINF,Cincinnati Financial Corporation
103262,2013-09-12,Question,Environmental Management Systems Database / Information S,9,,,"Cincinnati Financial Corp., Asset Management Arm"
103262,2013-09-12,Question,Environmental Management Systems Database / Information S,9,,,"Cincinnati Financial Corp., Investment Arm"
103262,2013-09-12,Question,Environmental Reporting - Coverage,0,014824,CINF,Cincinnati Financial Corporation
103262,2013-09-12,Question,Environmental Reporting - Coverage,0,,,"Cincinnati Financial Corp., Asset Management Arm"
103262,2013-09-12,Question,Environmental Reporting - Coverage,0,,,"Cincinnati Financial Corp., Investment Arm"
103262,2013-09-12,Question,Environmental Reporting - Materiality,0,014824,CINF,Cincinnati Financial Corporation
103262,2013-09-12,Question,Environmental Reporting - Materiality,0,,,"Cincinnati Financial Corp., Asset Management Arm"
103262,2013-09-12,Question,Environmental Reporting - Materiality,0,,,"Cincinnati Financial Corp., Investment Arm"
103262,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,014824,CINF,Cincinnati Financial Corporation
103262,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,,,"Cincinnati Financial Corp., Asset Management Arm"
103262,2013-09-12,Question,Environmental Reporting - Quantitative Data,0,,,"Cincinnati Financial Corp., Investment Arm"
