institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
103339,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,45,002547,CI,The Cigna Group
103339,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,45,,,"Cigna Corp, Asset Management Arm"
103339,2013-09-12,Question,Climate Change Governance,90,002547,CI,The Cigna Group
103339,2013-09-12,Question,Climate Change Governance,90,,,"Cigna Corp, Asset Management Arm"
103339,2013-09-12,Question,Climate Risk Management,100,002547,CI,The Cigna Group
103339,2013-09-12,Question,Climate Risk Management,100,,,"Cigna Corp, Asset Management Arm"
103339,2013-09-12,Question,Climate Strategy Impacts,23,002547,CI,The Cigna Group
103339,2013-09-12,Question,Climate Strategy Impacts,23,,,"Cigna Corp, Asset Management Arm"
103339,2013-09-12,Question,Climate-Related Management Incentives,0,002547,CI,The Cigna Group
103339,2013-09-12,Question,Climate-Related Management Incentives,0,,,"Cigna Corp, Asset Management Arm"
103339,2013-09-12,Question,Corporate Environmental Policy,100,002547,CI,The Cigna Group
103339,2013-09-12,Question,Corporate Environmental Policy,100,,,"Cigna Corp, Asset Management Arm"
103339,2013-09-12,Question,Corporate Environmental Policy: Areas,0,002547,CI,The Cigna Group
103339,2013-09-12,Question,Corporate Environmental Policy: Areas,0,,,"Cigna Corp, Asset Management Arm"
103339,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),0,002547,CI,The Cigna Group
103339,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),0,,,"Cigna Corp, Asset Management Arm"
103339,2013-09-12,Question,EMS: Certification/ Audit/ Verification,15,002547,CI,The Cigna Group
103339,2013-09-12,Question,EMS: Certification/ Audit/ Verification,15,,,"Cigna Corp, Asset Management Arm"
103339,2013-09-12,Question,Emissions Reduction Targets,35,002547,CI,The Cigna Group
103339,2013-09-12,Question,Emissions Reduction Targets,35,,,"Cigna Corp, Asset Management Arm"
103339,2013-09-12,Question,Energy Use,24,002547,CI,The Cigna Group
103339,2013-09-12,Question,Energy Use,24,,,"Cigna Corp, Asset Management Arm"
103339,2013-09-12,Question,Environmental Reporting - Coverage,0,002547,CI,The Cigna Group
103339,2013-09-12,Question,Environmental Reporting - Coverage,0,,,"Cigna Corp, Asset Management Arm"
