institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4091914,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,64,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Chemical Oxygen Demand,0,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Commitment to Lowering Product Impact,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Coverage of Environmental Management Policy,89,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),98,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,EMS: Certification/ Audit/ Verification,50,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Energy Use,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Environmental Reporting - Coverage,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Environmental Reporting - Materiality,70,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Life Cycle Assessment,6,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Life Cycle Research Projects,0,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,NOx Emissions,29,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Packaging Commitment,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Packaging Materials,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Product Design Criteria,80,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Responsibilities and Management System,80,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Sustainability Reporting Assurance,25,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Volatile Organic Compounds Emissions,24,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Waste Disposal,80,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Water Use,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Water Used During Products' Life Cycle (Downstream),20,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Analysis of Risks,20,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Audit Conflict of Interest,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Board Effectiveness,70,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Board Gender Diversity,27,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Board Type,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Brand Metrics Used,43,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Branding Strategies,75,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Codes of Conduct,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Codes of Conduct: Coverage,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,78,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Corporate Governance Policy,88,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Corruption & Bribery,60,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Critical Supplier Identification,50,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Customer Feedback Process,80,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Customer Satisfaction Measurement,33,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,ESG Integration in SCM Strategy,51,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Emerging Market Exposure & Strategy,0,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Environmental Innovation,37,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Knowledge Transfer,13,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Measuring Purchasing Power,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,60,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Open Innovation,58,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Opportunities,45,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Pricing Strategy & Responsibility,60,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Process Innovations,49,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Product Adaptation for Emerging Markets (B2C),10,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Product Innovations,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,R&D Core or Basic Research,47,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,R&D Development Stages,40,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,R&D Ideation or Applied Research,76,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,R&D Launch,80,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,R&D Post-Launch,54,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,R&D Spending,30,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Reporting on breaches,0,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Responsibilities and Committees,75,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Responsibility Risk & Crisis Management,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Risk Response Strategy,80,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Sensitivity Analysis & Stress Testing,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Social Innovation,29,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Stakeholder Perception Analysis,33,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Supplier Risk Management Measures,13,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Supply Chain Risk Exposure,25,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Supply Chain Transparency & Reporting,10,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Total Brand-Related Expenses,50,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Transparency of Executive Compensation,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,29,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Business and Human Rights,0,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,CEO Compensation - Success Metrics,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Corporate Citizenship Strategy,70,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Employee Support Programs,64,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Employee Turnover Rate,70,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Fatalities,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Health Management,25,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Healthy Lifestyle Incentive,75,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Human Capital Performance Indicators,20,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Human Resource Skill Mapping and Developing Process,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Lost-Time Injury Frequency Rate (LTIFR) - Contractors,0,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Lost-Time Injury Frequency Rate (LTIFR) - Employees,70,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Measuring Benefits,0,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Payout Type of Total Performance-Related Compensation,0,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Percentage of Performance Related Compensation for each E,0,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Personal and Organizational Learning and Development,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Philanthropic Contributions,50,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Social Reporting - Assurance,25,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Social Reporting - Coverage,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Social Reporting - Materiality,40,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Social Reporting - Quantitative Data,64,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Trend of Employee Wellbeing,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Type of Performance Appraisal,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Type of Philanthropic Activities,0,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Workforce Breakdown: Gender,22,003121,CLX,The Clorox Company
4091914,2013-09-12,Dimension,Economic Governance Dimension,62,003121,CLX,The Clorox Company
4091914,2013-09-12,Dimension,Environmental Dimension,69,003121,CLX,The Clorox Company
4091914,2013-09-12,Dimension,Social Dimension,63,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Environmental Policy & Management Systems,76,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Environmental Reporting,74,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Operational Eco-Efficiency,68,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Packaging,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Product Stewardship,55,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Brand Management,60,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Business Ethics,76,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Corporate Governance,83,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Customer Relationship Management,76,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Innovation Management,54,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Risk & Crisis Management,73,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Strategy for Emerging Markets,30,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Supply Chain Management,50,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Corporate Citizenship & Philanthropy,34,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Human Capital Development,68,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Labor Practice Indicators,51,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Occupational Health & Safety,77,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Social Reporting,57,003121,CLX,The Clorox Company
4091914,2013-09-12,Criteria,Talent Attraction & Retention,66,003121,CLX,The Clorox Company
4091914,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,60,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Chemical Oxygen Demand,0,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Commitment to Lowering Product Impact,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Coverage of Environmental Management Policy,89,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),98,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,EMS: Certification/ Audit/ Verification,50,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Energy Use,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Environmental Reporting - Coverage,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Environmental Reporting - Materiality,70,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Life Cycle Assessment,6,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Life Cycle Research Projects,0,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,NOx Emissions,0,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Packaging Commitment,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Packaging Materials,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Product Design Criteria,80,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Responsibilities and Management System,80,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Sustainability Reporting Assurance,25,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Volatile Organic Compounds Emissions,0,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Waste Disposal,80,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Water Use,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Water Used During Products' Life Cycle (Downstream),20,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Analysis of Risks,20,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Audit Conflict of Interest,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Board Effectiveness,70,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Board Gender Diversity,27,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Board Type,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Brand Metrics Used,0,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Branding Strategies,75,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Codes of Conduct,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Codes of Conduct: Coverage,100,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,78,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Corporate Governance Policy,88,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Corruption & Bribery,60,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Critical Supplier Identification,50,003121,CLX,The Clorox Company
4091914,2013-09-12,Question,Customer Feedback Process,80,003121,CLX,The Clorox Company
