institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4004173,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,80,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Chemical Oxygen Demand,79,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Commitment to Lowering Product Impact,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Coverage of Environmental Management Policy,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,EMS: Certification/ Audit/ Verification,50,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Energy Use,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Environmental Reporting - Coverage,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Environmental Reporting - Materiality,50,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Environmental Reporting - Quantitative Data,67,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),89,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Life Cycle Assessment,34,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Life Cycle Research Projects,30,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,NOx Emissions,4,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Packaging Commitment,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Packaging Materials,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Product Design Criteria,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Responsibilities and Management System,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Sustainability Reporting Assurance,25,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Volatile Organic Compounds Emissions,0,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Waste Disposal,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Water Use,87,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Water Used During Products' Life Cycle (Downstream),40,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Analysis of Risks,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Audit Conflict of Interest,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Board Effectiveness,45,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Board Gender Diversity,33,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Board Type,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Brand Metrics Used,70,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Branding Strategies,88,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Codes of Conduct,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Codes of Conduct: Coverage,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Corporate Governance Policy,88,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Corruption & Bribery,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Critical Supplier Identification,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Customer Feedback Process,80,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Customer Satisfaction Measurement,89,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,ESG Integration in SCM Strategy,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Emerging Market Exposure & Strategy,71,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Environmental Innovation,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Knowledge Transfer,75,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Measuring Purchasing Power,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,60,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Open Innovation,73,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Opportunities,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Pricing Strategy & Responsibility,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Process Innovations,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Product Adaptation for Emerging Markets (B2C),100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Product Innovations,70,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,R&D Core or Basic Research,64,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,R&D Development Stages,64,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,R&D Ideation or Applied Research,64,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,R&D Launch,64,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,R&D Post-Launch,80,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,R&D Spending,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Reporting on breaches,0,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Responsibilities and Committees,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Responsibility Risk & Crisis Management,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Risk Response Strategy,80,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Sensitivity Analysis & Stress Testing,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Social Innovation,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Stakeholder Perception Analysis,95,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Supplier Risk Management Measures,74,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Supply Chain Risk Exposure,64,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Supply Chain Transparency & Reporting,34,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Total Brand-Related Expenses,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Transparency of Executive Compensation,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,70,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Business and Human Rights,10,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,CEO Compensation - Success Metrics,40,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Corporate Citizenship Strategy,90,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,80,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Employee Support Programs,90,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Employee Turnover Rate,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Fatalities,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Health Management,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Healthy Lifestyle Incentive,88,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Human Capital Performance Indicators,40,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Human Resource Skill Mapping and Developing Process,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Lost-Time Injury Frequency Rate (LTIFR) - Contractors,48,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Lost-Time Injury Frequency Rate (LTIFR) - Employees,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Measuring Benefits,50,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Payout Type of Total Performance-Related Compensation,0,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Percentage of Performance Related Compensation for each E,60,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Personal and Organizational Learning and Development,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Philanthropic Contributions,50,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Social Reporting - Assurance,25,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Social Reporting - Coverage,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Social Reporting - Materiality,32,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Social Reporting - Quantitative Data,36,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Trend of Employee Wellbeing,50,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Type of Performance Appraisal,80,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Type of Philanthropic Activities,50,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Workforce Breakdown: Gender,66,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Dimension,Economic Governance Dimension,87,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Dimension,Environmental Dimension,74,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Dimension,Social Dimension,73,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Environmental Policy & Management Systems,80,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Environmental Reporting,61,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Operational Eco-Efficiency,71,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Packaging,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Product Stewardship,71,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Brand Management,91,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Business Ethics,85,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Corporate Governance,81,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Customer Relationship Management,90,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Innovation Management,82,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Risk & Crisis Management,97,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Strategy for Emerging Markets,88,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Supply Chain Management,82,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Corporate Citizenship & Philanthropy,58,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Human Capital Development,76,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Labor Practice Indicators,71,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Occupational Health & Safety,94,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Social Reporting,48,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Criteria,Talent Attraction & Retention,62,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,80,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Chemical Oxygen Demand,79,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Commitment to Lowering Product Impact,100,003170,CL,Colgate-Palmolive Company
4004173,2013-09-12,Question,Coverage of Environmental Management Policy,100,003170,CL,Colgate-Palmolive Company
