institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
100206,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,51,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Business Risks: Policies,24,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Climate Change Governance,100,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Climate Risk Management,100,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Climate Strategy Impacts,100,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Climate-Related Management Incentives,100,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),55,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,EMS: Certification/ Audit/ Verification,30,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,ESG Products and Services (Banks),50,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Emissions from Business Travel,21,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Energy Use,40,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Environmental Management Systems Database / Information S,25,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Environmental Reporting - Coverage,100,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Environmental Reporting - Materiality,56,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Environmental Reporting - Quantitative Data,67,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Environmental Risk Management,13,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Financial Opportunities Arising from Climate Change,20,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Financial Risks of Climate Change,45,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Implementation of Infrastructure / Project Finance Polici,29,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),35,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Low-Carbon Products,0,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Responsible Environmental Business Practices,35,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Sustainability Reporting Assurance,26,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Waste Disposal,60,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Water Use,0,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Audit Conflict of Interest,100,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Board Effectiveness,70,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Board Gender Diversity,41,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Board Type,100,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Brand Evaluation,43,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Brand Management Approach,15,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Brand Metrics Used,18,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,CEO-to-Employee Pay Ratio,0,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Codes of Conduct,78,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Codes of Conduct: Coverage,75,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Codes of Conduct: Systems/ Procedures,56,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Corporate Governance Policy,88,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Corruption & Bribery,60,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Crime Prevention: Business Policy/ Procedures,52,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Crime Prevention: Provision of Training,11,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Crime Prevention: Transaction Monitoring,100,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Crisis State Aid,28,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Customer Data Security & Data Privacy,50,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Customer Feedback Process,30,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Customer Satisfaction Measurement,30,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Global Systemically Important Banks,100,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Involvement of Stakeholders in Product Development,35,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Non-Executive Chairperson/ Lead Director,60,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Online Financial Services: Success,22,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Opportunities,31,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Reporting on breaches,0,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Responsibilities and Committees,75,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Risk Governance,85,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Risk Map,4,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Risk Optimization,13,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Risk Review,20,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Risk Strategy,20,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Supplier Risk Management Measures,1,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Supply Chain Risk Exposure,26,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Supply Chain Transparency & Reporting,0,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Transparency of Executive Compensation,100,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Absentee Rate,23,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Absenteeism: Work-Related Stress,27,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Balance of Variable Compensation Based on Corporate and I,25,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Business and Human Rights,19,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,CEO Compensation - Success Metrics,40,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Controversial Issues: Dilemmas Guidelines,23,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Controversial Issues: Dilemmas Implementation,14,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Corporate Citizenship Strategy,70,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Coverage of Employees through Predefined Performance Appr,33,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Employee Support Programs,63,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Employee Turnover Rate,43,003231,CMA,Comerica Incorporated
100206,2013-09-12,Question,Financial Inclusion Products & Services,34,003231,CMA,Comerica Incorporated
