institutionid,scoredate,scoretype,aspectname,scorevalue,gvkey,ticker,companyname
4041896,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,83,003243,C,Citigroup Inc.
4041896,2013-09-12,S&P Global ESG Score,S&P Global ESG Score,83,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Business Risks: Policies,100,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Business Risks: Policies,100,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Climate Change Governance,100,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Climate Change Governance,100,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Climate Risk Management,100,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Climate Risk Management,100,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Climate Strategy Impacts,100,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Climate Strategy Impacts,100,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Climate-Related Management Incentives,100,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Climate-Related Management Incentives,100,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),100,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Direct Greenhouse Gas Emissions (Scope 1),100,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,EMS: Certification/ Audit/ Verification,75,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,EMS: Certification/ Audit/ Verification,75,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,ESG Products and Services (Financial Services),36,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,ESG Products and Services (Financial Services),36,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Emissions from Business Travel,9,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Emissions from Business Travel,9,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Energy Use,80,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Energy Use,80,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Environmental Management Systems Database / Information S,100,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Environmental Management Systems Database / Information S,100,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Environmental Reporting - Coverage,100,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Environmental Reporting - Coverage,100,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Environmental Reporting - Materiality,74,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Environmental Reporting - Materiality,74,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Environmental Reporting - Quantitative Data,100,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Environmental Risk Management,100,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Environmental Risk Management,100,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Financial Opportunities Arising from Climate Change,100,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Financial Opportunities Arising from Climate Change,100,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Financial Risks of Climate Change,85,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Financial Risks of Climate Change,85,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Implementation of Infrastructure / Project Finance Polici,90,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Implementation of Infrastructure / Project Finance Polici,90,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Indirect Greenhouse Gas Emissions (Scope 2),100,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Low-Carbon Products,30,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Low-Carbon Products,30,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Responsible Environmental Business Practices,100,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Responsible Environmental Business Practices,100,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Sustainability Reporting Assurance,55,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Sustainability Reporting Assurance,55,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Waste Disposal,100,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Waste Disposal,100,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Water Use,79,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Water Use,79,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Audit Conflict of Interest,100,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Audit Conflict of Interest,100,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Board Effectiveness,75,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Board Effectiveness,75,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Board Gender Diversity,58,003243,C,Citigroup Inc.
4041896,2013-09-12,Question,Board Gender Diversity,58,,,"Citigroup Inc.,Banking and Securities Investments"
4041896,2013-09-12,Question,Board Type,100,003243,C,Citigroup Inc.
