name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
TotalRevenue,"2,700,529,000","690,860,000","674,708,000","669,673,000","665,288,000","644,559,000","613,927,000","601,197,000","580,774,000","561,743,000","551,135,000","555,801,000","567,404,000","576,405,000","601,651,000","593,566,000","587,613,000","577,263,000","566,184,000","578,522,000","575,982,000","569,239,000","560,792,000","555,292,000","550,500,000","530,512,000","522,326,000","518,240,000","516,211,000","502,307,000","508,498,000","480,840,000","475,360,000","457,459,000","442,367,000","440,656,000","430,525,000","413,806,000","400,075,000","394,169,000","393,127,000","389,234,000","312,131,000","271,303,000","271,904,000","258,805,000","252,454,000","241,091,000","251,077,000","244,859,000","235,808,000","231,892,000","227,583,000","220,468,000","215,587,000","193,741,000","222,051,000","222,144,000","219,483,000","220,353,000","218,492,000","214,222,000","211,838,000","212,386,000","208,124,000","201,936,000","196,706,000","193,800,000","187,667,000","180,675,000","173,807,000","174,977,000","169,992,000","171,877,000","168,711,000","161,413,000","167,573,000","162,258,000","156,879,000","155,233,000","153,573,000","154,712,000","153,956,000","161,347,000","160,358,000","160,785,000","160,104,000","160,272,000","163,269,000","162,359,000","155,757,000","151,998,000","146,351,000","139,958,000","135,088,000","112,044,000","140,900,000","125,600,000","126,100,000","116,084,000","119,900,000","71,100,000","45,400,000","37,234,000","32,700,000","29,800,000","26,300,000","24,693,000","23,100,000","18,400,000","16,500,000","15,200,000","13,600,000","15,300,000","11,900,000","11,000,000","10,500,000","9,000,000","1,500,000"
	OperatingRevenue,"2,700,529,000","690,860,000","674,708,000","669,673,000","665,288,000","644,559,000","613,927,000","601,197,000","580,774,000","561,743,000","551,135,000","555,801,000","567,404,000","576,405,000","601,651,000","593,566,000","587,613,000","577,263,000","566,184,000","578,522,000","575,982,000","569,239,000","560,792,000","555,292,000","550,500,000","530,512,000","522,326,000","518,240,000","516,211,000","502,307,000","508,498,000","480,840,000","475,360,000","457,459,000","442,367,000","440,656,000","430,525,000","413,806,000","400,075,000","394,169,000","393,127,000","389,234,000","312,131,000","271,303,000","271,904,000","258,805,000","252,454,000","241,091,000","251,077,000","244,859,000","235,808,000","231,892,000","225,783,000","220,468,000","215,587,000","193,741,000","220,173,000","222,144,000","219,483,000","220,353,000","218,492,000","214,222,000","211,872,000","212,181,000","208,067,000","201,740,000","197,251,000","200,079,000","188,761,000","180,882,000","173,807,000","175,206,000","170,200,000","172,325,000","175,325,000","161,844,000","167,916,000","162,570,000","157,086,000","184,208,000","153,573,000","156,269,000","155,386,000","161,598,000","161,169,000","162,059,000","161,803,000","160,272,000","163,269,000","163,820,000","162,580,000","151,998,000","146,351,000","139,958,000","135,088,000","112,044,000","140,900,000","125,600,000","126,100,000","124,800,000","119,900,000","71,100,000","45,400,000","37,200,000","32,700,000","29,800,000","26,300,000","24,700,000","23,100,000","18,400,000","16,500,000","15,200,000","13,600,000","15,300,000","11,900,000","11,000,000","10,500,000","9,000,000","1,500,000"
CostOfRevenue,"953,973,000","244,835,000","239,327,000","229,140,000","240,671,000","227,254,000","222,050,000","211,047,000","221,036,000","212,398,000","209,460,000","213,137,000","212,843,000","198,103,000","199,019,000","190,393,000","197,819,000","195,111,000","184,784,000","189,927,000","192,422,000","190,224,000","190,277,000","180,149,000","185,787,000","178,798,000","174,653,000","168,168,000","175,922,000","168,816,000","165,548,000","157,145,000","164,904,000","156,909,000","158,805,000","151,284,000","149,129,000","142,361,000","142,048,000","138,537,000","139,285,000","130,998,000","105,919,000","92,197,000","94,359,000","91,754,000","88,750,000","87,762,000","92,591,000","90,058,000","92,912,000","93,064,000","91,487,000","87,570,000","86,659,000","81,057,000","87,568,000","65,180,000","65,145,000","149,126,000","84,426,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"1,746,556,000","446,025,000","435,381,000","440,533,000","424,617,000","417,305,000","391,877,000","390,150,000","359,738,000","349,345,000","341,675,000","342,664,000","354,561,000","378,302,000","402,632,000","403,173,000","389,794,000","382,152,000","381,400,000","388,595,000","383,560,000","379,015,000","370,515,000","375,143,000","364,713,000","351,714,000","347,673,000","350,072,000","340,289,000","333,491,000","342,950,000","323,695,000","310,456,000","300,550,000","283,562,000","289,372,000","281,396,000","271,445,000","258,027,000","255,632,000","253,842,000","258,236,000","206,212,000","179,106,000","177,545,000","167,051,000","163,704,000","153,329,000","158,486,000","154,801,000","142,896,000","138,828,000","136,096,000","132,898,000","128,928,000","112,684,000","134,483,000","156,964,000","154,338,000","71,227,000","134,066,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"909,172,000","219,483,000","228,135,000","234,673,000","221,269,000","220,593,000","219,207,000","213,517,000","211,104,000","202,937,000","200,649,000","191,288,000","189,333,000","191,822,000","195,231,000","183,966,000","178,232,000","181,658,000","175,757,000","173,019,000","170,472,000","171,187,000","172,723,000","169,004,000","156,669,000","155,444,000","153,847,000","150,448,000","143,657,000","144,480,000","138,620,000","133,687,000","130,648,000","128,962,000","127,451,000","124,799,000","123,126,000","120,615,000","115,603,000","113,117,000","170,560,000","207,451,000","119,868,000","73,270,000","76,560,000","75,591,000","74,386,000","69,442,000","70,310,000","72,392,000","68,591,000","67,486,000","67,430,000","63,010,000","66,534,000","86,081,000","60,710,000","79,858,000","81,590,000","10,088,000","30,351,000","138,935,000","137,031,000","-100,709,000","132,930,000","128,108,000","126,318,000","121,774,000","116,613,000","116,253,000","111,516,000","114,055,000","112,274,000","110,755,000","111,548,000","106,735,000","111,712,000","107,265,000","105,074,000","236,155,000","102,725,000","100,495,000","100,051,000","224,747,000","101,062,000","95,477,000","93,087,000","91,049,000","91,162,000","89,647,000","87,532,000","84,850,000","82,506,000","80,955,000","76,934,000","527,616,000","-74,300,000","-69,800,000","-70,500,000","343,891,000","-67,000,000","-39,600,000","-24,000,000","133,223,000","-17,100,000","-15,900,000","-13,600,000","93,137,000","-12,400,000","-9,800,000","-8,900,000","-8,500,000","-7,800,000","-7,200,000","-7,000,000","-8,100,000","-5,100,000","-4,200,000","-700,000"
	SellingGeneralAndAdministration,"73,428,000","17,676,000","20,400,000","20,741,000","14,611,000","21,291,000","17,421,000","16,481,000","17,313,000","18,465,000","17,352,000","13,465,000","13,985,000","15,573,000","17,320,000","12,602,000","12,769,000","18,965,000","13,700,000","14,105,000","13,934,000","14,502,000","13,664,000","11,904,000","11,679,000","14,005,000","13,226,000","10,428,000","11,928,000","12,011,000","11,404,000","11,428,000","10,464,000","10,335,000","10,598,000","10,715,000","11,290,000","10,220,000","9,236,000","8,311,000","9,878,000","11,345,000","10,039,000","7,703,000","9,954,000","9,815,000","11,156,000","7,847,000","7,415,000","8,145,000","7,292,000","6,871,000","8,065,000","5,088,000","9,934,000","10,360,000","5,750,000","5,390,000","7,247,000","15,960,000","9,318,000","9,383,000","8,119,000","8,427,000","6,645,000","6,642,000","6,780,000","6,372,000","5,633,000","6,479,000","6,283,000","6,483,000","5,857,000","6,262,000","7,159,000","6,303,000","3,729,000","4,071,000","3,971,000","3,098,000","3,382,000","3,623,000","3,631,000","4,112,000","3,042,000","3,483,000","3,694,000","4,255,000","3,421,000","3,743,000","3,805,000","3,422,000","3,359,000","3,285,000","2,947,000","2,402,000","2,300,000","2,400,000","2,400,000","2,174,000","2,600,000","1,800,000","2,000,000","1,708,000","1,700,000","1,500,000","1,400,000","1,195,000","1,000,000","900,000","900,000","700,000","700,000","600,000","500,000","500,000","600,000","500,000","100,000"
		GeneralAndAdministrativeExpense,"73,428,000","17,676,000","20,400,000","20,741,000","14,611,000","21,291,000","17,421,000","16,481,000","17,313,000","18,465,000","17,352,000","13,465,000","13,985,000","15,573,000","17,320,000","12,602,000","12,769,000","18,965,000","13,700,000","14,105,000","13,934,000","14,502,000","13,664,000","11,904,000","11,679,000","14,005,000","13,226,000","10,428,000","11,928,000","12,011,000","11,404,000","11,428,000","10,464,000","10,335,000","10,598,000","10,715,000","11,290,000","10,220,000","9,236,000","8,311,000","9,878,000","11,345,000","10,039,000","7,703,000",,,,,,,,,,,,,,,,,,"9,383,000","8,119,000",,"6,645,000","6,642,000","6,780,000","6,372,000","5,633,000","6,479,000","6,283,000","6,483,000","5,857,000","6,262,000","7,159,000","6,303,000","3,729,000","4,071,000","3,971,000","3,098,000","3,382,000","3,623,000","3,631,000",,"3,042,000","3,483,000","3,694,000",,"3,421,000","3,743,000","3,805,000",,"3,359,000","3,285,000","2,947,000",,"2,300,000","2,400,000","2,400,000","2,174,000","2,600,000","1,800,000","2,000,000","1,708,000","1,700,000","1,500,000","1,400,000","1,195,000","1,000,000","900,000","900,000","700,000","700,000","600,000","500,000","500,000","600,000","500,000","100,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,383,000","8,119,000",,"6,645,000","6,642,000","6,780,000","6,372,000","5,633,000","6,479,000","6,283,000","6,483,000","5,857,000","6,262,000","7,159,000","6,303,000","3,729,000","4,071,000","3,971,000","3,098,000","3,382,000","3,623,000","3,631,000",,"3,042,000","3,483,000","3,694,000",,"3,421,000","3,743,000","3,805,000",,"3,359,000","3,285,000","2,947,000",,"2,300,000","2,400,000","2,400,000","2,200,000","2,600,000","1,800,000","2,000,000","1,700,000","1,700,000","1,500,000","1,400,000","1,000,000","1,000,000","900,000","900,000","700,000","700,000","600,000","500,000","500,000","600,000","500,000","100,000"
			OtherGandA,"73,428,000","17,676,000","20,400,000","20,741,000","14,611,000","21,291,000","17,421,000","16,481,000","17,313,000","18,465,000","17,352,000","13,465,000","13,985,000","15,573,000","17,320,000","12,602,000","12,769,000","18,965,000","13,700,000","14,105,000","13,934,000","14,502,000","13,664,000","11,904,000","11,679,000","14,005,000","13,226,000","10,428,000","11,928,000","12,011,000","11,404,000","11,428,000","10,464,000","10,335,000","10,598,000","10,715,000","11,290,000","10,220,000","9,236,000","8,311,000","9,878,000","11,345,000","10,039,000","7,703,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"3,812,000",,,,,,,,,,,,,,,"1,286,000","1,108,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
