name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
TotalRevenue,"21,821,000,000","5,992,000,000","5,273,000,000","5,105,000,000","5,451,000,000","5,211,000,000","4,654,000,000","5,133,000,000","5,341,000,000","5,440,000,000","4,699,000,000","4,594,000,000","5,002,000,000","3,972,000,000","3,888,000,000","4,501,000,000","4,822,000,000","4,962,000,000","4,323,000,000"
	OperatingRevenue,"21,821,000,000","5,992,000,000","5,273,000,000","5,105,000,000","5,451,000,000","5,211,000,000","4,654,000,000","5,133,000,000","5,341,000,000","5,440,000,000","4,699,000,000","4,594,000,000","5,002,000,000","3,972,000,000","3,888,000,000","4,501,000,000","4,822,000,000","4,962,000,000","4,323,000,000"
CostOfRevenue,"15,964,000,000","4,237,000,000","3,895,000,000","3,858,000,000","3,974,000,000","3,764,000,000","3,361,000,000","3,767,000,000","3,740,000,000","3,821,000,000","3,305,000,000","3,309,000,000","3,441,000,000","2,831,000,000","2,766,000,000","3,228,000,000","3,376,000,000","3,488,000,000","3,097,000,000"
GrossProfit,"5,857,000,000","1,755,000,000","1,378,000,000","1,247,000,000","1,477,000,000","1,447,000,000","1,293,000,000","1,366,000,000","1,601,000,000","1,619,000,000","1,394,000,000","1,285,000,000","1,561,000,000","1,141,000,000","1,122,000,000","1,273,000,000","1,446,000,000","1,474,000,000","1,226,000,000"
OperatingExpense,"3,384,000,000","935,000,000","860,000,000","822,000,000","767,000,000","736,000,000","726,000,000","950,000,000","871,000,000","938,000,000","864,000,000","937,000,000","781,000,000","731,000,000","790,000,000","794,000,000","804,000,000","783,000,000","781,000,000"
	SellingGeneralAndAdministration,"2,802,000,000","784,000,000","721,000,000","673,000,000","624,000,000","614,000,000","601,000,000","816,000,000","748,000,000","813,000,000","743,000,000","810,000,000","681,000,000","637,000,000","692,000,000","695,000,000","702,000,000","680,000,000","684,000,000"
	ResearchAndDevelopment,"582,000,000","151,000,000","139,000,000","149,000,000","143,000,000","122,000,000","125,000,000","134,000,000","123,000,000","125,000,000","121,000,000","127,000,000","100,000,000","94,000,000","98,000,000","99,000,000","102,000,000","103,000,000","97,000,000"
	OtherOperatingExpenses,,,,,,,,,,,"-3,000,000",,"-239,000,000","25,000,000","46,000,000",,"91,000,000","-34,000,000","-15,000,000"
OperatingIncome,"2,473,000,000","820,000,000","518,000,000","425,000,000","710,000,000","711,000,000","567,000,000","416,000,000","730,000,000","681,000,000","530,000,000","348,000,000","780,000,000","410,000,000","332,000,000","479,000,000","642,000,000","691,000,000","445,000,000"
NetNonOperatingInterestIncomeExpense,"-223,000,000","-67,000,000","-46,000,000","-54,000,000","-56,000,000","-61,000,000","-48,000,000","-68,000,000","-74,000,000","-71,000,000","-93,000,000","-82,000,000","-88,000,000","-81,000,000","-37,000,000","4,000,000","3,000,000","16,000,000","4,000,000"
	InterestIncomeNonOperating,"89,000,000","27,000,000","25,000,000","22,000,000","15,000,000","7,000,000","39,000,000","4,000,000","2,000,000","4,000,000","3,000,000","3,000,000","2,000,000","4,000,000","1,000,000","24,000,000","23,000,000","25,000,000","30,000,000"
	InterestExpenseNonOperating,"312,000,000","94,000,000","71,000,000","76,000,000","71,000,000","68,000,000","87,000,000","72,000,000","76,000,000","75,000,000","96,000,000","85,000,000","90,000,000","81,000,000","38,000,000","20,000,000","20,000,000","9,000,000","26,000,000"
	TotalOtherFinanceCost,,"67,000,000","46,000,000","54,000,000",,,,"68,000,000",,,,,,,,,,,
OtherIncomeExpense,"528,000,000","-331,000,000","37,000,000","6,000,000","816,000,000","107,000,000","1,169,000,000","57,000,000","112,000,000","121,000,000","59,000,000","910,000,000","317,000,000","46,000,000","46,000,000","108,000,000","34,000,000","152,000,000","94,000,000"
	EarningsFromEquityInterest,"199,000,000","52,000,000","44,000,000","40,000,000","63,000,000","101,000,000","58,000,000","48,000,000","76,000,000","87,000,000","38,000,000","59,000,000","62,000,000","57,000,000","29,000,000","38,000,000","78,000,000","80,000,000","40,000,000"
	OtherNonOperatingIncomeExpenses,"329,000,000","-383,000,000","-7,000,000","-34,000,000","753,000,000","6,000,000","1,111,000,000","9,000,000","36,000,000","34,000,000","21,000,000","-200,000,000","255,000,000","-11,000,000","-29,000,000","178,000,000","-44,000,000","72,000,000","54,000,000"
PretaxIncome,"2,778,000,000","422,000,000","509,000,000","377,000,000","1,470,000,000","757,000,000","1,688,000,000","405,000,000","768,000,000","731,000,000","496,000,000","1,176,000,000","1,009,000,000","375,000,000","295,000,000","591,000,000","679,000,000","859,000,000","543,000,000"
TaxProvision,"548,000,000","189,000,000","122,000,000","99,000,000","138,000,000","170,000,000","301,000,000","73,000,000","288,000,000","234,000,000","104,000,000","289,000,000","261,000,000","106,000,000","193,000,000","137,000,000","175,000,000","65,000,000","140,000,000"
NetIncomeCommonStockholders,"2,154,000,000","199,000,000","373,000,000","270,000,000","1,312,000,000","573,000,000","1,379,000,000","324,000,000","469,000,000","487,000,000","384,000,000","884,000,000","741,000,000","261,000,000","96,000,000","100,000,000","492,000,000","784,000,000","400,000,000"
	NetIncome,"2,154,000,000","199,000,000","373,000,000","270,000,000","1,312,000,000","573,000,000","1,379,000,000","324,000,000","469,000,000","487,000,000","384,000,000","884,000,000","741,000,000","261,000,000","96,000,000","440,000,000","492,000,000","784,000,000","400,000,000"
		NetIncomeIncludingNoncontrollingInterests,"2,230,000,000","233,000,000","387,000,000","278,000,000","1,332,000,000","587,000,000","1,387,000,000","332,000,000","480,000,000","497,000,000","392,000,000","887,000,000","748,000,000","269,000,000","102,000,000","454,000,000","504,000,000","794,000,000","403,000,000"
			NetIncomeContinuousOperations,"2,230,000,000","233,000,000","387,000,000","278,000,000","1,332,000,000","587,000,000","1,387,000,000","332,000,000","480,000,000","497,000,000","392,000,000","887,000,000","748,000,000","269,000,000","102,000,000","454,000,000","504,000,000","794,000,000","403,000,000"
		MinorityInterests,"-76,000,000","-34,000,000","-14,000,000","-8,000,000","-20,000,000","-14,000,000","-8,000,000","-8,000,000","-11,000,000","-10,000,000","-8,000,000","-3,000,000","-7,000,000","-8,000,000","-6,000,000","-14,000,000","-12,000,000","-10,000,000","-3,000,000"
DilutedNIAvailtoComStockholders,"2,154,000,000","199,000,000","373,000,000","270,000,000","1,312,000,000","573,000,000","1,379,000,000","324,000,000","469,000,000","487,000,000","384,000,000","884,000,000","741,000,000","261,000,000","96,000,000","100,000,000","492,000,000","784,000,000","400,000,000"
BasicEPS,,"0.24","0.45","0.32","1.56","0.68","1.62","0.38","0.54","0.56","0.44","1.02","0.86","0.3","0.11","0.508","0.568","0.905","0.462"
DilutedEPS,,"0.23","0.44","0.32","1.53","0.67","1.58","0.36","0.53","0.55","0.43","1","0.84","0.3","0.11","0.508","0.564","0.898","0.458"
BasicAverageShares,,"836,000,000","835,000,000","835,600,000","839,600,000","845,700,000","853,300,000","865,000,000","867,600,000","868,700,000","869,300,000","867,100,000","866,400,000","866,200,000","866,200,000","866,223,435","866,200,000","866,200,000","866,200,000"
DilutedAverageShares,,"850,900,000","852,200,000","852,200,000","856,500,000","862,700,000","874,100,000","888,500,000","892,000,000","890,900,000","889,800,000","892,200,000","881,500,000","870,900,000","866,200,000","866,223,435","872,800,000","872,800,000","872,800,000"
TotalOperatingIncomeAsReported,"3,003,000,000","489,000,000","555,000,000","433,000,000","1,526,000,000","819,000,000","1,737,000,000","463,000,000","828,000,000","783,000,000","571,000,000","1,245,000,000","1,081,000,000","442,000,000","315,000,000","557,000,000","629,000,000","805,000,000","500,000,000"
TotalExpenses,"19,348,000,000","5,172,000,000","4,755,000,000","4,680,000,000","4,741,000,000","4,500,000,000","4,087,000,000","4,717,000,000","4,611,000,000","4,759,000,000","4,169,000,000","4,246,000,000","4,222,000,000","3,562,000,000","3,556,000,000","4,022,000,000","4,180,000,000","4,271,000,000","3,878,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"2,154,000,000","199,000,000","373,000,000","270,000,000","1,312,000,000","573,000,000","1,379,000,000","324,000,000","469,000,000","487,000,000","384,000,000","884,000,000","741,000,000","261,000,000","96,000,000","440,000,000","492,000,000","784,000,000","400,000,000"
NormalizedIncome,"2,154,000,000","199,000,000","373,000,000","270,000,000","1,312,000,000","573,000,000","1,379,000,000","324,000,000","469,000,000","487,000,000","384,000,000","884,000,000","741,000,000","261,000,000","96,000,000","440,000,000","492,000,000","784,000,000","400,000,000"
InterestIncome,"89,000,000","27,000,000","25,000,000","22,000,000","15,000,000","7,000,000","39,000,000","4,000,000","2,000,000","4,000,000","3,000,000","3,000,000","2,000,000","4,000,000","1,000,000","24,000,000","23,000,000","25,000,000","30,000,000"
InterestExpense,"312,000,000","94,000,000","71,000,000","76,000,000","71,000,000","68,000,000","87,000,000","72,000,000","76,000,000","75,000,000","96,000,000","85,000,000","90,000,000","81,000,000","38,000,000","20,000,000","20,000,000","9,000,000","26,000,000"
NetInterestIncome,"-223,000,000","-67,000,000","-46,000,000","-54,000,000","-56,000,000","-61,000,000","-48,000,000","-68,000,000","-74,000,000","-71,000,000","-93,000,000","-82,000,000","-88,000,000","-81,000,000","-37,000,000","4,000,000","3,000,000","16,000,000","4,000,000"
