name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"52,184,000,000","13,327,000,000","11,047,000,000","11,641,000,000","14,652,000,000","14,441,000,000","15,835,000,000","13,915,000,000","12,835,000,000","10,606,000,000","14,418,000,000","9,712,000,000","10,232,000,000","9,418,000,000","14,481,000,000","11,826,000,000","12,939,000,000","12,547,000,000","12,480,000,000","12,579,000,000","11,509,000,000","11,657,000,000","11,736,000,000","12,629,000,000","12,062,000,000","12,572,000,000","12,667,000,000","13,076,000,000","12,926,000,000","14,846,000,000","11,906,000,000","14,272,000,000","12,848,000,000","15,784,000,000","16,021,000,000","15,607,000,000","16,717,000,000","16,135,000,000","16,149,000,000","21,608,000,000","14,859,000,000","17,317,000,000","15,891,000,000","12,338,000,000","17,648,000,000","17,123,000,000","18,443,000,000","17,409,000,000","12,716,000,000","16,676,000,000","17,436,000,000","21,687,000,000","19,091,000,000","9,014,000,000","16,330,000,000","19,972,000,000","26,049,000,000","29,525,000,000","20,458,000,000","-23,758,000,000","898,000,000","19,933,000,000","14,031,000,000","18,433,000,000","29,836,000,000","31,150,000,000","30,645,000,000","29,993,000,000","29,199,000,000","26,743,000,000","27,259,000,000","27,363,000,000","26,361,000,000","26,861,000,000","27,112,000,000","25,130,000,000","25,411,000,000","23,809,000,000","23,637,000,000","22,179,000,000","20,306,000,000","19,891,000,000","18,927,000,000","17,533,000,000","17,150,000,000","14,938,000,000","14,480,000,000","14,571,000,000","14,001,000,000","11,676,000,000","11,254,000,000","11,557,000,000","10,221,000,000","10,565,000,000","10,083,000,000","10,336,000,000","8,879,000,000","9,424,000,000","9,087,000,000","8,498,900,000","7,711,200,000","7,529,500,000","7,107,400,000","-6,342,162,000","6,984,200,000","7,143,900,000","6,616,600,000","-5,451,429,000","6,553,100,000","6,423,700,000","6,083,700,000","-4,531,977,000","6,031,200,000","5,968,500,000","5,551,800,000","-3,482,090,000","5,227,500,000","5,180,900,000","4,848,100,000","4,993,700,000","4,744,200,000","4,642,500,000","4,316,600,000","4,494,200,000","4,295,300,000","4,207,400,000","4,087,100,000","4,214,400,000","3,912,500,000","3,850,900,000","3,814,700,000","4,038,700,000","3,700,400,000","3,637,100,000","3,495,200,000","3,545,400,000","3,336,600,000","3,340,000,000","3,253,600,000","3,430,900,000","3,431,000,000","3,153,200,000","3,196,100,000","3,304,100,000","2,652,500,000","2,684,200,000","2,504,200,000","2,568,600,000","2,249,100,000","2,129,200,000","1,773,400,000","1,795,600,000","1,446,500,000"
	TotalPremiumsEarned,"34,763,000,000","9,057,000,000","8,481,000,000","9,399,000,000","7,832,000,000","7,516,000,000","7,110,000,000","9,334,000,000","7,504,000,000","7,914,000,000","6,507,000,000","6,996,000,000","6,677,000,000","7,407,000,000","7,443,000,000","7,444,000,000","7,617,000,000","7,430,000,000","8,070,000,000","8,464,000,000","7,668,000,000","7,207,000,000","7,275,000,000","7,915,000,000","8,063,000,000","7,614,000,000","7,782,000,000","8,255,000,000","8,581,000,000","8,751,000,000","8,806,000,000","9,426,000,000","8,862,000,000","9,545,000,000","8,822,000,000","9,305,000,000","9,453,000,000","9,458,000,000","9,038,000,000","9,426,000,000","9,352,000,000","9,200,000,000","9,372,000,000","9,428,000,000","9,503,000,000","9,619,000,000","9,461,000,000","9,781,000,000","9,829,000,000","9,898,000,000","9,482,000,000","12,098,000,000","12,639,000,000","4,692,000,000","10,067,000,000","12,072,000,000","16,041,000,000","17,769,000,000","18,820,000,000","20,016,000,000","21,082,000,000","21,735,000,000","20,672,000,000","20,394,000,000","19,733,000,000","19,533,000,000","19,642,000,000","18,682,000,000","18,856,000,000","18,303,000,000","18,242,000,000","17,739,000,000","17,244,000,000","17,541,000,000","17,682,000,000","16,443,000,000","17,690,000,000","16,321,000,000","16,139,000,000","14,718,000,000","13,721,000,000","13,228,000,000","12,946,000,000","11,996,000,000","11,284,000,000","11,019,000,000","10,290,000,000","10,233,000,000","9,718,000,000","8,591,000,000","8,228,000,000","8,454,000,000","7,389,000,000","7,789,000,000","7,385,000,000","7,484,000,000","6,392,000,000","6,962,000,000","6,648,000,000","6,636,200,000","6,106,200,000","5,986,700,000","5,615,800,000","5,720,079,000","5,569,700,000","5,761,700,000","5,295,200,000","5,560,661,000","5,250,100,000","5,155,000,000","4,867,300,000","5,066,481,000","4,937,600,000","4,886,200,000","4,553,600,000","4,489,552,000","4,316,600,000","4,253,600,000","3,951,500,000","4,108,200,000","3,904,200,000","3,808,400,000","3,491,900,000","3,696,400,000","3,525,000,000","3,469,800,000","3,371,200,000","3,528,000,000","3,237,900,000","3,203,800,000","3,194,200,000","3,446,400,000","3,148,000,000","3,079,100,000","2,953,500,000",,,,,,,,,,,,,,,,,,
	NetInvestmentIncome,"3,767,000,000","388,000,000","-1,181,000,000","-2,563,000,000","3,491,000,000","2,604,000,000","5,585,000,000","-835,000,000","1,120,000,000","-1,776,000,000","1,521,000,000","-4,019,000,000","-536,000,000","-1,755,000,000","3,190,000,000","-839,000,000","686,000,000","404,000,000","3,463,000,000","3,156,000,000","3,175,000,000","3,440,000,000","3,096,000,000","2,925,000,000","2,762,000,000","3,248,000,000","3,242,000,000","2,626,000,000","3,455,000,000","3,745,000,000","2,725,000,000","2,909,000,000","2,946,000,000","3,950,000,000","3,918,000,000","4,013,000,000","4,014,000,000","3,841,000,000","3,768,000,000","4,001,000,000","3,709,000,000","4,046,000,000","3,819,000,000","2,256,000,000","4,650,000,000","4,481,000,000","7,105,000,000","4,594,000,000","128,000,000","4,464,000,000","5,569,000,000","6,059,000,000","5,231,000,000","4,980,000,000","4,836,000,000","5,515,000,000","8,656,000,000","8,785,000,000","2,283,000,000","-2,406,000,000","2,946,000,000","6,728,000,000","4,954,000,000","7,470,000,000","6,172,000,000","7,853,000,000","7,124,000,000","8,543,000,000","6,263,000,000","5,912,000,000","5,827,000,000","-15,117,000,000","5,629,000,000","5,198,000,000","5,292,000,000","-13,523,000,000","4,708,000,000","4,656,000,000","4,720,000,000","4,348,000,000","4,104,000,000","4,186,000,000","4,024,000,000","3,820,000,000","3,840,000,000","3,726,000,000","3,648,000,000","-8,952,000,000","3,659,000,000","2,658,000,000","2,637,000,000","-5,796,000,000","2,449,000,000","2,400,000,000","2,334,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetRealizedGainLossOnInvestments,"7,733,000,000","2,289,000,000","2,171,000,000","2,634,000,000","2,153,000,000","3,392,000,000","1,668,000,000","3,727,000,000","2,820,000,000","2,799,000,000","4,991,000,000","4,892,000,000","2,479,000,000","2,269,000,000","2,616,000,000","3,194,000,000","3,384,000,000","3,215,000,000","31,000,000","-121,000,000","-246,000,000","3,000,000","117,000,000","69,000,000","-23,000,000","292,000,000","205,000,000","-60,000,000","274,000,000","1,140,000,000","-171,000,000","254,000,000","-40,000,000","21,000,000","1,053,000,000","142,000,000","197,000,000","221,000,000","226,000,000","772,000,000","425,000,000","1,309,000,000","319,000,000","2,116,000,000","647,000,000","397,000,000","-303,000,000","694,000,000","412,000,000","66,000,000","-651,000,000","1,203,000,000","-661,000,000","-658,000,000","-548,000,000","759,000,000","-1,978,000,000","-663,000,000","-3,102,000,000","-25,002,000,000","-18,312,000,000","-6,081,000,000","-6,089,000,000","-2,630,000,000","-864,000,000","-28,000,000","-70,000,000","238,000,000","-87,000,000","-214,000,000","169,000,000","20,034,000,000","79,000,000","245,000,000","88,000,000","16,825,000,000","-12,000,000","-143,000,000","83,000,000","-85,000,000","-360,000,000","-356,000,000","-632,000,000","-985,000,000","-595,000,000","-629,000,000","-232,000,000","11,318,000,000","-114,000,000","-45,000,000","-51,000,000","7,502,000,000","-37,000,000","-34,000,000","-21,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncome,"1,660,000,000","484,000,000","567,000,000","734,000,000","515,000,000",,"453,000,000","657,000,000","435,000,000","503,000,000","414,000,000","489,000,000","489,000,000","498,000,000","513,000,000","519,000,000","495,000,000","518,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	NetForeignExchangeGainLoss,"596,000,000","222,000,000","130,000,000","513,000,000","-266,000,000",,"-23,000,000",,,"148,000,000","-55,000,000","328,000,000","257,000,000","44,000,000","-254,000,000","469,000,000","-203,000,000","-2,000,000","-37,000,000","-27,000,000","-21,000,000","-187,000,000","53,000,000","190,000,000","66,000,000","74,000,000","159,000,000","-29,000,000","-639,000,000","-38,000,000","-520,000,000","112,000,000","-16,000,000","66,000,000","254,000,000","269,000,000","350,000,000","-47,000,000","26,000,000","16,000,000","-276,000,000","82,000,000","329,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	FeeRevenueAndOtherIncome,"3,665,000,000","887,000,000","879,000,000","924,000,000","927,000,000","929,000,000","1,042,000,000","1,021,000,000","956,000,000","1,018,000,000","1,040,000,000","1,026,000,000","866,000,000","955,000,000","973,000,000","1,039,000,000","960,000,000","982,000,000","953,000,000","1,107,000,000","933,000,000","1,194,000,000","1,195,000,000","1,530,000,000","1,194,000,000","1,344,000,000","1,279,000,000","2,284,000,000","1,255,000,000","1,248,000,000","1,066,000,000","1,571,000,000","1,096,000,000","2,202,000,000","1,974,000,000","1,878,000,000","2,703,000,000","2,662,000,000","3,091,000,000","7,393,000,000","1,649,000,000","2,680,000,000","2,052,000,000","-1,228,000,000","2,848,000,000","2,626,000,000","2,180,000,000","2,340,000,000","2,347,000,000","2,248,000,000","3,036,000,000","2,327,000,000","1,882,000,000","2,404,000,000","1,975,000,000","1,626,000,000","3,330,000,000","3,634,000,000","2,457,000,000","-16,366,000,000","-4,818,000,000","-2,449,000,000","-5,506,000,000","-6,801,000,000","4,795,000,000","3,792,000,000","3,949,000,000","2,530,000,000","4,167,000,000","2,742,000,000","3,021,000,000","3,530,000,000","3,409,000,000","3,877,000,000","4,050,000,000","4,289,000,000","3,025,000,000","2,975,000,000","2,695,000,000","3,198,000,000","2,841,000,000","2,833,000,000","2,589,000,000","2,702,000,000","2,621,000,000","822,000,000","774,000,000","831,000,000","738,000,000","472,000,000","440,000,000","508,000,000","420,000,000","410,000,000","385,000,000","-5,993,000,000","2,487,000,000","2,462,000,000","2,439,000,000","-3,726,300,000","1,605,000,000","1,542,800,000","1,491,600,000","-16,961,594,000","1,414,500,000","1,382,200,000","1,321,400,000","-15,477,125,000","1,303,000,000","1,268,700,000","1,216,400,000","-13,509,858,000","1,093,600,000","1,082,300,000","998,200,000","-11,294,355,000","910,900,000","927,300,000","896,600,000","885,500,000","840,000,000","834,100,000","824,700,000","797,800,000","770,300,000","737,600,000","715,900,000","686,400,000","674,600,000","647,100,000","620,500,000","592,300,000","552,400,000","558,000,000","541,700,000",,,,,,,,,,,,,,,,,,
		FeesAndCommissions,"3,756,000,000","694,000,000","879,000,000","924,000,000","927,000,000","929,000,000","1,042,000,000","1,021,000,000","956,000,000","1,018,000,000","1,040,000,000","1,026,000,000","866,000,000","955,000,000","973,000,000","1,039,000,000","960,000,000","982,000,000","953,000,000","1,107,000,000","933,000,000","1,194,000,000","1,195,000,000","1,530,000,000","1,194,000,000","1,344,000,000","1,279,000,000","2,284,000,000","1,255,000,000","1,248,000,000","1,066,000,000","1,571,000,000","1,096,000,000","2,202,000,000","1,974,000,000","1,878,000,000","2,703,000,000","2,173,000,000","1,978,000,000","2,973,000,000","1,649,000,000","2,680,000,000","2,052,000,000","4,317,000,000","691,000,000","674,000,000","691,000,000","681,000,000","658,000,000","682,000,000","684,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherIncomeExpense,,"193,000,000",,,,,,,"242,000,000","247,000,000","256,000,000","261,000,000","218,000,000","206,000,000","218,000,000","261,000,000","227,000,000","213,000,000","218,000,000","373,000,000","403,000,000","431,000,000","431,000,000","772,000,000","466,000,000","619,000,000","555,000,000","1,581,000,000","609,000,000","552,000,000","379,000,000","882,000,000","395,000,000","1,514,000,000","1,297,000,000","0","1,960,000,000","489,000,000","1,113,000,000","6,741,000,000","1,004,000,000","2,057,000,000","1,437,000,000","-1,963,000,000","2,157,000,000","1,952,000,000","1,489,000,000","1,659,000,000","1,689,000,000","1,566,000,000","2,352,000,000","2,327,000,000","1,882,000,000","2,404,000,000","1,975,000,000","1,626,000,000","3,330,000,000","3,634,000,000","2,457,000,000","-16,366,000,000","-4,818,000,000","-2,449,000,000","-5,506,000,000","-6,801,000,000","4,795,000,000","3,792,000,000","3,949,000,000","2,530,000,000","4,167,000,000","2,742,000,000","3,021,000,000","3,530,000,000","3,409,000,000","3,877,000,000","4,050,000,000","4,289,000,000","3,025,000,000","2,975,000,000","2,695,000,000","3,198,000,000","2,841,000,000","2,833,000,000","2,589,000,000","2,702,000,000","2,621,000,000","822,000,000","774,000,000","831,000,000","738,000,000","472,000,000","440,000,000","508,000,000","420,000,000","410,000,000","385,000,000","-5,993,000,000","2,487,000,000","2,462,000,000","2,439,000,000","-3,726,300,000","1,605,000,000","1,542,800,000","1,491,600,000","-16,961,594,000","1,414,500,000","1,382,200,000","1,321,400,000","-15,477,125,000","1,303,000,000","1,268,700,000","1,216,400,000","-13,509,858,000","1,093,600,000","1,082,300,000","998,200,000","-11,294,355,000","910,900,000","927,300,000","896,600,000","885,500,000","840,000,000","834,100,000","824,700,000","797,800,000","770,300,000","737,600,000","715,900,000","686,400,000","674,600,000","647,100,000","620,500,000","592,300,000","552,400,000","558,000,000","541,700,000",,,,,,,,,,,,,,,,,,
TotalExpenses,"45,905,000,000","11,460,000,000","11,278,000,000","11,362,000,000","10,805,000,000","10,120,000,000","10,000,000,000","8,867,000,000","10,659,000,000","10,459,000,000","9,690,000,000","10,270,000,000","9,864,000,000","19,079,000,000","11,923,000,000","10,790,000,000","11,679,000,000","10,710,000,000","11,326,000,000","13,274,000,000","13,036,000,000","10,405,000,000","10,509,000,000","11,754,000,000","14,865,000,000","10,905,000,000","10,940,000,000","16,531,000,000","12,189,000,000","11,988,000,000","12,120,000,000","17,204,000,000","12,963,000,000","13,232,000,000","12,245,000,000","14,878,000,000","13,698,000,000","11,655,000,000","13,876,000,000","19,398,000,000","13,680,000,000","14,170,000,000","13,059,000,000","11,946,000,000","15,053,000,000","15,372,000,000","13,859,000,000","14,542,000,000","17,074,000,000","14,870,000,000","18,816,000,000","7,549,000,000","18,669,000,000","7,411,000,000","15,495,000,000","28,364,000,000","26,256,000,000","28,206,000,000","26,826,000,000","36,798,000,000","29,083,000,000","28,689,000,000","25,295,000,000","26,869,000,000","24,957,000,000","24,822,000,000","24,473,000,000","24,641,000,000","22,898,000,000","21,502,000,000","22,466,000,000","27,061,000,000","23,884,000,000","21,066,000,000","21,669,000,000","22,818,000,000","21,453,000,000","19,420,000,000","19,346,000,000","18,129,000,000","16,802,000,000","16,461,000,000","16,003,000,000","17,846,000,000","14,421,000,000","12,171,000,000","11,521,000,000","11,854,000,000","13,384,000,000","9,291,000,000","8,982,000,000","9,359,000,000","8,157,000,000","8,469,000,000","8,092,000,000","20,549,000,000","3,028,000,000","3,373,000,000","3,264,000,000","18,032,200,000","2,404,500,000","2,490,000,000","1,742,600,000","2,443,040,000","2,460,500,000","2,489,800,000","2,310,600,000","2,879,149,000","2,290,400,000","2,249,700,000","2,176,800,000","3,499,940,000","2,097,700,000","2,087,200,000","1,868,700,000","1,759,231,000","2,453,500,000","2,417,400,000","2,192,300,000","2,346,100,000","2,179,600,000","2,113,000,000","1,860,200,000","2,056,100,000","1,885,700,000","1,808,700,000","1,693,400,000","1,823,400,000","1,618,900,000","1,596,500,000","1,544,500,000","1,680,800,000","1,472,300,000","1,424,900,000","1,329,900,000",,,,,,,,,,,,,,,,,,
