name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalRevenue,"17,354,000,000","4,463,000,000","4,243,000,000","4,337,000,000","4,311,000,000","4,526,000,000","4,699,000,000","5,106,000,000","5,050,000,000","4,820,000,000","4,398,000,000","4,478,000,000","4,369,000,000","3,648,000,000","3,710,000,000","3,977,000,000","3,692,000,000","3,524,000,000","3,346,000,000","3,434,000,000","3,576,000,000","3,605,000,000","3,583,000,000","3,764,000,000","3,233,000,000","2,965,000,000","2,824,000,000","2,890,000,000","2,837,000,000","2,804,000,000","2,624,000,000","2,863,000,000","2,910,000,000","2,905,000,000","2,723,000,000","2,784,000,000","2,849,000,000","2,778,000,000","2,670,000,000","2,777,000,000","2,472,000,000","2,482,000,000","2,449,000,000","2,539,000,000","2,320,000,000","2,229,000,000","2,249,000,000","2,227,000,000","2,225,000,000","2,347,000,000","2,282,000,000","2,493,000,000","2,092,000,000","2,032,000,000","1,995,000,000","1,544,000,000","1,140,000,000","1,029","987,000,000","1,063,690,000","1,313,220,000","1,386,951,000","1,300,138,000","1,444,179,000","1,298,079,000","1,097,023,000","1,005,374,000","1,018,525,000","323,058,000","360,733,000","395,660,000","369,108,000","300,807,000","271,389,000","250,083,000","188,677,000","170,999,000","183,812,000","181,823,000","85,962,000","213,831,000","143,906,000","142,751,000","137,037,000","137,132,000","156,695,000","146,113,000","129,391,000","134,782,000","135,262,000","133,709,000","128,540,000","127,701,000","112,571,000","108,060,000","98,581,000","101,000,000","90,700,000","90,700,000"
	OperatingRevenue,"17,354,000,000","4,463,000,000","4,243,000,000","4,337,000,000","4,311,000,000","4,526,000,000","4,699,000,000","5,106,000,000","5,050,000,000","4,820,000,000","4,398,000,000","4,478,000,000","4,327,000,000","3,609,000,000","3,646,000,000","3,872,000,000","3,630,000,000","3,471,000,000","3,297,000,000","3,353,000,000","3,513,000,000","3,527,000,000","3,512,000,000","3,664,000,000","3,163,000,000","2,892,000,000","2,765,000,000","2,821,000,000","2,788,000,000","2,746,000,000","2,575,000,000","2,811,000,000","2,845,000,000","2,844,000,000","2,662,000,000","2,726,000,000","2,783,000,000","2,713,000,000","2,622,000,000","2,724,000,000","2,424,000,000","2,422,000,000","2,380,000,000","2,469,000,000","2,320,000,000","2,229,000,000","2,249,000,000","2,227,000,000","2,225,000,000","2,347,000,000","2,282,000,000","2,493,000,000","2,092,000,000","1,906,000,000","1,944,000,000","1,544,000,000","1,140,000,000","1,029","987,000,000","1,063,690,000","1,313,220,000","134,832,000","1,298,988,000","1,444,179,000","1,298,079,000","1,097,023,000","1,005,374,000","1,059,034,000","326,989,000","367,578,000","410,724,000","374,994,000","300,807,000","277,416,000","259,869,000","224,152,000","176,681,000","162,013,000","188,720,000","109,308,000","213,831,000","128,013,000","146,280,000","139,086,000","137,540,000","160,709,000","149,133,000","133,583,000","137,672,000","137,894,000","135,571,000","131,610,000","129,898,000","113,988,000","109,110,000","102,026,000","101,000,000","90,700,000","90,700,000"
CostOfRevenue,"8,933,000,000","2,291,000,000","2,247,000,000","2,202,000,000","2,193,000,000","2,290,000,000","2,401,000,000","2,465,000,000","2,466,000,000","2,391,000,000","2,234,000,000","2,129,000,000","2,124,000,000","1,827,000,000","1,859,000,000","1,895,000,000","1,777,000,000","1,751,000,000","1,710,000,000","1,664,000,000","1,754,000,000","1,761,000,000","1,814,000,000","1,817,000,000","1,449,000,000","1,348,000,000","1,351,000,000","1,286,000,000","1,291,000,000","1,290,000,000","1,242,000,000","1,292,000,000","1,335,000,000","1,320,000,000","1,282,000,000","1,218,000,000","1,276,000,000","1,238,000,000","1,265,000,000","1,193,000,000","1,132,000,000","1,128,000,000","1,169,000,000","1,093,000,000","94,000,000","879,000,000","920,000,000","87,000,000","861,000,000","924,000,000","939,000,000","106,000,000","879,000,000","0","0","-1,079,000,000","563,000,000","515","480,000,000","-1,351,612,000","618,353,000","705,572,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"8,421,000,000","2,172,000,000","1,996,000,000","2,135,000,000","2,118,000,000","2,236,000,000","2,298,000,000","2,641,000,000","2,584,000,000","2,429,000,000","2,164,000,000","2,349,000,000","2,245,000,000","1,821,000,000","1,851,000,000","2,082,000,000","1,915,000,000","1,773,000,000","1,636,000,000","1,770,000,000","1,822,000,000","1,844,000,000","1,769,000,000","1,947,000,000","1,784,000,000","1,617,000,000","1,473,000,000","1,604,000,000","1,546,000,000","1,514,000,000","1,382,000,000","1,571,000,000","1,575,000,000","1,585,000,000","1,441,000,000","1,566,000,000","1,573,000,000","1,540,000,000","1,405,000,000","1,584,000,000","1,340,000,000","1,354,000,000","1,280,000,000","1,446,000,000","2,226,000,000","1,350,000,000","1,329,000,000","2,140,000,000","1,364,000,000","1,423,000,000","1,343,000,000","2,387,000,000","1,213,000,000","2,032,000,000","1,995,000,000","2,623,000,000","577,000,000","514","507,000,000","2,415,302,000","694,867,000","681,379,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"2,309,000,000","554,000,000","559,000,000","608,000,000","588,000,000","566,000,000","536,000,000","600,000,000","619,000,000","499,000,000","612,000,000","502,000,000","487,000,000","416,000,000","548,000,000","496,000,000","413,000,000","495,000,000","389,000,000","429,000,000","426,000,000","401,000,000","387,000,000","462,000,000","390,000,000","375,000,000","326,000,000","379,000,000","337,000,000","341,000,000","343,000,000","434,000,000","353,000,000","347,000,000","374,000,000","422,000,000","416,000,000","418,000,000","354,000,000","451,000,000","374,000,000","505,000,000","371,000,000","441,000,000","1,351,000,000","521,000,000","514,000,000","1,300,000,000","587,000,000","557,000,000","545,000,000","1,447,000,000","506,000,000","1,335,000,000","1,341,000,000","2,234,000,000","220,000,000","253","214,000,000","2,038,518,000","859,684,000","276,389,000","904,448,000","428,843,000","1,026,361,000","815,022,000","733,143,000","772,442,000","294,050,000","264,050,000","295,633,000","256,712,000","221,138,000","189,494,000","183,501,000","132,851,000","193,375,000","121,231,000","105,959,000","96,959,000","95,198,000","89,104,000","88,685,000","82,034,000","81,636,000","101,990,000","96,178,000","86,375,000","92,250,000","92,554,000","91,789,000","88,868,000","90,775,000","78,249,000","75,942,000","337,338,000","-26,100,000",,
	SellingGeneralAndAdministration,"2,160,000,000","517,000,000","522,000,000","571,000,000","550,000,000","528,000,000","498,000,000","562,000,000","581,000,000","462,000,000","578,000,000","475,000,000","460,000,000","389,000,000","523,000,000","467,000,000","385,000,000","470,000,000","374,000,000","414,000,000","413,000,000","390,000,000","376,000,000","450,000,000","363,000,000","350,000,000","301,000,000","355,000,000","312,000,000","316,000,000","318,000,000","410,000,000","319,000,000","312,000,000","339,000,000","387,000,000","376,000,000","377,000,000","313,000,000","410,000,000","334,000,000","465,000,000","331,000,000","401,000,000","1,299,000,000","468,000,000","459,000,000","1,243,000,000","528,000,000","498,000,000","483,000,000","1,384,000,000","440,000,000","1,146,000,000","1,162,000,000","2,171,000,000","161,000,000","191","151,000,000","1,969,703,000","170,917,000","206,395,000","212,983,000","2,163,254,000","194,442,000","210,780,000","223,036,000","229,004,000","82,905,000","74,367,000","56,984,000","60,761,000","51,524,000","46,397,000","46,167,000","36,817,000","29,259,000","31,363,000","31,299,000","28,591,000","28,167,000","25,476,000","25,109,000","22,172,000","23,448,000","22,043,000","22,412,000","20,139,000","20,689,000","18,684,000","17,055,000","15,029,000","15,577,000","14,605,000","13,100,000","-83,030,000","43,300,000",,
		GeneralAndAdministrativeExpense,"1,803,000,000","435,000,000","442,000,000","471,000,000","455,000,000","452,000,000","438,000,000","466,000,000","527,000,000","409,000,000","543,000,000","402,000,000","412,000,000","350,000,000","454,000,000","358,000,000","385,000,000","470,000,000","293,000,000","306,000,000","413,000,000","299,000,000","291,000,000","450,000,000","363,000,000","350,000,000","301,000,000","355,000,000","312,000,000","316,000,000","318,000,000","410,000,000","319,000,000","312,000,000","339,000,000","387,000,000","376,000,000","377,000,000","313,000,000","410,000,000","334,000,000","465,000,000","331,000,000","401,000,000","1,299,000,000","1,254,000,000","1,284,000,000","1,243,000,000","1,299,000,000","1,322,000,000",,"1,384,000,000","1,214,000,000","1,049,000,000","1,062,000,000",,,,,,"170,917,000",,"212,983,000","2,163,254,000","194,442,000","210,780,000","223,036,000","229,004,000","82,905,000","74,367,000","56,984,000","60,761,000","51,524,000","46,397,000","46,167,000","36,817,000","29,259,000","31,363,000","31,299,000","28,591,000","28,167,000","25,476,000","25,109,000","22,172,000","23,448,000","22,043,000","22,412,000","20,139,000","20,689,000","18,684,000","17,055,000","15,029,000","15,577,000","14,605,000","13,100,000","-83,030,000","43,300,000",,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"828,000,000","786,000,000","825,000,000","774,000,000","771,000,000","824,000,000",,"841,000,000","774,000,000","709,000,000","773,000,000",,,,,,"468,094,000",,"468,949,000","496,180,000","505,107,000","413,377,000","575,434,000","378,594,000","198,099,000","177,098,000","191,796,000","182,582,000","155,077,000","131,015,000","126,944,000","178,501,000","64,950,000","81,618,000","66,069,000","58,744,000","58,956,000","55,819,000","63,344,000","142,338,000","50,156,000","67,830,000","73,565,000","-6,206,000","74,621,000","55,534,000","72,485,000","68,091,000","68,849,000","42,680,000","53,770,000","54,995,000","43,300,000",,
			RentAndLandingFees,"408,000,000","100,000,000","110,000,000","99,000,000","99,000,000","106,000,000","99,000,000","114,000,000","91,000,000","80,000,000","79,000,000","80,000,000","81,000,000","80,000,000","78,000,000","83,000,000","75,000,000","75,000,000","74,000,000","73,000,000","73,000,000","73,000,000","74,000,000","73,000,000","68,000,000","69,000,000","65,000,000","64,000,000","65,000,000","72,000,000","72,000,000","75,000,000","69,000,000","69,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,395,000,000","335,000,000","332,000,000","372,000,000","356,000,000","346,000,000","339,000,000","352,000,000","436,000,000","329,000,000","464,000,000","322,000,000","331,000,000","270,000,000","376,000,000","275,000,000","385,000,000","470,000,000","219,000,000","233,000,000","413,000,000","226,000,000","217,000,000","450,000,000","363,000,000","350,000,000","301,000,000","355,000,000","312,000,000","316,000,000","318,000,000","410,000,000","319,000,000","312,000,000","339,000,000","387,000,000","376,000,000","377,000,000","313,000,000","410,000,000","334,000,000","465,000,000","331,000,000","401,000,000","471,000,000","468,000,000","459,000,000","469,000,000","528,000,000","498,000,000",,"543,000,000","440,000,000","340,000,000","289,000,000",,,,,,"-297,177,000",,"-255,966,000","1,667,074,000","-310,665,000","-202,597,000","-352,398,000","-149,590,000","-115,194,000","-102,731,000","-134,812,000","-121,821,000","-103,553,000","-84,618,000","-80,777,000","-141,684,000","-35,691,000","-50,255,000","-34,770,000","-30,153,000","-30,789,000","-30,343,000","-38,235,000","-120,166,000","-26,708,000","-45,787,000","-51,153,000","26,345,000","-53,932,000","-36,850,000","-55,430,000","-53,062,000","-53,272,000","-28,075,000","-40,670,000",,,,
