name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
TotalRevenue,"9,088,000,000","2,484,000,000","1,818,000,000","1,902,000,000","2,884,410,000","2,104,107,000","1,508,937,000","1,532,196,000","2,237,432,000","1,335,196,000","886,936,000","859,264,000","1,342,331,000","334,774,000","841,830,000","1,106,796,000"
	OperatingRevenue,"9,088,000,000","2,484,000,000","1,818,000,000","1,902,000,000","2,884,410,000","2,104,107,000","1,508,937,000","1,532,196,000","2,237,432,000","1,335,196,000","886,936,000","859,264,000","1,342,331,000","334,774,000","841,830,000","1,106,796,000"
CostOfRevenue,"1,606,000,000","432,000,000","428,000,000","345,000,000","401,149,000","390,107,000","362,623,000","295,311,000","311,580,000","294,427,000","254,515,000","209,747,000","227,325,000","161,198,000","277,772,000","293,618,000"
GrossProfit,"7,482,000,000","2,052,000,000","1,390,000,000","1,557,000,000","2,483,261,000","1,714,000,000","1,146,314,000","1,236,885,000","1,925,852,000","1,040,769,000","632,421,000","649,517,000","1,115,006,000","173,576,000","564,058,000","813,178,000"
OperatingExpense,"5,526,000,000","1,529,000,000","1,395,000,000","1,322,000,000","1,279,728,000","1,256,434,000","1,151,128,000","1,160,548,000","1,074,344,000","1,091,485,000","967,384,000","3,735,311,000","673,541,000","642,550,000","889,547,000","1,141,117,000"
	SellingGeneralAndAdministration,"2,742,000,000","761,000,000","693,000,000","665,000,000","623,600,000","623,129,000","555,189,000","567,539,000","501,604,000","533,626,000","418,887,000","1,343,584,000","293,515,000","264,136,000","408,941,000","643,932,000"
		GeneralAndAdministrativeExpense,"1,014,000,000","311,000,000","243,000,000","256,000,000","240,435,000","243,254,000","210,573,000","216,511,000","210,748,000","218,303,000","189,762,000","713,769,000","180,021,000","149,299,000","91,762,000","206,919,000"
			SalariesAndWages,,"94,000,000",,,,,,,,,,,,,,
			OtherGandA,"1,014,000,000","217,000,000","243,000,000","256,000,000","240,435,000","243,254,000","210,573,000","216,511,000","210,748,000","218,303,000","189,762,000","713,769,000","180,021,000","149,299,000","91,762,000","206,919,000"
		SellingAndMarketingExpense,"1,728,000,000","450,000,000","450,000,000","409,000,000","383,165,000","379,875,000","344,616,000","351,028,000","290,856,000","315,323,000","229,125,000","629,815,000","113,494,000","114,837,000","317,179,000","437,013,000"
	ResearchAndDevelopment,"1,635,000,000","451,000,000","420,000,000","397,000,000","366,182,000","375,050,000","362,927,000","367,843,000","344,410,000","349,734,000","363,061,000","2,062,195,000","213,920,000","217,938,000","258,819,000","282,899,000"
	OtherOperatingExpenses,"1,149,000,000","317,000,000","282,000,000","260,000,000","289,946,000","258,255,000","233,012,000","225,166,000","228,330,000","208,125,000","185,436,000","329,532,000","166,106,000","160,476,000","221,787,000","214,286,000"
OperatingIncome,"1,956,000,000","523,000,000","-5,000,000","235,000,000","1,203,533,000","457,566,000","-4,814,000","76,337,000","851,508,000","-50,716,000","-334,963,000","-3,085,794,000","441,465,000","-468,974,000","-325,489,000","-327,939,000"
NetNonOperatingInterestIncomeExpense,"482,000,000","189,000,000","142,000,000","98,000,000","52,775,000","12,764,000","-1,020,000","1,259,000","-3,687,000","-3,578,000","-418,859,000","-60,853,000","-55,542,000","-43,335,000","15,159,000","14,074,000"
	InterestIncomeNonOperating,"498,000,000","191,000,000","146,000,000","103,000,000","58,457,000","20,247,000","4,744,000","3,778,000","2,962,000","2,942,000","3,052,000","3,287,000","4,325,000","5,856,000","15,159,000","17,241,000"
	InterestExpenseNonOperating,"16,000,000","2,000,000","4,000,000","5,000,000","5,682,000","7,483,000","5,764,000","2,519,000","6,649,000","6,520,000","421,911,000","64,140,000","59,867,000","49,191,000",,"3,167,000"
