name,ttm,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"58,513,000,000","15,342,000,000","15,054,000,000","14,281,000,000","14,176,000,000","13,556,000,000","13,395,000,000","11,735,000,000","12,145,000,000","10,928,000,000","10,271,000,000","9,179,000,000","9,351,000,000","8,751,000,000","7,675,000,000","10,310,000,000","11,365,000,000","10,989,000,000","10,838,000,000","10,364,000,000","10,474,000,000","10,144,000,000","10,002,000,000","9,718,000,000","8,839,000,000","8,436,000,000","8,307,000,000","7,889,000,000","8,022,000,000","7,774,000,000","8,235,000,000","8,088,000,000","8,391,000,000","8,193,000,000","8,284,000,000","7,950,000,000","9,107,000,000","8,329,000,000","8,657,000,000","8,199,000,000","8,547,000,000","8,301,000,000","8,245,000,000","7,881,000,000","8,141,000,000","7,862,000,000","7,965,000,000","7,614,000,000","7,742,000,000","7,571,000,000","7,618,000,000","7,031,000,000","7,142,000,000","7,033,000,000","6,858,000,000","6,606,000,000","6,278,000,000","6,016,000,000","6,092,000,000","5,926,000,000","6,506,000,000","7,164,000,000","7,484,000,000","7,186,000,000","7,364,000,000","6,945,000,000","7,130,000,000","6,668,000,000","6,870,000,000","6,435,000,000","6,542,000,000","6,053,000,000","6,188,000,000","5,830,000,000","7,751,000,000","7,354,000,000","7,507,000,000","6,986,000,000","7,048,000,000","6,707,000,000","6,863,000,000","6,180,000,000","6,125,000,000","5,793,000,000","5,926,000,000","5,643,000,000","5,668,000,000","5,488,000,000","5,529,000,000","5,339,000,000","4,856,000,000","5,358,000,000","5,709,000,000","5,629,000,000","5,625,000,000","5,358,000,000","5,397,000,000","5,049,000,000","5,043,000,000","4,737,000,000","4,796,000,000","4,531,000,000","4,511,000,000","4,295,000,000","4,424,000,000","4,259,000,000","4,184,000,000","3,969,000,000","4,008,000,000","3,787,000,000","3,735,000,000","3,591,000,000","3,739,000,000","3,744,000,000","3,648,000,000","3,468,000,000","3,532,000,000","3,353,000,000","3,251,000,000","3,140,000,000","596,000,000","4,028,000,000","3,995,000,000","3,766,000,000","4,873,000,000","4,832,000,000","4,886,000,000","4,735,000,000","4,652,000,000","4,374,000,000","4,287,000,000","4,198,000,000","4,065,000,000","3,955,000,000","4,012,000,000","3,808,000,000",,,,,,,,,,,,,,,,,,
	NetInterestIncome,"12,288,000,000","3,442,000,000","3,105,000,000","2,983,000,000","2,758,000,000","2,578,000,000","2,360,000,000","2,199,000,000","2,108,000,000","1,994,000,000","1,818,000,000","1,830,000,000","1,897,000,000","1,874,000,000","1,884,000,000","2,330,000,000","2,284,000,000","2,203,000,000","2,074,000,000","2,059,000,000","2,032,000,000","1,961,000,000","1,829,000,000","1,841,000,000","1,736,000,000","1,675,000,000","1,530,000,000","1,500,000,000","1,408,000,000","1,334,000,000","1,449,000,000","1,580,000,000","1,547,000,000","1,505,000,000","1,423,000,000","1,447,000,000","1,424,000,000","1,395,000,000","1,316,000,000","1,337,000,000","1,319,000,000","1,283,000,000","1,202,000,000","1,243,000,000","1,193,000,000","1,181,000,000","1,121,000,000","1,133,000,000","1,177,000,000","1,179,000,000","1,151,000,000","1,134,000,000","1,190,000,000","1,184,000,000","1,188,000,000","1,307,000,000","710,000,000","754,000,000","741,000,000","919,000,000","1,418,000,000","916,000,000","954,000,000","985,000,000","1,973,000,000","882,000,000","1,003,000,000","898,000,000","1,886,000,000","-60,000,000","-34,000,000","-4,000,000","30,000,000","8,000,000","571,000,000","584,000,000","588,000,000","550,000,000","575,000,000","538,000,000","581,000,000","491,000,000","549,000,000","537,000,000","546,000,000","495,000,000","381,000,000","487,000,000","435,000,000","351,000,000","-400,000,000","250,000,000","443,000,000","506,000,000","491,000,000","497,000,000","602,000,000","542,000,000","589,000,000","561,000,000","587,000,000","546,000,000","561,000,000","584,000,000","544,000,000","568,000,000","557,000,000","581,000,000","564,000,000","527,000,000","535,000,000","547,000,000","821,000,000","856,000,000","816,000,000","796,000,000","772,000,000","795,000,000","761,000,000","781,000,000","433,000,000","932,000,000","919,000,000","855,000,000","959,000,000","1,011,000,000","901,000,000","861,000,000","840,000,000","851,000,000","795,000,000","752,000,000","659,000,000","625,000,000","579,000,000","581,000,000",,,,,,,,,,,,,,,,,,
		InterestIncome,"18,396,000,000","5,240,000,000","4,775,000,000","4,416,000,000","3,965,000,000","3,374,000,000","2,799,000,000","2,520,000,000","2,400,000,000","2,301,000,000","2,140,000,000","2,192,000,000","2,287,000,000","2,324,000,000","2,426,000,000","3,046,000,000","3,085,000,000","3,080,000,000","2,965,000,000","2,954,000,000","2,866,000,000","2,738,000,000","2,540,000,000","2,462,000,000","2,316,000,000","2,242,000,000","2,052,000,000","1,943,000,000","1,821,000,000","1,764,000,000","1,885,000,000","2,005,000,000","1,947,000,000","1,904,000,000","1,837,000,000","1,857,000,000","1,829,000,000","1,815,000,000","1,759,000,000","1,776,000,000","1,782,000,000","1,767,000,000","1,694,000,000","1,762,000,000","1,737,000,000","1,739,000,000","1,671,000,000","1,707,000,000","1,752,000,000","1,754,000,000","1,728,000,000","1,727,000,000","1,795,000,000","1,794,000,000","1,798,000,000","1,905,000,000","1,272,000,000","1,297,000,000","1,288,000,000","1,474,000,000","2,355,000,000","1,759,000,000","1,810,000,000","1,904,000,000","3,009,000,000","1,890,000,000","2,072,000,000","1,861,000,000","3,866,000,000","264,000,000","274,000,000","275,000,000","279,000,000","246,000,000","822,000,000","803,000,000","826,000,000","766,000,000","785,000,000","741,000,000","786,000,000","730,000,000","780,000,000","767,000,000","816,000,000","759,000,000","658,000,000","758,000,000","777,000,000","736,000,000","12,000,000","611,000,000","800,000,000","858,000,000","836,000,000","796,000,000","903,000,000","804,000,000","844,000,000","795,000,000","854,000,000","802,000,000","811,000,000","810,000,000","794,000,000","809,000,000","795,000,000","776,000,000","811,000,000","796,000,000","844,000,000","838,000,000","1,131,000,000","1,166,000,000","1,135,000,000","1,099,000,000","1,042,000,000","1,046,000,000","1,018,000,000","1,014,000,000","-2,874,000,000","2,722,000,000","2,604,000,000","2,529,000,000","2,784,000,000","2,891,000,000","2,903,000,000","2,802,000,000","2,813,000,000","2,960,000,000","2,871,000,000","2,846,000,000","2,895,000,000","2,733,000,000","2,630,000,000","2,678,000,000",,,,,,,,,,,,,,,,,,
			InterestIncomeFromLoansAndLease,"16,410,000,000","4,635,000,000","4,213,000,000","3,939,000,000","3,623,000,000","3,164,000,000","2,707,000,000","2,473,000,000","2,356,000,000","2,256,000,000","2,094,000,000","2,144,000,000","2,236,000,000","2,266,000,000","2,368,000,000","2,909,000,000","2,934,000,000","2,885,000,000","2,764,000,000","2,725,000,000","2,674,000,000","2,554,000,000","2,387,000,000","2,326,000,000","2,202,000,000","2,129,000,000","1,947,000,000","1,860,000,000","1,759,000,000","1,690,000,000","1,818,000,000","1,938,000,000","1,891,000,000","1,847,000,000","1,776,000,000","1,795,000,000","1,769,000,000","1,753,000,000","1,696,000,000","1,711,000,000","1,715,000,000","1,698,000,000","1,622,000,000","1,683,000,000","1,660,000,000","1,658,000,000","1,582,000,000","1,611,000,000","1,654,000,000","1,653,000,000","1,611,000,000","1,619,000,000","1,676,000,000","1,675,000,000","1,657,000,000","1,775,000,000","1,036,000,000","1,059,000,000","1,081,000,000","1,292,000,000","1,492,000,000","1,521,000,000","1,521,000,000","1,625,000,000","713,000,000","1,890,000,000","2,072,000,000","1,861,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				InterestIncomeFromLoans,"16,410,000,000","4,635,000,000","4,213,000,000","3,939,000,000","3,623,000,000","3,164,000,000","2,707,000,000","2,473,000,000","2,356,000,000","2,256,000,000","2,094,000,000","2,144,000,000","2,236,000,000","2,266,000,000","2,368,000,000","2,909,000,000","2,934,000,000","2,885,000,000","2,764,000,000","2,725,000,000","2,674,000,000","2,554,000,000","2,387,000,000","2,326,000,000","2,202,000,000","2,129,000,000","1,947,000,000","1,860,000,000","1,759,000,000","1,690,000,000","1,818,000,000","1,938,000,000","1,891,000,000","1,847,000,000","1,776,000,000","1,795,000,000","1,769,000,000","1,753,000,000","1,696,000,000","1,711,000,000","1,715,000,000","1,698,000,000","1,622,000,000","1,683,000,000","1,660,000,000","1,658,000,000","1,582,000,000","1,611,000,000","1,654,000,000","1,653,000,000","1,611,000,000","1,619,000,000","1,676,000,000","1,675,000,000","1,657,000,000","1,775,000,000","1,036,000,000","1,059,000,000","1,081,000,000","1,292,000,000","1,492,000,000","1,521,000,000","1,521,000,000","1,625,000,000","713,000,000","1,890,000,000","2,072,000,000","1,861,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InterestIncomeFromSecurities,"131,000,000","33,000,000","34,000,000","30,000,000","34,000,000","27,000,000","22,000,000","13,000,000","17,000,000","18,000,000","24,000,000","24,000,000","29,000,000","33,000,000","27,000,000","38,000,000","50,000,000","53,000,000","52,000,000","33,000,000","35,000,000","35,000,000","27,000,000","21,000,000","21,000,000","22,000,000","23,000,000","23,000,000","27,000,000","34,000,000","34,000,000","36,000,000","37,000,000","38,000,000","41,000,000","41,000,000","43,000,000","45,000,000","45,000,000","46,000,000","48,000,000","48,000,000","52,000,000","53,000,000","53,000,000","60,000,000","67,000,000","66,000,000","72,000,000","68,000,000","99,000,000","88,000,000","98,000,000","103,000,000","125,000,000","117,000,000","225,000,000","229,000,000","196,000,000","154,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InterestIncomeFromDeposits,"1,855,000,000","572,000,000","528,000,000","447,000,000","308,000,000","183,000,000","70,000,000","34,000,000","27,000,000","27,000,000","22,000,000","24,000,000","22,000,000","25,000,000","31,000,000","99,000,000","101,000,000","142,000,000","149,000,000","196,000,000","157,000,000","149,000,000","126,000,000","115,000,000","93,000,000","91,000,000","82,000,000","60,000,000","35,000,000","40,000,000","33,000,000","31,000,000","19,000,000","19,000,000","20,000,000","21,000,000","17,000,000","17,000,000","18,000,000","19,000,000","19,000,000","21,000,000","20,000,000","26,000,000","24,000,000","21,000,000","22,000,000","30,000,000","26,000,000","33,000,000","18,000,000","20,000,000","21,000,000","16,000,000","16,000,000","13,000,000","11,000,000","9,000,000","11,000,000","28,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInterestIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92,000,000","238,000,000","289,000,000","279,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		InterestExpense,"6,108,000,000","1,798,000,000","1,670,000,000","1,433,000,000","1,207,000,000","796,000,000","439,000,000","321,000,000","292,000,000","307,000,000","322,000,000","362,000,000","390,000,000","450,000,000","542,000,000","716,000,000","801,000,000","877,000,000","891,000,000","895,000,000","834,000,000","777,000,000","711,000,000","621,000,000","580,000,000","567,000,000","522,000,000","443,000,000","413,000,000","430,000,000","436,000,000","425,000,000","400,000,000","399,000,000","414,000,000","410,000,000","405,000,000","420,000,000","443,000,000","439,000,000","463,000,000","484,000,000","492,000,000","519,000,000","544,000,000","558,000,000","550,000,000","574,000,000","575,000,000","575,000,000","577,000,000","593,000,000","605,000,000","610,000,000","610,000,000","598,000,000","562,000,000","543,000,000","547,000,000","555,000,000","937,000,000","843,000,000","856,000,000","919,000,000","1,036,000,000","1,008,000,000","1,069,000,000","963,000,000","1,980,000,000","324,000,000","308,000,000","279,000,000","249,000,000","238,000,000","251,000,000","219,000,000","238,000,000","216,000,000","210,000,000","203,000,000","205,000,000","239,000,000","231,000,000","230,000,000","270,000,000","264,000,000","277,000,000","271,000,000","342,000,000","385,000,000","412,000,000","361,000,000","357,000,000","352,000,000","345,000,000","299,000,000","301,000,000","262,000,000","255,000,000","234,000,000","267,000,000","256,000,000","250,000,000","226,000,000","250,000,000","241,000,000","238,000,000","195,000,000","247,000,000","269,000,000","309,000,000","291,000,000","310,000,000","310,000,000","319,000,000","303,000,000","270,000,000","251,000,000","257,000,000","233,000,000","-3,307,000,000","1,790,000,000","1,685,000,000","1,674,000,000","1,825,000,000","1,880,000,000","2,002,000,000","1,941,000,000","1,973,000,000","2,109,000,000","2,076,000,000","2,094,000,000","2,236,000,000","2,108,000,000","2,051,000,000","2,097,000,000",,,,,,,,,,,,,,,,,,
			InterestExpenseForDeposit,"4,258,000,000","1,290,000,000","1,196,000,000","994,000,000","778,000,000","440,000,000","187,000,000","122,000,000","102,000,000","109,000,000","113,000,000","134,000,000","155,000,000","202,000,000","260,000,000","326,000,000","353,000,000","401,000,000","406,000,000","399,000,000","377,000,000","340,000,000","300,000,000","270,000,000","241,000,000","213,000,000","176,000,000","149,000,000","148,000,000","150,000,000","150,000,000","150,000,000","138,000,000","125,000,000","109,000,000","103,000,000","97,000,000","91,000,000","91,000,000","94,000,000","110,000,000","111,000,000","107,000,000","114,000,000","118,000,000","118,000,000","115,000,000","129,000,000","133,000,000","127,000,000","131,000,000","137,000,000","140,000,000","141,000,000","137,000,000","128,000,000","126,000,000","109,000,000","-105,000,000","-85,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
