name,ttm,07/31/2023,04/30/2023,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986,01/31/1986,10/31/1985
TotalRevenue,"7,448,000,000","1,559,000,000","1,396,000,000","2,889,000,000","1,604,461,000","1,617,503,000","1,449,910,000","3,027,403,000","1,680,905,000","3,317,573,000","3,023,699,000","4,817,940,000","3,055,276,000","2,319,466,000","1,654,209,000","4,707,000,000","2,676,747,000","2,901,538,000","2,628,809,000","4,707,141,000","2,774,874,000","2,983,849,000","2,625,846,000","4,823,105,000","2,617,784,000","2,755,020,000","2,436,523,000","4,489,483,000","2,580,979,000","2,889,744,000","2,613,815,000","4,395,039,000","2,481,575,000","2,765,237,000","2,511,939,000","4,068,685,000","2,318,851,000","2,675,311,000","2,391,200,000","3,818,202,000","2,171,087,000","2,515,953,000","2,267,956,000","3,855,583,000","2,050,189,000","2,399,095,000","2,153,784,000","3,515,000,000","2,173,420,000","2,458,135,000","2,217,017,000","3,456,000,000","1,983,372,000","2,242,510,000","1,931,536,000","3,063,000,000","1,777,289,000","2,066,610,000","1,725,000,000","2,991,000,000","1,843,000,000","2,284,000,000","1,925,000,000","3,276,000,000","1,923,000,000","2,624,000,000","2,311,000,000","4,025,000,000","2,115,000,000","2,454,000,000","2,077,091,000","3,541,616,000","1,891,551,000","2,290,901,000","1,974,932,000","3,328,110,000","1,890,855,000","2,210,832,000","1,978,203,000","3,230,827,000","1,846,770,000","2,014,106,000","1,842,000,000","2,322,417,000","1,982,616,000","2,112,788,000","2,027,000,000","3,137,560,000","1,906,484,000","2,192,111,000","2,126,845,000","3,564,001,000","2,169,192,000","2,262,977,000","2,108,436,000","3,286,634,000","2,064,100,000","2,267,800,000","2,104,800,000","3,255,900,000","1,999,900,000","2,083,100,000","2,008,100,000","3,268,400,000","2,070,600,000","2,020,100,000","1,829,800,000","2,966,300,000","1,995,000,000","1,895,600,000","1,787,900,000","2,771,300,000","1,803,300,000","1,718,600,000","1,588,100,000","2,538,600,000","1,715,200,000","1,585,400,000","1,481,600,000","2,420,800,000","1,616,700,000","1,689,000,000","1,518,600,000","2,428,000,000","1,611,300,000","1,489,400,000","1,415,600,000","2,056,100,000","1,433,400,000","1,375,200,000","1,284,500,000","1,743,700,000","1,247,900,000","1,154,600,000","1,107,300,000","1,582,500,000","1,110,400,000","990,300,000","964,600,000","1,356,000,000","1,010,600,000","893,100,000","811,100,000","1,010,500,000","891,700,000","822,100,000","803,500,000","982,100,000","803,700,000","695,300,000","661,600,000","787,200,000","613,300,000"
	OperatingRevenue,"7,448,000,000","1,559,000,000","1,396,000,000","2,889,000,000","1,604,461,000","1,617,503,000","1,449,910,000","3,027,403,000","1,680,905,000","3,317,573,000","3,023,699,000","4,817,940,000","3,055,276,000","2,319,466,000","1,654,209,000","4,707,000,000","2,676,747,000","2,901,538,000","2,628,809,000","4,707,141,000","2,774,874,000","2,983,849,000","2,625,846,000","4,823,105,000","2,617,784,000","2,755,020,000","2,436,523,000","4,489,483,000","2,580,979,000","2,889,744,000","2,613,815,000","4,395,039,000","2,481,575,000","2,765,237,000","2,511,939,000","4,068,685,000","2,318,851,000","2,675,311,000","2,391,200,000","3,818,202,000","2,171,087,000","2,515,953,000","2,267,956,000","3,855,583,000","2,050,189,000","2,399,095,000","2,153,784,000","3,515,000,000","2,173,420,000","2,458,135,000","2,217,017,000","3,456,000,000","1,983,372,000","2,242,510,000","1,931,536,000","3,063,000,000","1,777,289,000","2,066,610,000","1,725,000,000","2,991,000,000","1,843,000,000","2,284,000,000","1,925,000,000","3,276,000,000","1,923,000,000","2,624,000,000","2,311,000,000","4,025,000,000","2,115,000,000","2,454,000,000","2,077,091,000","3,541,616,000","1,891,551,000","2,290,901,000","1,974,932,000","3,328,110,000","1,890,855,000","2,210,832,000","1,978,203,000","3,230,827,000","1,846,770,000","2,014,106,000","1,842,000,000","2,322,417,000","1,982,616,000","2,112,788,000","2,027,000,000","3,137,560,000","1,906,484,000","2,192,111,000","2,126,845,000","3,564,001,000","2,169,192,000","2,262,977,000","2,108,436,000","3,286,634,000","2,064,100,000","2,267,800,000","2,104,800,000","3,255,900,000","1,999,900,000","2,083,100,000","2,008,100,000","3,268,400,000","2,070,600,000","2,020,100,000","1,829,800,000","2,966,300,000","1,995,000,000","1,895,600,000","1,787,900,000","2,771,300,000","1,803,300,000","1,718,600,000","1,588,100,000","2,538,600,000","1,715,200,000","1,585,400,000","1,481,600,000","2,420,800,000","1,616,700,000","1,689,000,000","1,518,600,000","2,428,000,000","1,611,300,000","1,489,400,000","1,415,600,000","2,056,100,000","1,433,400,000","1,375,200,000","1,284,500,000","1,743,700,000","1,247,900,000","1,154,600,000","1,107,300,000","1,582,500,000","1,110,400,000","990,300,000","964,600,000","1,356,000,000","1,010,600,000","893,100,000","811,100,000","1,010,500,000","891,700,000","822,100,000","803,500,000","982,100,000","803,700,000","695,300,000","661,600,000","787,200,000","613,300,000"
CostOfRevenue,"4,303,000,000","937,000,000","800,000,000","1,639,000,000","926,870,000","958,139,000","781,334,000","1,580,975,000","842,149,000","1,819,608,000","1,609,860,000","2,511,020,000","1,695,787,000","1,607,986,000","1,365,600,000","2,914,000,000","1,936,244,000","1,919,300,000","1,694,795,000","2,913,454,000","1,846,622,000","1,924,804,000","1,682,016,000","2,782,769,000","1,629,437,000","1,727,129,000","1,533,673,000","2,545,460,000","1,555,693,000","1,776,840,000","1,570,861,000","2,392,626,000","1,450,301,000","1,651,391,000","1,455,980,000","2,233,914,000","1,372,424,000","1,630,951,000","1,409,000,000","2,175,897,000","1,314,378,000","1,527,328,000","1,326,545,000","2,139,298,000","1,225,063,000","1,456,621,000","1,251,821,000","1,988,000,000","1,388,143,000","1,556,037,000","1,375,289,000","2,011,000,000","1,269,081,000","1,465,023,000","1,237,278,000","1,814,000,000","1,214,541,000","1,398,601,000","1,177,000,000","1,967,000,000","1,263,000,000","1,523,000,000","1,284,000,000","1,972,000,000","1,309,000,000","1,803,000,000","1,508,000,000","2,413,000,000","1,356,000,000","1,601,000,000","1,288,316,000","2,040,979,000","1,311,122,000","1,497,531,000","1,366,077,000","2,037,318,000","1,277,270,000","1,412,863,000","1,302,549,000","1,889,567,000","1,251,317,000","1,311,882,000","1,230,000,000","1,255,776,000","1,364,021,000","1,388,918,000","1,342,000,000","1,813,659,000","1,339,899,000","1,500,145,000","1,456,297,000","2,235,043,000","1,365,010,000","1,451,855,000","1,349,135,000","1,936,514,000","1,322,000,000","1,465,700,000","1,369,200,000","2,004,100,000","1,313,400,000","1,398,700,000","1,346,700,000","2,024,900,000","1,372,700,000","1,406,900,000","1,252,900,000","1,913,000,000","1,367,800,000","1,331,200,000","1,246,600,000","1,892,100,000","1,276,800,000","1,223,000,000","1,116,000,000","1,636,700,000","1,150,300,000","1,122,800,000","1,028,700,000","1,649,000,000","1,105,800,000","1,190,800,000","1,069,300,000","1,581,000,000","1,103,700,000","1,026,300,000","995,500,000","1,333,300,000","978,300,000","931,300,000","890,200,000","1,120,100,000","821,400,000","758,100,000","739,000,000","1,017,900,000","723,000,000",,,,,,,,,,,,,,,,
GrossProfit,"3,145,000,000","622,000,000","596,000,000","1,250,000,000","677,591,000","659,364,000","668,576,000","1,446,428,000","838,756,000","1,497,965,000","1,413,839,000","2,306,920,000","1,359,489,000","711,480,000","288,609,000","1,793,000,000","740,503,000","982,238,000","934,014,000","1,793,687,000","928,252,000","1,059,045,000","943,830,000","2,040,336,000","988,347,000","1,027,891,000","902,850,000","1,944,023,000","1,025,286,000","1,112,904,000","1,042,954,000","2,002,413,000","1,031,274,000","1,113,846,000","1,055,959,000","1,834,771,000","946,427,000","1,044,360,000","982,100,000","1,642,305,000","856,709,000","988,625,000","941,411,000","1,716,285,000","825,126,000","942,474,000","901,963,000","1,527,000,000","785,277,000","902,098,000","841,728,000","1,445,000,000","714,291,000","777,487,000","694,258,000","1,249,000,000","562,748,000","668,009,000","548,000,000","1,024,000,000","580,000,000","761,000,000","641,000,000","1,304,000,000","614,000,000","821,000,000","803,000,000","1,612,000,000","759,000,000","853,000,000","788,775,000","1,500,637,000","580,429,000","793,370,000","608,855,000","1,290,792,000","613,585,000","797,969,000","675,654,000","1,341,260,000","595,453,000","702,224,000","612,000,000","1,066,641,000","618,595,000","723,870,000","685,000,000","1,323,901,000","566,585,000","691,966,000","670,548,000","1,328,958,000","804,182,000","811,122,000","759,301,000","1,350,120,000","742,100,000","802,100,000","735,600,000","1,251,800,000","686,500,000","684,400,000","661,400,000","1,243,500,000","697,900,000","613,200,000","576,900,000","1,053,300,000","627,200,000","564,400,000","541,300,000","879,200,000","526,500,000","495,600,000","472,100,000","901,900,000","564,900,000","462,600,000","452,900,000","771,800,000","510,900,000","498,200,000","449,300,000","847,000,000","507,600,000","463,100,000","420,100,000","722,800,000","455,100,000","443,900,000","394,300,000","623,600,000","426,500,000","396,500,000","368,300,000","564,600,000","387,400,000",,,,,,,,,,,,,,,,
OperatingExpense,"1,922,000,000","434,000,000","415,000,000","597,000,000","475,816,000","417,534,000","388,577,000","567,220,000","430,258,000","898,888,000","841,779,000","1,034,319,000","778,878,000","667,440,000","606,307,000","992,000,000","891,717,000","807,637,000","780,669,000","1,022,397,000","873,857,000","830,908,000","789,023,000","1,053,697,000","756,684,000","726,996,000","693,658,000","956,471,000","741,706,000","704,688,000","719,566,000","924,435,000","692,510,000","710,920,000","684,116,000","877,818,000","662,314,000","668,418,000","646,000,000","778,844,000","645,683,000","630,819,000","630,230,000","835,327,000","638,178,000","637,136,000","608,736,000","654,000,000","599,175,000","708,565,000","624,905,000","725,000,000","565,193,000","541,030,000","509,282,000","660,000,000","503,863,000","519,366,000","483,000,000","980,000,000","539,000,000","575,000,000","432,000,000","683,000,000","552,000,000","732,000,000","695,000,000","885,000,000","692,000,000","656,000,000","602,829,000","769,480,000","577,758,000","589,456,000","560,597,000","663,252,000","560,440,000","571,026,000","556,282,000","699,850,000","553,281,000","531,857,000","503,000,000","494,354,000","597,106,000","583,711,000","581,000,000","699,132,000","413,127,000","614,949,000","607,792,000","837,650,000","702,064,000","652,930,000","634,903,000","746,581,000","649,600,000","670,500,000","666,200,000","768,000,000","605,500,000","608,000,000","605,000,000","767,600,000","602,700,000","540,500,000","527,200,000","628,900,000","538,800,000","482,900,000","487,500,000","535,300,000","435,100,000","398,800,000","392,100,000","461,900,000","399,300,000","360,300,000","361,700,000","433,600,000","362,100,000","372,000,000","363,700,000","432,700,000","362,300,000","320,400,000","333,700,000","380,000,000","320,500,000","303,400,000","299,600,000","329,700,000","275,400,000","255,600,000","256,700,000","295,500,000","237,900,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,922,000,000","434,000,000","415,000,000","597,000,000","475,816,000","417,534,000","388,577,000","567,220,000","430,258,000","898,888,000","841,779,000","1,034,319,000","778,878,000","667,440,000","606,307,000","992,000,000","891,717,000","807,637,000","780,669,000","1,022,397,000","873,857,000","830,908,000","789,023,000","1,053,697,000","756,684,000","726,996,000","693,658,000","956,471,000","741,706,000","704,688,000","719,566,000","924,435,000","692,510,000","710,920,000","684,116,000","877,818,000","662,314,000","668,418,000","646,000,000","778,844,000","645,683,000","630,819,000","630,230,000","835,327,000","638,178,000","637,136,000","608,736,000","765,000,000","599,175,000","708,565,000","624,905,000","725,000,000","565,193,000","541,030,000","509,282,000","660,000,000","503,863,000","519,366,000","483,000,000","656,000,000","539,000,000","575,000,000","541,000,000","683,000,000","552,000,000","732,000,000","695,000,000","885,000,000","692,000,000","656,000,000","602,829,000","769,480,000","577,758,000","589,456,000","560,597,000","663,252,000","560,440,000","571,026,000","556,282,000","699,850,000","553,281,000","531,857,000","503,000,000","494,162,000","597,106,000","583,711,000","547,000,000","699,132,000","583,127,000","614,949,000","607,792,000","761,430,000","637,957,000","585,885,000","571,129,000","682,438,000","585,100,000","602,100,000","590,800,000","696,100,000","535,800,000","538,300,000","530,300,000","680,900,000","525,800,000","466,200,000","451,800,000","555,400,000","467,000,000","410,400,000","415,700,000","464,300,000","361,600,000","326,900,000","322,600,000","391,500,000","329,800,000","300,400,000","293,700,000","365,100,000","298,200,000","301,400,000","295,200,000","367,100,000","295,100,000","268,200,000","271,600,000","318,600,000","265,200,000","249,000,000","248,000,000","279,700,000","228,000,000","211,100,000","214,100,000","251,300,000","197,600,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"1,922,000,000","434,000,000","415,000,000","597,000,000","475,816,000","417,534,000","388,577,000","567,220,000","430,258,000","898,888,000","841,779,000","1,034,319,000","778,878,000","667,440,000","606,307,000","992,000,000","891,717,000","807,637,000","780,669,000","1,022,397,000","873,857,000","830,908,000","789,023,000","1,053,697,000","756,684,000","726,996,000","693,658,000","956,471,000","741,706,000","704,688,000","719,566,000","924,435,000","692,510,000","710,920,000","684,116,000","877,818,000","662,314,000","668,418,000","646,000,000","778,844,000","645,683,000","630,819,000","630,230,000","835,327,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,922,000,000","434,000,000","415,000,000","597,000,000","475,816,000","417,534,000","388,577,000","567,220,000","430,258,000","898,888,000","841,779,000","1,034,319,000","778,878,000","667,440,000","606,307,000","992,000,000","891,717,000","807,637,000","780,669,000","1,022,397,000","873,857,000","830,908,000","789,023,000","1,053,697,000","756,684,000","726,996,000","693,658,000","956,471,000","741,706,000","704,688,000","719,566,000","924,435,000","692,510,000","710,920,000","684,116,000","877,818,000","662,314,000","668,418,000","646,000,000","778,844,000","645,683,000","630,819,000","630,230,000","835,327,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,"434,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,220,000","64,107,000","67,045,000","63,774,000","64,143,000","64,500,000","68,400,000","75,400,000","71,900,000","69,700,000","69,700,000","74,700,000","86,700,000","76,900,000","74,300,000","75,400,000","73,500,000","71,800,000","72,500,000","71,800,000","71,000,000","73,500,000","71,900,000","69,500,000","70,400,000","69,500,000","59,900,000","68,000,000","68,500,000","63,900,000","70,600,000","68,500,000","65,600,000","67,200,000","52,200,000","62,100,000","61,400,000","55,300,000","54,400,000","51,600,000","50,000,000","47,400,000","44,500,000","42,600,000","44,200,000","40,300,000",,,,,,,,,,,,,,,,
