name,ttm,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"3,830,000,000","896,000,000","924,000,000","990,000,000","1,020,000,000","985,000,000","829,000,000","700,000,000","750,000,000","755,000,000","749,000,000","713,000,000","734,000,000","710,000,000","718,000,000","750,000,000","804,000,000","842,000,000","853,000,000","844,000,000","864,000,000","833,000,000","838,000,000","793,000,000","830,000,000","821,000,000","776,000,000","741,000,000","722,000,000","722,000,000","714,000,000","693,000,000","703,000,000","686,000,000","682,000,000","669,000,000","640,000,000","629,000,000","636,000,000","618,000,000","634,000,000","626,000,000","622,000,000","616,000,000","628,000,000","624,000,000","646,000,000","649,000,000","626,000,000","624,000,000","593,000,000","602,000,000","620,000,000","590,000,000","616,000,000","609,000,000","602,000,000","700,000,000","700,000,000","607,000,000","605,000,000","706,000,000","684,000,000","713,000,000","716,000,000","733,000,000","734,000,000","705,000,000","725,000,000","698,000,000","727,000,000","694,000,000","782,000,000","744,000,000","702,000,000","670,000,000","669,000,000","657,000,000","676,000,000","665,000,000","677,000,000","686,000,000","719,000,000","731,000,000","787,000,000","744,000,000","753,000,000","737,000,000","751,418,000","741,681,000","730,297,000","682,274,000","625,647,000","618,951,000","614,503,000","625,640,000","603,100,000","560,900,000","574,300,000","525,700,000","538,100,000","512,500,000","513,300,000","500,500,000","506,700,000","497,900,000","484,900,000","481,200,000","485,800,000","469,600,000","477,300,000","486,700,000","470,100,000","451,400,000","445,000,000","432,000,000","434,900,000","429,600,000","430,000,000","402,200,000","419,400,000","389,900,000","395,100,000","382,900,000","374,800,000","372,900,000","369,500,000","209,200,000","206,700,000","195,900,000","190,100,000","184,500,000","172,900,000","163,800,000","159,600,000","154,300,000",,,,,,,,,,,,,,,,,,
	NetInterestIncome,"2,672,000,000","601,000,000","621,000,000","708,000,000","742,000,000","707,000,000","561,000,000","456,000,000","461,000,000","475,000,000","465,000,000","443,000,000","469,000,000","458,000,000","471,000,000","513,000,000","544,000,000","586,000,000","603,000,000","606,000,000","614,000,000","599,000,000","590,000,000","549,000,000","545,000,000","546,000,000","500,000,000","470,000,000","455,000,000","450,000,000","445,000,000","447,000,000","433,000,000","422,000,000","421,000,000","413,000,000","415,000,000","414,000,000","416,000,000","410,000,000","430,000,000","412,000,000","414,000,000","416,000,000","424,000,000","427,000,000","435,000,000","443,000,000","444,000,000","423,000,000","391,000,000","395,000,000","405,000,000","404,000,000","422,000,000","415,000,000","396,000,000","385,000,000","402,000,000","384,000,000","431,000,000","466,000,000","442,000,000","476,000,000","489,000,000","503,000,000","509,000,000","502,000,000","502,000,000","502,000,000","502,000,000","479,000,000","501,000,000","512,000,000","483,000,000","460,000,000","466,000,000","451,000,000","448,000,000","445,000,000","457,000,000","465,000,000","493,000,000","511,000,000","533,000,000","528,000,000","531,000,000","540,000,000","536,126,000","526,539,000","527,381,000","512,292,000","422,608,000","416,467,000","414,833,000","404,943,000","408,200,000","390,400,000","379,600,000","368,800,000","370,800,000","360,400,000","364,500,000","365,600,000","365,900,000","361,600,000","363,500,000","351,800,000","353,300,000","353,300,000","356,500,000","349,300,000","341,000,000","323,300,000","323,100,000","312,500,000","312,300,000","313,000,000","314,600,000","290,300,000","288,100,000","279,900,000","283,600,000","275,100,000","274,200,000","271,500,000","271,200,000","160,600,000","155,800,000","150,800,000","145,700,000","142,500,000","130,600,000","123,300,000","121,400,000","116,800,000",,,,,,,,,,,,,,,,,,
		InterestIncome,"4,002,000,000","1,103,000,000","1,074,000,000","949,000,000","876,000,000","750,000,000","577,000,000","469,000,000","474,000,000","489,000,000","479,000,000","459,000,000","489,000,000","484,000,000","511,000,000","609,000,000","659,000,000","711,000,000","727,000,000","710,000,000","704,000,000","675,000,000","650,000,000","590,000,000","578,000,000","579,000,000","529,000,000","496,000,000","484,000,000","480,000,000","473,000,000","472,000,000","457,000,000","448,000,000","444,000,000","435,000,000","438,000,000","436,000,000","441,000,000","435,000,000","456,000,000","439,000,000","443,000,000","446,000,000","456,000,000","460,000,000","470,000,000","478,000,000","481,000,000","463,000,000","431,000,000","434,000,000","445,000,000","456,000,000","476,000,000","476,000,000","479,000,000","511,000,000","552,000,000","563,000,000","716,000,000","735,000,000","737,000,000","863,000,000","944,000,000","952,000,000","933,000,000","901,000,000","912,000,000","893,000,000","847,000,000","772,000,000","745,000,000","719,000,000","655,000,000","607,000,000","591,000,000","558,000,000","545,000,000","543,000,000","560,000,000","579,000,000","627,000,000","646,000,000","686,000,000","694,000,000","705,000,000","712,000,000","755,012,000","823,421,000","874,654,000","940,460,000","861,518,000","837,715,000","802,538,000","759,865,000","729,800,000","671,900,000","641,500,000","629,400,000","652,100,000","639,600,000","651,300,000","673,900,000","682,200,000","674,700,000","663,300,000","627,300,000","632,800,000","633,500,000","642,200,000","654,500,000","670,600,000","661,700,000","660,000,000","621,600,000","581,500,000","540,900,000","514,100,000","455,400,000","451,600,000","438,100,000","446,000,000","436,200,000","443,100,000","455,000,000","476,500,000","281,100,000","299,300,000","304,800,000","301,800,000","313,200,000","306,300,000","289,100,000","287,300,000","283,100,000",,,,,,,,,,,,,,,,,,
			InterestIncomeFromLoansAndLease,"3,210,000,000","862,000,000","852,000,000","777,000,000","719,000,000","597,000,000","454,000,000","383,000,000","393,000,000","411,000,000","404,000,000","386,000,000","414,000,000","408,000,000","434,000,000","517,000,000","564,000,000","619,000,000","635,000,000","621,000,000","604,000,000","581,000,000","568,000,000","509,000,000","498,000,000","500,000,000","453,000,000","421,000,000","412,000,000","411,000,000","406,000,000","406,000,000","395,000,000","390,000,000","389,000,000","379,000,000","383,000,000","381,000,000","385,000,000","376,000,000","397,000,000","381,000,000","388,000,000","390,000,000","398,000,000","400,000,000","408,000,000","411,000,000","415,000,000","405,000,000","369,000,000","375,000,000","394,000,000","399,000,000","412,000,000","412,000,000","424,000,000","444,000,000","447,000,000","452,000,000","612,000,000","634,000,000","633,000,000","770,000,000","873,000,000","895,000,000","882,000,000","851,000,000","858,000,000","843,000,000","794,000,000","723,000,000","698,000,000","674,000,000","616,000,000","566,000,000","544,000,000","514,000,000","500,000,000","496,000,000","511,000,000","530,000,000","577,000,000","593,000,000","620,000,000","625,000,000","634,000,000","645,000,000","683,706,000","757,797,000","813,970,000","865,333,000","805,205,000","786,074,000","752,057,000","693,840,000","682,500,000","631,800,000","600,300,000","586,400,000","601,100,000","583,700,000","590,400,000","607,800,000","601,700,000","590,800,000","579,100,000","546,200,000","543,100,000","540,000,000","542,000,000","539,000,000","540,800,000","532,500,000","527,900,000","489,700,000","448,000,000","408,700,000","380,400,000","342,100,000","350,000,000","349,500,000","348,000,000","334,000,000","338,400,000","345,800,000","361,500,000","208,900,000","221,500,000","226,300,000","223,400,000","228,000,000","224,600,000","220,100,000","217,900,000","212,400,000",,,,,,,,,,,,,,,,,,
				InterestIncomeFromLoans,"3,210,000,000","862,000,000","852,000,000","777,000,000","719,000,000","597,000,000","454,000,000","383,000,000","393,000,000","411,000,000","404,000,000","386,000,000","414,000,000","408,000,000","434,000,000","517,000,000","564,000,000","619,000,000","635,000,000","621,000,000","604,000,000","581,000,000","568,000,000","509,000,000","498,000,000","500,000,000","453,000,000","421,000,000","412,000,000","411,000,000","406,000,000","406,000,000","395,000,000","390,000,000","389,000,000","379,000,000","383,000,000","381,000,000","385,000,000","376,000,000","397,000,000","381,000,000","388,000,000","390,000,000","398,000,000","400,000,000","408,000,000","411,000,000","415,000,000","405,000,000","369,000,000","375,000,000","394,000,000","399,000,000","412,000,000","412,000,000","424,000,000","444,000,000","447,000,000","452,000,000","612,000,000","634,000,000","633,000,000","770,000,000","873,000,000","895,000,000","882,000,000","851,000,000","858,000,000","843,000,000","794,000,000","723,000,000","698,000,000","674,000,000","616,000,000","566,000,000","544,000,000","514,000,000","500,000,000","496,000,000","511,000,000","530,000,000","577,000,000","593,000,000","620,000,000","625,000,000","634,000,000","645,000,000","683,706,000","757,797,000","813,970,000","865,333,000","805,205,000","786,074,000","752,057,000","693,840,000","682,500,000","631,800,000","600,300,000","586,400,000","601,100,000","583,700,000","590,400,000","607,800,000","601,700,000","590,800,000","579,100,000","546,200,000","543,100,000","540,000,000","542,000,000","539,000,000","540,800,000","532,500,000","527,900,000","489,700,000","448,000,000","408,700,000","380,400,000","342,100,000","350,000,000","349,500,000","348,000,000","334,000,000","338,400,000","345,800,000","361,500,000","208,900,000","221,500,000","226,300,000","223,400,000","228,000,000","224,600,000","220,100,000","217,900,000","212,400,000",,,,,,,,,,,,,,,,,,
			InterestIncomeFromSecurities,"792,000,000","241,000,000","222,000,000","172,000,000","157,000,000","153,000,000","123,000,000","86,000,000","81,000,000","78,000,000","75,000,000","73,000,000","75,000,000","76,000,000","77,000,000","92,000,000","95,000,000","92,000,000","92,000,000","89,000,000","100,000,000","94,000,000","82,000,000","81,000,000","80,000,000","79,000,000","76,000,000","75,000,000","72,000,000","69,000,000","67,000,000","66,000,000","62,000,000","58,000,000","55,000,000","56,000,000","55,000,000","55,000,000","56,000,000","59,000,000","59,000,000","58,000,000","55,000,000","56,000,000","58,000,000","60,000,000","62,000,000","67,000,000","66,000,000","58,000,000","62,000,000","59,000,000","51,000,000","57,000,000","64,000,000","64,000,000","55,000,000","67,000,000","105,000,000","111,000,000","104,000,000","101,000,000","104,000,000","93,000,000","71,000,000","57,000,000","51,000,000","50,000,000","54,000,000","50,000,000","53,000,000","49,000,000","47,000,000","45,000,000","39,000,000","41,000,000","47,000,000","44,000,000","45,000,000","47,000,000","49,000,000","49,000,000","50,000,000","53,000,000","66,000,000","69,000,000","71,000,000","67,000,000","71,306,000","65,624,000","60,684,000","75,127,000","56,313,000","51,641,000","50,481,000","66,025,000","47,300,000","40,100,000","41,200,000","43,100,000","50,900,000","55,800,000","60,800,000","64,400,000","84,600,000","82,900,000","82,500,000","79,600,000","87,900,000","90,100,000","98,400,000","113,600,000","126,000,000","121,600,000","126,600,000","125,900,000","126,200,000","125,300,000","124,000,000","99,900,000","88,500,000","78,100,000","87,600,000","89,900,000","89,600,000","93,200,000","94,700,000","61,600,000","62,000,000","65,200,000","68,000,000","71,100,000","65,700,000","57,800,000","59,200,000","59,500,000",,,,,,,,,,,,,,,,,,
			InterestIncomeFromDeposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000","200,000","700,000","400,000","1,000,000","300,000",,"400,000","1,100,000","2,300,000","4,200,000","4,700,000","3,600,000","6,200,000","7,400,000","7,700,000","6,400,000","5,800,000","7,800,000","9,200,000","8,900,000","11,700,000","7,200,000","13,100,000","10,900,000","7,500,000","12,600,000","14,100,000","9,000,000","8,600,000","10,100,000",,,,,,,,,,,,,,,,,,
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,600,000",,"800,000","1,400,000","700,000","800,000","1,200,000","1,400,000","1,700,000","1,400,000","3,400,000","1,900,000","700,000","600,000","600,000","1,000,000","2,500,000","700,000","1,100,000","1,100,000","1,000,000","2,100,000","4,000,000","4,300,000","100,000","100,000","400,000","600,000","200,000","200,000","200,000","200,000","200,000",,,,,,,,,,,,,,,,,,
			OtherInterestIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"398,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-100,000",,"100,000","100,000","100,000",,,"100,000","100,000","600,000","1,200,000","100,000","200,000","2,000,000","3,100,000","1,300,000","1,100,000","2,000,000","2,700,000","2,500,000","3,500,000","4,700,000","3,000,000","3,500,000","3,500,000","3,800,000","3,100,000","4,300,000","3,300,000","2,600,000","2,000,000","2,300,000","1,300,000","1,700,000","2,000,000","1,400,000","900,000",,,,,,,,,,,,,,,,,,
		InterestExpense,"1,330,000,000","502,000,000","453,000,000","241,000,000","134,000,000","43,000,000","16,000,000","13,000,000","13,000,000","14,000,000","14,000,000","16,000,000","20,000,000","26,000,000","40,000,000","96,000,000","115,000,000","125,000,000","124,000,000","104,000,000","90,000,000","76,000,000","60,000,000","41,000,000","33,000,000","33,000,000","29,000,000","26,000,000","29,000,000","30,000,000","28,000,000","25,000,000","24,000,000","26,000,000","23,000,000","22,000,000","23,000,000","22,000,000","25,000,000","25,000,000","26,000,000","27,000,000","29,000,000","30,000,000","32,000,000","33,000,000","35,000,000","35,000,000","37,000,000","40,000,000","40,000,000","39,000,000","40,000,000","52,000,000","54,000,000","61,000,000","83,000,000","126,000,000","150,000,000","179,000,000","285,000,000","269,000,000","295,000,000","387,000,000","455,000,000","449,000,000","424,000,000","399,000,000","410,000,000","391,000,000","345,000,000","293,000,000","244,000,000","207,000,000","172,000,000","147,000,000","125,000,000","107,000,000","97,000,000","98,000,000","103,000,000","114,000,000","134,000,000","135,000,000","153,000,000","166,000,000","174,000,000","172,000,000","218,886,000","296,882,000","347,273,000","428,168,000","438,910,000","421,248,000","387,705,000","354,922,000","321,600,000","281,500,000","261,900,000","260,600,000","281,300,000","279,200,000","286,800,000","308,300,000","316,300,000","313,100,000","299,800,000","275,500,000","279,500,000","280,200,000","285,700,000","305,200,000","329,600,000","338,400,000","336,900,000","309,100,000","269,200,000","227,900,000","199,500,000","165,100,000","163,500,000","158,200,000","162,400,000","161,100,000","168,900,000","183,500,000","205,300,000","120,500,000","143,500,000","154,000,000","156,100,000","170,700,000","175,700,000","165,800,000","165,900,000","166,300,000",,,,,,,,,,,,,,,,,,
