Date,Open,High,Low,Close,Adj Close,Volume
2005-10-24,2.592000,2.640000,2.592000,2.626000,1.908165,2160000
2005-10-25,2.646000,2.682000,2.616000,2.640000,1.918338,2629500
2005-10-26,2.630000,2.670000,2.590000,2.618000,1.902352,2839500
2005-10-27,2.610000,2.636000,2.590000,2.600000,1.889272,810000
2005-10-28,2.640000,2.692000,2.640000,2.670000,1.940137,1664500
2005-10-31,2.700000,2.798000,2.700000,2.764000,2.008441,3915000
2005-11-01,2.830000,2.850000,2.710000,2.720000,1.976470,2830000
2005-11-02,2.724000,2.750000,2.650000,2.708000,1.967750,3455000
2005-11-03,2.680000,2.700000,2.642000,2.660000,1.932871,1815000
2005-11-04,2.660000,2.756000,2.644000,2.680000,1.947404,2600500
2005-11-07,2.680000,2.762000,2.672000,2.706000,1.966297,1783500
2005-11-08,2.686000,2.710000,2.664000,2.704000,1.964844,1599500
2005-11-09,2.706000,2.756000,2.692000,2.706000,1.969210,2294000
2005-11-10,2.720000,2.878000,2.662000,2.750000,2.001229,4019000
2005-11-11,2.758000,2.830000,2.758000,2.808000,2.043437,1347500
2005-11-14,2.796000,2.840000,2.784000,2.814000,2.047804,1282500
2005-11-15,2.830000,3.010000,2.812000,2.952000,2.148228,7032000
2005-11-16,3.020000,3.100000,3.000000,3.034000,2.207902,4794000
2005-11-17,3.050000,3.176000,3.024000,3.160000,2.299595,8077500
2005-11-18,3.160000,3.160000,3.030000,3.122000,2.271941,3764000
2005-11-21,3.180000,3.190000,3.132000,3.164000,2.302505,4266000
2005-11-22,3.164000,3.180000,3.102000,3.146000,2.289406,1920000
2005-11-23,3.150000,3.150000,3.094000,3.100000,2.255931,1068000
2005-11-25,3.110000,3.134000,3.110000,3.124000,2.273397,154000
2005-11-28,3.132000,3.138000,3.070000,3.098000,2.254476,1477000
2005-11-29,3.116000,3.116000,3.090000,3.100000,2.255931,792000
2005-11-30,3.096000,3.116000,3.078000,3.090000,2.248654,1513500
2005-12-01,3.084000,3.100000,3.018000,3.054000,2.222456,3586000
2005-12-02,3.052000,3.110000,3.030000,3.106000,2.260296,3127500
2005-12-05,3.090000,3.160000,3.060000,3.128000,2.276308,3232000
2005-12-06,3.146000,3.170000,3.134000,3.164000,2.302505,1503000
2005-12-07,3.170000,3.198000,3.124000,3.124000,2.273397,1762000
2005-12-08,3.124000,3.124000,3.016000,3.024000,2.200624,5745000
2005-12-09,3.038000,3.060000,2.984000,3.034000,2.207902,5531500
2005-12-12,3.044000,3.074000,3.010000,3.022000,2.199169,2333500
2005-12-13,3.022000,3.050000,2.946000,2.978000,2.167149,3260500
2005-12-14,2.970000,2.990000,2.938000,2.960000,2.154050,1973500
2005-12-15,2.950000,2.996000,2.922000,2.994000,2.178793,1495500
2005-12-16,3.016000,3.040000,3.004000,3.020000,2.197714,3498000
2005-12-19,3.020000,3.060000,2.960000,3.050000,2.219544,2893500
2005-12-20,2.960000,3.010000,2.926000,2.994000,2.178793,3497000
2005-12-21,2.996000,3.000000,2.924000,2.952000,2.148228,1900500
2005-12-22,2.952000,3.074000,2.952000,3.068000,2.232644,2252000
2005-12-23,3.030000,3.080000,3.030000,3.046000,2.216634,1622000
2005-12-27,3.056000,3.098000,3.050000,3.060000,2.226822,2007500
2005-12-28,3.056000,3.058000,2.986000,3.050000,2.219544,4846500
2005-12-29,3.060000,3.088000,3.050000,3.066000,2.231189,1294000
2005-12-30,3.066000,3.086000,3.038000,3.050000,2.219544,741000
2006-01-03,3.050000,3.080000,3.020000,3.060000,2.226822,2272500
2006-01-04,3.060000,3.140000,3.060000,3.112000,2.264663,2567500
2006-01-05,3.120000,3.248000,3.114000,3.230000,2.350535,5217500
2006-01-06,3.220000,3.220000,3.160000,3.204000,2.331615,5087000
2006-01-09,3.204000,3.320000,3.204000,3.280000,2.386921,3454500
2006-01-10,3.246000,3.296000,3.224000,3.290000,2.394199,2359500
2006-01-11,3.290000,3.290000,3.240000,3.258000,2.370910,2560500
2006-01-12,3.250000,3.316000,3.230000,3.260000,2.372366,2819000
