x_1,x_2,x_3,y
0.878180402,-0.122253,0.235714,0
0.084420283,-0.113459,-0.113459,0
-0.605758385,-0.130921,-0.130921,0
1.866076764,-0.411588,-0.411587,0
2.197126404,-0.033333,-0.033333,0
2.304313834,0.855172,0.855172,1
2.496179528,0.022305,0.022305,1
1.904580301,0.067273,0.067273,1
1.93009529,0.061329,0.061329,1
1.788726143,0.012841,0.012841,1
2.200330948,0.246049,0.244849,0
2.344268985,0.477927,0.477927,1
2.442431059,0.174026,0.174026,1
2.356322491,-0.070796,-0.070796,0
2.437079006,0.085714,0.085714,1
2.311484745,-0.095395,-0.095395,0
2.470501763,0.081212,0.081212,1
2.288908469,-0.10426,-0.10426,0
2.35949639,-0.041302,-0.041302,0
2.504412264,0.16188,0.16188,1
2.225620224,0.098876,0.098876,1
2.601269263,0.202454,0.202454,1
2.565903696,-0.02381,-0.02381,0
2.339424498,0.02439,0.02439,1
2.307821028,-0.057181,-0.055546,0
2.09733347,-0.079038,-0.079038,0
2.237754161,-0.08209,-0.08209,0
2.429326041,-0.038618,-0.038618,0
1.775704904,-0.044397,-0.044397,0
1.639444343,-0.033186,-0.033186,0
2.024686085,0.016018,0.016018,1
2.003163951,0.006757,0.006757,1
1.788245662,-0.192394,-0.192394,0
1.70379762,0.00554,0.00554,1
1.85869427,-0.170799,-0.170799,0
2.205882428,0.062458,0.062458,1
2.626776293,-0.086929,-0.086929,0
1.782956564,-0.079452,-0.079452,0
1.826343736,-0.047327,-0.045911,0
2.78195395,0.5625,0.5625,1
3.008411439,0.152,0.152,1
2.393878788,-0.222222,-0.222222,0
1.660297963,0,0,0
1.762491093,-0.064286,-0.064286,0
1.775164613,0.005725,0.005725,1
1.463614559,0.008539,0.008539,1
1.808564435,0.01223,0.01223,1
1.680445859,-0.099442,-0.099442,0
2.317210368,0.011352,0.011352,1
1.619187191,-0.064286,-0.064286,0
1.508104016,-0.003272,-0.003272,1
2.393832536,0.056893,0.056893,1
1.958238592,0.009703,0.009938,0
1.810526572,-0.059645,-0.059645,0
1.594878494,-0.055331,-0.055331,0
1.435146857,-0.081429,-0.081429,0
1.30609882,-0.048212,-0.048212,0
