name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"54,365,200,000","45,094,400,000","38,907,800,000","38,667,800,000","39,990,400,000","43,161,500,000","33,345,000,000","26,915,800,000","27,817,200,000","24,414,500,000","22,331,400,000","21,814,900,000","21,306,200,000","20,836,500,000","19,634,800,000","19,173,800,000","19,200,300,000","18,631,400,000","16,334,000,000","16,114,700,000","16,230,500,000","16,127,500,000","12,897,400,000","12,810,400,000","12,569,600,000","11,780,600,000","11,489,600,000","11,200,300,000","11,384,300,000","10,712,600,000","10,913,800,000","10,510,400,000","10,716,100,000","9,730,900,000","10,010,000,000","9,988,000,000","10,019,300,000","7,275,600,000","6,860,500,000","5,970,200,000","5,562,100,000","5,225,100,000","5,352,300,000","5,009,300,000","5,133,600,000","4,602,700,000","4,483,500,000","4,247,200,000","4,581,900,000","3,691,100,000","3,596,000,000","3,460,700,000","3,555,800,000","3,232,100,000","3,250,300,000","3,241,100,000","3,652,500,000","3,108,600,000","3,271,300,000","3,197,200,000","3,509,500,000","3,340,900,000","3,556,800,000","3,570,900,000","3,701,700,000","3,391,700,000","3,420,100,000","3,415,100,000","3,638,300,000","3,135,100,000","3,389,500,000","3,385,800,000","3,444,400,000","3,227,700,000","3,237,900,000","3,085,000,000","3,218,200,000","2,873,000,000","2,901,600,000","2,695,100,000","2,644,300,000","2,492,000,000","2,463,574,000","2,350,570,000","2,448,529,000","2,172,612,000","1,471,823,000","1,165,910,000","1,215,239,000","1,026,395,000","1,062,298,000","938,122,000","928,751,000","848,551,000","884,100,000","821,300,000","808,200,000","720,400,000","746,000,000","721,000,000","706,300,000","630,600,000","641,800,000","592,100,000","606,800,000","536,500,000","590,400,000","561,500,000","497,700,000","475,800,000","495,600,000","494,200,000","487,100,000","438,900,000","451,100,000","470,000,000","472,400,000","433,000,000","463,500,000","457,500,000","457,100,000","409,200,000","401,100,000","405,200,000","399,300,000","355,000,000","376,300,000","364,000,000","360,200,000","285,700,000","319,700,000","318,500,000","318,000,000","290,600,000","293,900,000","276,600,000","253,900,000","229,400,000","147,400,000"
	CurrentAssets,"36,845,700,000","28,778,000,000","22,834,600,000","23,796,600,000","24,744,400,000","27,519,300,000","17,670,400,000","15,138,300,000","15,939,300,000","12,667,500,000","11,124,200,000","11,200,300,000","10,760,400,000","10,527,200,000","9,117,500,000","9,328,600,000","9,547,400,000","9,669,500,000","8,118,700,000","8,084,000,000","8,365,000,000","8,533,300,000","5,170,600,000","5,087,400,000","5,107,200,000","4,483,200,000","4,416,100,000","4,213,700,000","4,485,600,000","3,939,500,000","4,335,800,000","4,020,100,000","4,261,400,000","3,594,800,000","3,811,200,000","3,972,400,000","4,440,300,000","3,198,000,000","2,875,600,000","2,546,700,000","2,602,600,000","2,301,400,000","2,429,500,000","2,324,900,000","2,631,800,000","2,225,000,000","2,199,400,000","2,088,700,000","2,416,000,000","1,749,800,000","1,726,000,000","1,689,900,000","1,823,600,000","1,521,900,000","1,540,000,000","1,565,600,000","1,980,700,000","1,444,500,000","1,702,000,000","1,743,800,000","2,132,800,000","2,020,800,000","2,275,800,000","2,370,100,000","2,545,100,000","2,268,900,000","2,376,200,000","2,337,900,000","2,599,800,000","2,130,100,000","2,401,800,000","2,419,800,000","2,475,900,000","2,217,000,000","2,227,800,000","2,181,800,000","2,343,400,000","2,049,300,000","2,107,900,000","1,975,600,000","1,952,000,000","1,805,000,000","1,773,610,000","1,690,678,000","1,745,886,000","1,576,991,000","1,024,266,000","849,202,000","881,816,000","707,623,000","777,722,000","654,812,000","674,968,000","604,696,000","642,800,000","586,200,000","578,500,000","499,900,000","531,000,000","519,900,000","518,700,000","444,200,000","468,800,000","446,600,000","471,000,000","404,300,000","463,900,000","439,500,000","386,100,000","363,200,000","381,700,000","389,300,000","382,600,000","336,900,000","351,100,000","373,900,000","377,800,000","335,500,000","363,700,000","363,600,000","360,900,000","266,400,000","273,900,000","275,400,000","273,600,000","0","0","0","0","0","0","0","0","0","0","192,100,000","171,700,000","163,200,000","98,100,000"
		CashCashEquivalentsAndShortTermInvestments,"952,300,000","1,549,900,000","342,300,000","553,700,000","523,600,000","528,600,000","402,600,000","2,735,100,000","3,204,100,000","526,300,000","664,600,000","629,900,000","349,700,000","352,800,000","604,800,000","578,900,000","512,300,000","871,500,000","607,200,000","605,000,000","652,200,000","697,900,000","681,200,000","564,900,000","587,800,000","564,000,000","545,500,000","531,800,000","411,100,000","425,400,000","480,400,000","369,700,000","321,700,000","276,800,000","314,400,000","290,500,000","973,500,000","739,200,000","298,100,000","286,900,000","240,000,000","224,000,000","302,100,000","305,200,000","282,100,000","301,800,000","291,200,000","241,400,000","263,200,000","333,200,000","249,800,000","296,300,000","230,000,000","227,100,000","206,000,000","238,200,000","226,300,000","192,800,000","194,600,000","254,700,000","238,600,000","194,000,000","263,400,000","383,900,000","252,700,000","229,200,000","257,200,000","268,000,000","250,500,000","214,700,000","361,000,000","345,300,000","271,100,000","240,100,000","250,600,000","323,200,000","285,800,000","237,600,000","225,500,000","260,500,000","241,400,000","221,000,000","167,155,000","142,686,000","110,589,000","103,197,000","97,334,000","124,238,000","100,930,000","95,972,000","99,904,000","92,741,000","63,237,000","65,935,000","61,100,000","65,700,000","46,900,000","43,900,000","61,500,000","61,700,000","60,200,000","48,000,000","67,200,000","53,900,000","57,600,000","48,200,000","57,000,000","61,300,000","48,000,000","63,400,000","53,500,000","70,200,000","50,300,000","45,500,000","39,700,000","66,800,000","34,600,000","37,900,000","46,800,000","61,500,000","44,400,000","41,800,000","112,400,000","122,900,000","108,500,000",,,,,,,,,,,"84,400,000","79,200,000","69,200,000","33,100,000"
			CashAndCashEquivalents,"952,300,000","1,549,900,000","342,300,000","553,700,000","523,600,000","528,600,000","402,600,000","2,735,100,000","3,204,100,000","526,300,000","664,600,000","629,900,000","349,700,000","352,800,000","604,800,000","578,900,000","512,300,000","871,500,000","607,200,000","605,000,000","652,200,000","697,900,000","681,200,000","564,900,000","587,800,000","564,000,000","545,500,000","531,800,000","411,100,000","425,400,000","480,400,000","369,700,000","321,700,000","276,800,000","314,400,000","290,500,000","973,500,000","739,200,000","298,100,000","286,900,000","240,000,000","224,000,000","302,100,000","305,200,000","282,100,000","301,800,000","291,200,000","241,400,000","263,200,000","333,200,000","249,800,000","296,300,000","230,000,000","227,100,000","205,900,000","237,700,000","226,100,000","192,500,000","194,400,000","249,600,000","232,900,000","185,200,000","255,900,000","351,400,000","210,900,000","158,800,000","208,000,000","231,100,000","222,400,000","184,000,000","317,800,000","313,900,000","243,100,000","212,300,000","224,600,000","297,300,000","258,300,000","211,500,000","193,600,000","178,200,000","149,000,000","165,000,000","152,536,000","128,644,000","110,589,000","103,197,000","97,334,000","124,238,000","100,930,000","95,972,000","99,904,000","92,741,000","63,237,000","65,935,000","61,100,000","65,700,000","46,900,000","43,900,000","61,500,000","61,700,000","60,200,000","48,000,000","67,200,000","53,900,000","57,600,000","48,200,000","57,000,000","61,300,000","48,000,000","63,400,000","53,500,000","70,200,000","50,300,000","45,500,000","39,700,000","66,800,000","34,600,000","37,900,000","46,800,000","61,500,000","44,400,000","41,800,000","112,400,000","122,900,000","108,500,000",,,,,,,,,,,"84,400,000","79,200,000","69,200,000","33,100,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000","500,000","200,000","300,000","200,000","5,100,000","5,700,000","8,800,000","7,500,000","32,500,000","41,800,000","70,400,000","49,200,000","36,900,000","28,100,000","30,700,000","43,200,000","31,400,000","28,000,000","27,800,000","26,000,000","25,900,000","27,500,000","26,100,000","31,900,000","82,300,000","92,400,000","56,000,000","14,619,000","14,042,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"3,716,300,000","3,526,500,000","16,408,900,000","16,956,000,000","18,452,000,000","21,608,100,000","11,753,100,000","7,756,500,000","8,908,200,000","8,309,300,000","6,436,000,000","6,702,500,000","6,873,500,000","7,094,300,000","5,419,200,000","6,199,500,000","6,007,600,000","6,253,200,000","4,857,500,000","4,872,000,000","5,142,200,000","5,675,400,000","2,157,200,000","2,227,300,000","2,374,200,000","2,066,800,000","1,844,800,000","1,683,700,000","2,038,400,000","1,706,800,000","1,734,000,000","1,600,800,000","1,764,500,000","1,543,600,000","1,462,500,000","1,669,000,000","1,997,600,000","1,253,400,000","1,288,800,000","1,075,100,000","1,245,200,000","1,050,600,000","1,096,100,000","1,031,700,000","1,367,600,000","1,080,100,000","1,027,100,000","982,000,000","1,292,900,000","718,800,000","750,100,000","704,900,000","916,000,000","665,500,000","693,700,000","664,800,000","1,034,300,000","574,900,000","826,500,000","784,000,000","1,104,700,000","1,063,000,000","1,303,700,000","1,247,800,000","1,493,000,000","1,306,500,000","1,422,300,000","1,303,100,000","1,618,200,000","1,282,600,000","1,396,800,000","1,328,600,000","1,514,200,000","1,311,300,000","1,355,500,000","1,246,400,000","1,439,400,000","1,225,900,000","1,286,400,000","1,202,200,000","1,318,100,000","1,214,000,000","1,183,737,000","1,098,386,000","1,255,450,000","1,088,795,000","555,276,000","402,756,000","499,039,000","354,441,000","405,164,000","306,287,000","386,009,000","324,140,000","364,900,000","295,700,000","325,600,000","256,900,000","288,300,000","260,700,000","258,300,000","191,600,000","217,600,000","201,300,000","217,600,000","189,000,000","237,600,000","198,700,000","205,900,000","168,100,000","193,700,000","174,200,000","193,300,000","161,700,000","179,800,000","152,700,000","194,500,000","136,900,000","152,500,000","148,200,000","168,200,000","133,900,000","139,100,000","132,700,000","147,200,000",,,,,,,,,,,"90,600,000","85,800,000","87,000,000","62,100,000"
			AccountsReceivable,"3,716,300,000","3,526,500,000","16,408,900,000","16,956,000,000","18,452,000,000","21,608,100,000","11,753,100,000","7,756,500,000","8,394,800,000","8,309,300,000","6,436,000,000","6,702,500,000","6,873,500,000","7,094,300,000","5,419,200,000","5,684,700,000","6,007,600,000","6,253,200,000","4,857,500,000","4,872,000,000","5,142,200,000","5,675,400,000","2,157,200,000","2,227,300,000","2,374,200,000","2,066,800,000","1,844,800,000","1,683,700,000","2,038,400,000","1,706,800,000","1,734,000,000","1,600,800,000","1,764,500,000","1,543,600,000","1,462,500,000","1,669,000,000","1,997,600,000","1,253,400,000","1,288,800,000","1,075,100,000","1,245,200,000","1,050,600,000","1,096,100,000",,,,,,,,,,,,,,,,"826,500,000",,"1,104,700,000","1,063,000,000","1,303,700,000","1,247,800,000","1,493,000,000","1,306,500,000","1,422,300,000","1,303,100,000","1,618,200,000","1,282,600,000","1,396,800,000","1,328,600,000","1,514,200,000","1,305,400,000","1,355,500,000","1,246,400,000","1,439,400,000","1,225,900,000","1,286,400,000","1,202,200,000","1,318,100,000","1,214,000,000","1,183,737,000","1,098,386,000","1,255,450,000","1,088,795,000","555,276,000","402,756,000","499,039,000","354,441,000","405,164,000","306,287,000","386,009,000",,"364,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,"388,100,000","362,300,000","340,900,000","305,100,000","316,200,000","331,900,000","302,800,000","246,800,000","305,500,000","292,500,000","257,000,000","220,100,000","241,200,000","255,600,000","230,800,000","197,200,000","220,200,000","217,000,000","219,800,000","194,200,000","232,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,"573,500,000","776,400,000","765,300,000","564,300,000","639,900,000","654,700,000","513,400,000","438,100,000","457,100,000","437,200,000","377,400,000","364,800,000","472,500,000","514,800,000","485,900,000","420,300,000","508,400,000","460,800,000","424,900,000","358,500,000","311,400,000","298,100,000","328,400,000","292,400,000","314,100,000","267,600,000","299,900,000","225,800,000","289,200,000","302,600,000","324,100,000","222,500,000","259,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,,,"743,500,000","701,100,000","644,200,000","628,800,000","681,400,000","638,500,000","575,400,000","493,800,000","554,800,000","516,200,000","436,700,000","377,600,000","503,600,000","457,500,000","442,400,000","400,100,000","424,400,000","431,800,000","398,200,000","341,800,000","397,000,000","381,500,000","335,700,000","302,000,000","319,600,000","333,500,000","305,300,000","278,000,000","299,300,000","288,000,000","300,600,000","262,900,000","304,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
