name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,12/31/2018,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997
TotalAssets,"17,003,000,000","17,278,000,000","17,475,000,000","17,292,000,000","17,426,000,000","17,987,000,000","17,138,000,000","17,044,000,000","17,188,000,000","16,592,000,000","16,718,000,000","16,465,000,000","16,442,000,000","16,421,000,000","16,832,600,000","16,730,700,000","17,165,000,000","8,850,396,826.225","8,991,520,566.84","9,074,449,290.331","8,730,986,469.593","8,535,977,280.165","9,129,964,034.873","11,335,590,498.006","11,599,770,759.564","11,675,501,784.836","9,612,204,138.869","6,816,347,612.745","7,720,840,787.976","7,754,283,290.925","7,535,878,066.517","7,547,884,832.403","7,191,727,667.429","6,443,077,379.188","4,978,043,013.174","3,585,217,617.611","2,958,803,510.657","4,241,064,872.298","4,457,453,610.871","5,291,041,176.825"
	CurrentAssets,"4,777,000,000","5,018,000,000","5,318,000,000","5,136,000,000","5,149,000,000","5,587,000,000","4,788,000,000","4,684,000,000","4,705,000,000","4,341,000,000","4,279,000,000","4,214,000,000","4,191,000,000","4,502,200,000","4,687,600,000","4,562,200,000","5,210,100,000","3,211,412,596.688","3,265,758,594.683","3,283,297,655.332","3,211,079,450.37","3,408,558,511.917","3,325,079,556.367","3,830,639,641.531","3,815,318,173.445","3,911,997,947.973","3,013,385,458.718","1,870,662,104.142","2,505,046,832.694","2,879,134,860.051","2,372,256,274.024","2,544,301,094.946","2,133,803,161.552","1,988,046,788.669","2,584,787,749.127","1,369,340,130.535","1,044,241,447.251","1,319,408,285.604","1,408,901,001.347","1,626,951,829.746"
		CashCashEquivalentsAndShortTermInvestments,"689,000,000","564,000,000","837,000,000","562,000,000","775,000,000","1,077,000,000","626,000,000","633,000,000","850,000,000","690,000,000","755,000,000","757,000,000","743,000,000","537,800,000","673,800,000","480,200,000","601,600,000","497,111,260.616","617,013,493.085","560,952,877.976","518,603,762.036","703,982,682.406","509,443,199.578","360,385,847.395","365,965,982.357","239,830,707.736","227,000,382.442","152,209,703.974","230,767,022.895","97,285,835.454","84,519,374.898","160,734,437.429","91,588,536.751","95,342,694.661","1,298,896,520.662","164,622,913.509","117,917,487.611","125,899,520.701","164,014,824.656","132,558,630.253"
			CashAndCashEquivalents,"689,000,000","564,000,000","837,000,000","562,000,000","775,000,000","1,077,000,000","626,000,000","633,000,000","850,000,000","690,000,000","755,000,000","757,000,000","743,000,000","537,800,000","673,800,000","480,200,000","601,600,000","489,626,148.28","617,013,493.085","560,952,877.976","518,603,762.036","703,982,682.406","509,443,199.578","360,385,847.395","365,965,982.357","239,830,707.736","227,000,382.442","152,209,703.974","230,767,022.895","97,285,835.454","84,519,374.898","160,734,437.429","91,588,536.751","95,342,694.661","1,298,896,520.662","164,622,913.509","117,917,487.611","125,899,520.701","164,014,824.656","132,558,630.253"
				CashFinancial,,,,,,,,,,,,,,,,,,"489,626,148.28","520,108,184.49","447,363,666.532","518,603,762.036","703,982,682.406","389,873,274.71","243,664,272.612","274,065,128.845","193,232,584.486","207,538,350.402","107,176,292.088","205,508,940.787","66,412,213.74","60,254,374.379","151,584,469.454","89,211,429.69","78,834,595.585","1,283,357,729.985","127,575,103.463","79,527,135.948","97,261,718.802","126,518,627.043","91,261,228.673"
				CashEquivalents,,,,,,,,,,,,,,,,,,,"96,905,308.595","113,589,211.444",,,"119,569,924.869","116,721,574.783","91,900,853.511","46,598,123.25","19,462,032.04","45,033,411.886","25,258,082.108","30,873,621.713","24,265,000.519","9,149,967.975","2,377,107.061","16,508,099.076","15,538,790.677","37,047,810.046","38,390,351.663","28,637,801.899","37,496,197.612","41,297,401.58"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,"7,485,112.336",,,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,875,000,000","2,034,000,000","1,972,000,000","1,984,000,000","1,935,000,000","2,090,000,000","1,889,000,000","1,938,000,000","1,864,000,000","1,775,000,000","1,681,000,000","1,673,000,000","1,616,000,000","1,730,500,000","1,669,100,000","1,789,500,000","1,864,300,000","1,312,988,505.253","1,198,345,954.595","1,326,706,005.258","1,346,841,222.599","1,383,896,727.209","1,395,861,185.908","1,669,602,197.541","1,621,876,087.357","1,859,542,996.388","1,457,272,765.903","880,814,798.076","1,132,404,014.504","1,711,874,469.89","1,207,833,068.669","1,181,032,116.388","995,798,113.696","942,848,287.2","711,518,973.089","663,543,628.134","485,939,459.072","604,731,579.018","644,574,536.109","765,509,133.659"
			AccountsReceivable,"1,875,000,000","2,034,000,000","1,972,000,000","1,984,000,000","1,935,000,000","2,090,000,000","1,889,000,000","1,938,000,000","1,864,000,000","1,775,000,000","1,681,000,000","1,673,000,000","1,616,000,000","1,730,500,000","1,669,100,000","1,789,500,000","1,864,300,000","1,312,988,505.253","1,028,587,731.949","1,114,912,576.708","1,186,945,938.202","1,191,547,366.12","1,222,626,019.169","1,467,187,457.222","1,463,454,571.505","1,488,468,033.26","1,283,559,257.213","756,851,857.83","948,995,895.562","944,274,809.16","1,013,787,269.408","1,000,472,748.345","861,211,905.111","743,605,638.358","607,420,335.548","544,745,691.789","420,502,716.58","493,184,336.658","552,758,515.796","640,411,165.37"
				GrossAccountsReceivable,"1,896,000,000","2,056,000,000","1,995,000,000","2,007,000,000","1,960,000,000","2,116,000,000","1,913,000,000","1,964,000,000","1,892,000,000","1,804,000,000","1,713,000,000","1,706,000,000","1,651,200,000",,,,,"1,312,988,505.253","1,045,384,652.105","1,135,792,211.881","1,202,533,214.354","1,206,228,236.359","1,239,572,937.654","1,488,177,263.477","1,488,220,725.792","1,516,042,152.064","1,313,984,617.346","774,606,966.459","978,080,959.807","970,653,095.844","1,047,402,086.642","1,038,368,865.709","897,288,000.503","783,898,876.102","631,516,721.09","565,668,008.757","438,712,758.971","515,880,962.871","572,624,050.955","663,094,592.15"
				AllowanceForDoubtfulAccountsReceivable,"-21,000,000","-22,000,000","-23,000,000","-23,000,000","-25,000,000","-26,000,000","-24,000,000","-26,000,000","-28,000,000","-29,000,000","-32,000,000","-33,000,000","-35,300,000",,,,,,"-16,796,920.156","-20,879,635.173","-15,587,276.152","-14,680,870.239","-16,946,918.485","-20,989,806.255","-24,766,154.287","-27,574,118.804","-30,425,360.133","-17,755,108.629","-29,085,064.245","-26,378,286.684","-33,614,817.233","-37,896,117.364","-36,076,095.392","-40,293,237.744","-24,096,385.542","-20,922,316.968","-18,210,042.391","-22,696,626.213","-19,865,535.159","-22,683,426.78"
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,"223,051,108.309","5,779,118.684","9,200,374.471","13,107,413.821",,"16,621,896.38","74,419,739.531","12,374,939.698","10,848,179.393","844,499.493","4,745,793.849","3,164,368.022","7,610,045.26","434,558.582","226,080.666"
			OtherReceivables,,,,,,,,,,,,,,,,,,,"169,758,222.647","211,793,428.55","159,895,284.397","192,349,361.089","173,235,166.739","202,414,740.32","158,421,515.852","148,023,854.819","167,934,390.006","114,762,565.775","170,300,705.121","767,599,660.729","177,423,902.881","106,139,628.511","122,211,268.886","188,394,469.45","103,254,138.048","114,052,142.496","62,272,374.47","103,937,197.1","91,381,461.731","124,871,887.623"
		Inventory,"2,213,000,000","2,420,000,000","2,509,000,000","2,590,000,000","2,439,000,000","2,420,000,000","2,273,000,000","2,113,000,000","1,991,000,000","1,876,000,000","1,843,000,000","1,784,000,000","1,832,000,000","1,819,800,000","1,891,800,000","1,874,400,000","1,953,800,000","1,384,246,774.693","1,350,512,136.605","1,304,227,929.115","1,251,406,867.32","1,212,320,298.159","1,328,450,110.155","1,656,004,453.489","1,702,519,598.011","1,692,602,013.552","1,248,459,609.909","790,586,564.225","1,069,545,832.895","1,008,566,581.849","1,024,250,159.541","1,098,072,406.747","957,554,655.984","865,159,151.551","532,034,680.779","514,484,877.247","408,919,935.519","588,777,185.885","600,311,640.583","728,884,065.835"
