name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004
TotalAssets,"169,781,000,000","166,640,000,000","158,468,000,000","153,354,000,000","158,497,000,000","167,525,000,000","175,979,000,000","170,726,000,000","171,703,000,000","165,737,000,000","165,883,000,000","158,687,000,000","154,902,000,000","145,682,000,000","151,828,000,000","149,513,000,000","148,678,000,000","144,403,000,000","137,216,000,000","145,191,000,000","143,268,000,000","144,762,000,000","147,470,000,000","145,486,000,000","143,144,000,000","140,857,000,000","139,821,000,000","143,623,000,000","142,684,000,000","140,250,000,000","145,259,000,000","145,320,000,000","148,806,000,000","151,448,000,000","148,810,000,000","147,193,000,000","149,160,000,000","145,964,000,000","144,576,000,000","140,208,000,000","137,258,000,000","137,296,000,000","134,729,000,000","138,564,000,000","135,270,000,000","136,757,000,000","133,986,000,000","130,380,000,000","135,138,000,000","133,832,000,000","131,192,000,000","129,044,000,000","121,110,000,000","122,377,000,000","113,774,000,000","111,201,000,000","103,214,000,000","94,581,000,000","95,676,000,000","99,150,000,000","104,267,000,000","104,902,000,000","109,230,000,000","109,854,000,000","108,132,000,000","105,160,000,000","104,172,000,000","99,504,000,000","96,049,000,000","95,821,000,000","93,121,000,000","92,274,000,000","95,952,000,000","93,536,000,000","93,113,000,000"
	TotalInvestments,"53,567,000,000","50,902,000,000","46,878,000,000","42,450,000,000","40,090,000,000","38,217,000,000","37,994,000,000","35,688,000,000","43,356,000,000","43,079,000,000","42,949,000,000","42,640,000,000","40,703,000,000","38,024,000,000","39,520,000,000","37,375,000,000","37,007,000,000","35,203,000,000","37,531,000,000","36,920,000,000","36,594,000,000","37,431,000,000","38,056,000,000","38,417,000,000","38,192,000,000","38,020,000,000","38,088,000,000","38,448,000,000","37,870,000,000","37,154,000,000","40,714,000,000","41,723,000,000","41,490,000,000","41,816,000,000","41,730,000,000","41,560,000,000","41,584,000,000","41,303,000,000","40,737,000,000","40,040,000,000","39,967,000,000","40,804,000,000","41,247,000,000","43,289,000,000","43,564,000,000","43,919,000,000","43,564,000,000","43,750,000,000","43,363,000,000","42,820,000,000","42,497,000,000","43,355,000,000","41,963,000,000","41,114,000,000","36,974,000,000","36,847,000,000","34,793,000,000","30,738,000,000","27,522,000,000",,,,,,,,,,,,,,,,
		FixedMaturityInvestments,"39,000,000","34,000,000","35,000,000","28,000,000",,,,,,,"8,000,000",,"10,000,000","7,000,000","8,000,000","9,000,000","8,000,000",,"9,000,000",,"9,000,000","24,000,000","27,000,000","29,000,000","30,000,000","33,000,000","19,000,000","59,000,000","56,000,000","59,000,000","154,000,000","199,000,000","180,000,000","168,000,000","171,000,000","183,000,000","154,000,000","165,000,000","202,000,000","219,000,000","220,000,000","243,000,000","254,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		EquityInvestments,"5,000,000","4,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,000,000","2,000,000","2,000,000","1,000,000",,,"1,000,000","33,129,000,000","1,000,000","2,000,000","28,764,000,000","31,058,000,000","30,840,000,000","10,000,000","30,319,000,000","30,927,000,000","30,826,000,000","30,647,000,000","30,582,000,000","30,719,000,000","30,799,000,000","30,158,000,000","29,480,000,000","28,673,000,000","29,286,000,000","29,427,000,000","30,150,000,000","30,027,000,000","30,256,000,000","30,486,000,000","30,478,000,000","30,310,000,000","30,084,000,000","30,018,000,000","31,049,000,000","31,472,000,000","34,425,000,000","34,590,000,000","34,805,000,000","34,505,000,000","34,012,000,000","33,348,000,000","33,030,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		TradingAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"567,000,000","644,000,000","578,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		NetLoan,"5,054,000,000","5,114,000,000","5,150,000,000","5,171,000,000","4,899,000,000","4,978,000,000","4,969,000,000","4,915,000,000","5,104,000,000","6,162,000,000","5,473,000,000","3,619,000,000","3,665,000,000","5,038,000,000","3,646,000,000","5,208,000,000","5,216,000,000","3,498,000,000","3,557,000,000","3,538,000,000","4,814,000,000","3,565,000,000","3,601,000,000","3,841,000,000","3,829,000,000","3,811,000,000","3,817,000,000","3,809,000,000","3,847,000,000","3,883,000,000","4,183,000,000","4,206,000,000","4,205,000,000","4,181,000,000","4,246,000,000","4,262,000,000","4,266,000,000","4,267,000,000","4,284,000,000","4,293,000,000","4,319,000,000","4,327,000,000","4,363,000,000","3,293,000,000","3,301,000,000","3,356,000,000","3,331,000,000","3,261,000,000","3,260,000,000","3,277,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,"2,147,000,000","2,256,000,000","2,316,000,000","2,347,000,000","2,070,000,000","2,174,000,000","2,181,000,000","2,168,000,000","2,609,000,000","2,640,000,000","1,909,000,000",,"1,485,000,000","1,390,000,000","1,597,000,000","1,640,000,000","1,693,000,000",,"1,691,000,000",,"1,274,000,000","2,042,000,000","2,069,000,000","2,145,000,000","2,190,000,000","2,182,000,000","2,198,000,000","2,485,000,000","2,523,000,000","2,429,000,000","6,267,000,000","6,577,000,000","6,191,000,000","5,709,000,000","5,771,000,000","5,246,000,000","5,238,000,000","4,979,000,000","4,572,000,000","4,206,000,000","4,150,000,000","3,892,000,000","3,922,000,000","2,541,000,000","2,551,000,000","2,615,000,000","2,589,000,000","2,520,000,000","2,524,000,000","2,546,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
			MortgageAndConsumerloans,"2,033,000,000","1,997,000,000","1,987,000,000","1,986,000,000","1,996,000,000","1,971,000,000","1,953,000,000","1,911,000,000","1,655,000,000","2,684,000,000","2,718,000,000","2,770,000,000","2,809,000,000","2,779,000,000","2,778,000,000","2,704,000,000","2,662,000,000","2,644,000,000","2,696,000,000","2,684,000,000","2,689,000,000","2,721,000,000","2,756,000,000","3,000,000,000","2,993,000,000","2,981,000,000","2,986,000,000","2,974,000,000","3,017,000,000","3,055,000,000","3,359,000,000","3,382,000,000","3,388,000,000","3,368,000,000","3,440,000,000","3,457,000,000","3,474,000,000","3,487,000,000","3,510,000,000","3,524,000,000","3,558,000,000","3,573,000,000","3,609,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PolicyLoans,"874,000,000","861,000,000","847,000,000","838,000,000","833,000,000","833,000,000","835,000,000","836,000,000","840,000,000","838,000,000","846,000,000","849,000,000","856,000,000","869,000,000","868,000,000","864,000,000","861,000,000","854,000,000","861,000,000","854,000,000","851,000,000","844,000,000","845,000,000","841,000,000","836,000,000","830,000,000","831,000,000","835,000,000","830,000,000","828,000,000","824,000,000","824,000,000","817,000,000","813,000,000","806,000,000","805,000,000","792,000,000","780,000,000","774,000,000","769,000,000","761,000,000","754,000,000","754,000,000","752,000,000","750,000,000","741,000,000","742,000,000","741,000,000","736,000,000","731,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		OtherShortTermInvestments,"47,587,000,000","44,883,000,000","40,811,000,000","36,386,000,000","34,289,000,000","32,330,000,000","32,050,000,000","30,114,000,000","36,146,000,000","35,832,000,000","36,283,000,000","35,959,000,000","34,442,000,000","31,846,000,000","33,129,000,000","30,967,000,000","30,642,000,000","28,764,000,000","31,058,000,000","30,840,000,000","30,459,000,000","30,319,000,000","30,927,000,000","30,826,000,000","30,647,000,000","30,582,000,000","30,719,000,000","30,799,000,000","30,158,000,000","29,480,000,000","28,673,000,000","29,286,000,000","29,427,000,000","30,150,000,000","30,027,000,000","30,256,000,000","30,486,000,000","30,478,000,000","30,310,000,000","30,084,000,000","30,018,000,000","31,049,000,000","31,472,000,000","43,289,000,000","43,564,000,000","43,919,000,000",,"43,750,000,000","43,363,000,000","42,820,000,000","42,497,000,000","5,375,000,000","5,437,000,000","5,349,000,000",,,,,,,,,,,,,,,,,,,,,
