name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,12/31/2005
TotalAssets,"41,582,784,000","41,086,439,000","42,524,227,000","40,259,321,000","41,631,308,000","43,344,078,000","41,196,408,000","39,038,092,000","33,297,192,000","29,709,986,000","26,269,252,000","25,041,565,000","28,844,381,000","26,946,494,000","32,585,506,000","32,385,771,000","30,972,213,000","29,874,951,000","28,924,650,000","30,460,357,000","30,075,297,000","27,933,375,000","34,428,910,000","31,761,987,000","30,127,931,000","28,337,164,000","26,403,337,000","24,413,520,000","23,041,658,000","22,050,904,000","22,526,080,000","23,618,703,000","24,683,501,000","32,406,601,000","31,510,894,000","30,513,856,000","30,059,309,000","30,028,545,000","29,678,606,000","28,034,882,000","27,742,878,000","27,977,999,000","28,931,552,000","27,800,439,000","26,142,570,000","26,546,361,000","21,909,129,000","22,068,796,000","22,331,131,000","19,248,767,000","18,844,605,000","17,740,891,000","16,473,309,000","13,486,317,000","9,409,024,000","8,729,981,000","7,698,732,000","7,674,509,000","9,257,911,000","11,949,257,000","13,489,918,000","13,216,384,000","13,174,200,000","12,970,014,000","18,779,891,000","39,365,506,000","33,891,044,000","21,121,124,000"
	CashCashEquivalentsAndFederalFundsSold,"3,495,648,000","3,021,293,000","4,493,715,000","3,574,361,000","4,312,656,000","3,979,215,000","2,199,732,000","5,125,164,000","2,657,147,000","2,971,707,000","2,064,456,000","2,714,113,000","2,319,713,000","2,386,329,000","2,523,651,000","2,844,544,000","1,809,053,000","1,788,366,000","2,545,161,000","2,346,524,000","1,998,926,000","2,450,130,000","3,922,028,000","2,981,417,000","3,271,580,000","3,720,584,000","2,842,414,000","2,890,849,000","2,231,727,000","1,921,143,000","2,424,456,000","2,234,821,000","2,939,380,000","3,105,093,000","3,220,564,000","2,461,470,000","2,483,982,000","1,998,107,000","1,877,880,000","2,012,468,000","1,837,852,000","2,056,642,000","2,113,913,000","1,635,930,000","1,271,152,000","1,175,390,000","1,479,506,000","1,659,595,000","1,431,469,000","1,104,423,000","1,379,020,000","1,407,920,000","896,915,000","903,797,000","1,038,180,000","560,194,000","855,493,000","843,808,000","1,411,061,000","1,278,635,000","297,086,000","790,183,000","1,032,325,000","923,058,000","1,901,129,000",,"940,168,000",
		CashAndCashEquivalents,"3,280,204,000","2,830,971,000","4,252,003,000","3,480,003,000","4,183,380,000","3,868,567,000","2,119,738,000","5,011,433,000","2,467,444,000","2,862,422,000","1,999,484,000","2,628,895,000","1,976,512,000","2,068,326,000","2,172,441,000","2,468,563,000","1,484,444,000","1,570,741,000","2,207,841,000","1,937,963,000","1,710,251,000","1,746,948,000","1,992,497,000","1,315,687,000","1,745,547,000","2,303,680,000","1,837,253,000","1,781,882,000","1,495,466,000","1,372,552,000","1,837,324,000","1,380,404,000","2,164,640,000","1,135,472,000","1,412,472,000","943,519,000","1,223,073,000","787,521,000","831,998,000","888,938,000","660,977,000","815,266,000","709,502,000","833,515,000","412,545,000","391,304,000","754,744,000","592,982,000","434,803,000","455,811,000","588,621,000","1,016,229,000","506,739,000","627,257,000","952,096,000","486,470,000","784,579,000","776,303,000","503,737,000","1,134,954,000","217,660,000","672,669,000","868,629,000","610,193,000","1,433,363,000","0","129,443,000","0"
			CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"790,183,000",,,,,,
		RestrictedCashAndInvestments,"215,444,000","190,322,000","241,712,000","94,358,000","129,276,000","110,648,000","79,994,000","113,731,000","189,703,000","109,285,000","64,972,000","85,218,000","343,201,000","318,003,000","351,210,000","375,981,000","324,609,000","217,625,000","337,320,000","408,561,000","288,675,000","703,182,000","1,929,531,000","1,665,730,000","1,526,033,000","1,416,904,000","1,005,161,000","1,108,967,000","736,261,000","548,591,000","587,132,000","854,417,000","774,740,000","1,969,621,000","1,808,092,000","1,517,951,000","1,260,909,000","1,210,586,000","1,045,882,000","1,123,530,000","1,176,875,000","1,241,376,000","1,404,411,000","802,415,000","858,607,000","784,086,000","724,762,000","1,066,613,000","996,666,000","648,612,000","790,399,000","391,691,000","390,176,000","276,540,000","86,084,000","73,724,000","70,914,000","67,505,000","907,324,000","143,681,000","79,426,000","117,514,000","163,696,000","312,865,000","467,766,000",,"810,725,000",
	LongTermEquityInvestment,"17,081,847,000","17,116,302,000","27,553,251,000","26,256,148,000","27,323,758,000","30,068,474,000","28,665,043,000","20,366,982,000","22,083,295,000","17,943,309,000","15,617,142,000","14,423,456,000","18,973,373,000","16,430,701,000","22,281,682,000","22,204,460,000","22,242,040,000","21,180,950,000","20,377,031,000","22,094,920,000","22,008,182,000","19,763,563,000","24,434,049,000","22,385,192,000","20,549,367,000","18,138,258,000","17,694,975,000","15,957,934,000","15,136,500,000","14,625,032,000","14,324,097,000","15,298,755,000","15,919,810,000","22,896,254,000","22,765,589,000","22,121,153,000","21,627,145,000","21,905,850,000","21,729,523,000","20,151,386,000","19,897,566,000","19,954,586,000","20,847,270,000","20,766,700,000","19,351,458,000","19,748,524,000","15,128,299,000","14,848,396,000","15,319,002,000","12,676,464,000","11,974,472,000","11,026,730,000","10,501,480,000","7,671,574,000","3,565,483,000","3,812,208,000","2,527,339,000","2,397,134,000","2,830,942,000","5,468,327,000","7,195,586,000","7,058,802,000","7,145,156,000","6,703,500,000","10,779,425,000",,"31,263,573,000",
	DerivativeAssets,"265,146,000","242,397,000","202,677,000","257,264,000","152,653,000","46,534,000","145,401,000","82,016,000","105,510,000","67,873,000","126,022,000","152,386,000","174,412,000","189,245,000","54,396,000","88,051,000","38,995,000","15,118,000","44,918,000","37,621,000","23,030,000","2,771,000","4,443,000","6,772,000","4,794,000","4,840,000","3,393,000","6,265,000","8,077,000","3,823,000","4,619,000","3,703,000","5,155,000","2,406,000","97,024,000","6,454,000","2,716,000","5,680,000","10,343,000","46,035,000","128,992,000","45,428,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	Receivables,"4,958,465,000","5,024,699,000","4,609,611,000","4,865,019,000","4,666,095,000","4,521,824,000","5,293,483,000","4,214,384,000","3,742,371,000","3,990,928,000","4,087,673,000","3,294,905,000","2,930,112,000","3,402,841,000","3,569,948,000","3,219,940,000","3,013,803,000","3,032,180,000","2,630,361,000","2,893,284,000","2,933,666,000","2,591,308,000","2,916,146,000","2,933,066,000","2,820,890,000","2,943,278,000","2,215,073,000","1,817,304,000","1,982,312,000","1,800,379,000","1,853,950,000","2,089,920,000","1,918,891,000","2,405,045,000","1,687,729,000","1,984,021,000","2,131,719,000","2,065,297,000","2,080,400,000","1,809,340,000","1,933,295,000","1,765,311,000","1,758,231,000","1,375,674,000","1,386,479,000","1,399,061,000","1,266,654,000","1,185,289,000","1,285,016,000","1,148,576,000","1,291,288,000","1,082,273,000","1,164,545,000","1,118,010,000","1,066,214,000","597,396,000","607,267,000","679,528,000","1,222,007,000","1,489,271,000","2,152,713,000","1,484,563,000","1,881,190,000","2,180,389,000","1,271,447,000",,"1,311,586,000",
		AccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"498,543,000","586,416,000","576,566,000","406,140,000","441,671,000","528,960,000","379,827,000","495,893,000","424,931,000","411,316,000","377,936,000","306,307,000","243,916,000","246,106,000","248,689,000","360,573,000","1,101,686,000","902,759,000","224,439,000","213,086,000","352,766,000","294,124,000",,"656,165,000",
		OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"753,229,000","740,074,000",,,,,"861,434,000","387,585,000",,"1,260,124,000","1,668,104,000","1,827,623,000","977,323,000",,"655,421,000",
