name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
TotalAssets,"26,284,000,000","26,411,000,000","26,086,000,000","25,350,000,000","23,662,000,000","24,193,000,000","26,172,000,000","25,788,000,000","25,738,000,000","24,868,000,000","25,093,000,000","25,728,000,000","24,176,000,000","22,001,000,000","22,406,000,000"
	CurrentAssets,"10,141,000,000","10,158,000,000","9,879,000,000","9,740,000,000","9,276,000,000","9,602,000,000","11,407,000,000","11,300,000,000","8,754,000,000","8,328,000,000","8,524,000,000","9,334,000,000","8,053,000,000","5,968,000,000","5,959,000,000"
		CashCashEquivalentsAndShortTermInvestments,"3,209,000,000","3,347,000,000","3,520,000,000","2,985,000,000","3,017,000,000","3,604,000,000","2,987,000,000","2,671,000,000","2,630,000,000","2,599,000,000","3,115,000,000","3,848,000,000","2,704,000,000","768,000,000","952,000,000"
			CashAndCashEquivalents,"3,209,000,000","3,347,000,000","3,520,000,000","2,985,000,000","3,017,000,000","3,604,000,000","2,987,000,000","2,671,000,000","2,630,000,000","2,599,000,000","3,115,000,000","3,848,000,000","2,704,000,000","768,000,000","952,000,000"
		Receivables,"3,790,000,000","3,600,000,000","3,370,000,000","3,669,000,000","3,535,000,000","3,254,000,000","2,906,000,000","3,171,000,000","3,823,000,000","3,525,000,000","3,437,000,000","3,625,000,000","3,426,000,000","3,325,000,000","3,348,000,000"
			AccountsReceivable,"3,212,000,000","3,032,000,000","2,833,000,000","3,003,000,000","2,823,000,000","2,599,000,000","2,403,000,000","2,669,000,000","3,128,000,000","2,831,000,000","2,567,000,000","2,578,000,000","2,665,000,000","2,377,000,000","2,444,000,000"
				GrossAccountsReceivable,,,"2,950,000,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,"-117,000,000",,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,"161,000,000","213,000,000","219,000,000","191,000,000","143,000,000"
			OtherReceivables,"578,000,000","568,000,000","537,000,000","666,000,000","712,000,000","655,000,000","503,000,000","502,000,000","695,000,000","694,000,000","798,000,000","922,000,000","761,000,000","820,000,000","806,000,000"
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,"-89,000,000","-88,000,000","-76,000,000","-63,000,000","-45,000,000"
		Inventory,"2,699,000,000","2,803,000,000","2,640,000,000","2,664,000,000","2,350,000,000","2,358,000,000","1,970,000,000","1,926,000,000","1,885,000,000","1,854,000,000","1,629,000,000","1,581,000,000","1,639,000,000","1,556,000,000","1,332,000,000"
			RawMaterials,"841,000,000","881,000,000","884,000,000","822,000,000","701,000,000","670,000,000","559,000,000","521,000,000","478,000,000","407,000,000","363,000,000","248,000,000","242,000,000","335,000,000","290,000,000"
			WorkInProcess,"291,000,000","292,000,000","230,000,000","217,000,000","243,000,000","260,000,000","197,000,000","203,000,000","190,000,000","171,000,000","143,000,000","148,000,000","157,000,000","147,000,000","120,000,000"
			FinishedGoods,"1,567,000,000","1,630,000,000","1,526,000,000","1,625,000,000","1,406,000,000","1,428,000,000","1,214,000,000","1,202,000,000","1,217,000,000","1,276,000,000","1,123,000,000","1,185,000,000","1,240,000,000","1,074,000,000","922,000,000"
		AssetsHeldForSaleCurrent,,,"0","0","0","0","3,168,000,000","3,148,000,000",,,,,,,
		OtherCurrentAssets,"443,000,000","408,000,000","349,000,000","422,000,000","374,000,000","386,000,000","376,000,000","384,000,000","416,000,000","350,000,000","343,000,000","280,000,000","284,000,000","319,000,000","327,000,000"
	TotalNonCurrentAssets,"16,143,000,000","16,253,000,000","16,207,000,000","15,610,000,000","14,386,000,000","14,591,000,000","14,765,000,000","14,488,000,000","16,984,000,000","16,540,000,000","16,569,000,000","16,394,000,000","16,123,000,000","16,033,000,000","16,447,000,000"
		NetPPE,"2,862,000,000","2,902,000,000","2,883,000,000","2,680,000,000","2,400,000,000","2,421,000,000","2,466,000,000","2,390,000,000","2,623,000,000","2,547,000,000","2,598,000,000","2,499,000,000","2,494,000,000","2,503,000,000","2,495,000,000"
			GrossPPE,"2,862,000,000","2,902,000,000","2,883,000,000","2,680,000,000","2,400,000,000","2,421,000,000","2,466,000,000","2,390,000,000","2,623,000,000","2,547,000,000","4,872,000,000","4,702,000,000","2,494,000,000","4,577,000,000","4,590,000,000"
				Properties,,,"0",,,,"0",,,,"0","0","0","0","0"
				LandAndImprovements,,,"126,000,000",,,,"114,000,000",,,,"109,000,000","112,000,000","109,000,000","106,000,000","113,000,000"
				BuildingsAndImprovements,,,"1,251,000,000",,,,"1,084,000,000",,,,"1,160,000,000","1,129,000,000","1,112,000,000","1,099,000,000","1,138,000,000"
				MachineryFurnitureEquipment,,,"2,409,000,000",,,,"2,093,000,000",,,,"2,138,000,000","2,047,000,000","1,970,000,000","1,924,000,000","1,924,000,000"
				OtherProperties,"2,862,000,000","2,902,000,000","2,883,000,000","2,680,000,000","2,400,000,000","2,421,000,000","2,466,000,000","2,390,000,000","2,623,000,000","2,547,000,000","1,465,000,000","1,414,000,000","2,494,000,000","1,448,000,000","1,415,000,000"
			AccumulatedDepreciation,,,"-2,282,000,000",,,,"-2,150,000,000",,,,"-2,274,000,000","-2,203,000,000","-2,134,000,000","-2,074,000,000","-2,095,000,000"
		GoodwillAndOtherIntangibleAssets,"11,108,000,000","11,274,000,000","11,319,000,000","10,930,000,000","9,525,000,000","9,776,000,000","9,858,000,000","9,718,000,000","11,350,000,000","11,079,000,000","11,176,000,000","10,930,000,000","10,759,000,000","10,662,000,000","10,967,000,000"
			Goodwill,"9,927,000,000","9,987,000,000","9,977,000,000","9,621,000,000","9,067,000,000","9,288,000,000","9,349,000,000","9,237,000,000","10,279,000,000","10,077,000,000","10,139,000,000","9,906,000,000","9,735,000,000","9,648,000,000","9,884,000,000"
			OtherIntangibleAssets,"1,181,000,000","1,287,000,000","1,342,000,000","1,309,000,000","458,000,000","488,000,000","509,000,000","481,000,000","1,071,000,000","1,002,000,000","1,037,000,000","1,024,000,000","1,024,000,000","1,014,000,000","1,083,000,000"
		InvestmentsAndAdvances,"1,139,000,000","1,103,000,000","1,148,000,000","1,151,000,000","1,671,000,000","1,638,000,000","1,593,000,000","1,619,000,000","1,572,000,000","1,530,000,000","1,513,000,000","1,696,000,000","1,697,000,000","1,664,000,000","1,739,000,000"
			LongTermEquityInvestment,"1,139,000,000","1,103,000,000","1,148,000,000","1,151,000,000","1,671,000,000","1,638,000,000","1,593,000,000","1,619,000,000","1,572,000,000","1,530,000,000","1,513,000,000","1,696,000,000","1,697,000,000","1,664,000,000","1,739,000,000"
		NonCurrentDeferredAssets,"690,000,000","639,000,000","612,000,000","619,000,000","566,000,000","517,000,000","563,000,000","456,000,000","461,000,000","461,000,000","449,000,000","439,000,000","419,000,000","454,000,000","500,000,000"
			NonCurrentDeferredTaxesAssets,"690,000,000","639,000,000","612,000,000","619,000,000","566,000,000","517,000,000","563,000,000","456,000,000","461,000,000","461,000,000","449,000,000","439,000,000","419,000,000","454,000,000","500,000,000"
		DefinedPensionBenefit,"32,000,000","29,000,000","26,000,000","23,000,000","31,000,000","37,000,000","43,000,000","25,000,000","635,000,000","607,000,000","554,000,000","574,000,000","521,000,000","473,000,000","490,000,000"
		OtherNonCurrentAssets,"312,000,000","306,000,000","219,000,000","207,000,000","193,000,000","202,000,000","242,000,000","280,000,000","343,000,000","316,000,000","279,000,000","256,000,000","233,000,000","277,000,000","256,000,000"
TotalLiabilitiesNetMinorityInterest,"17,996,000,000","17,943,000,000","18,010,000,000","17,887,000,000","16,670,000,000","16,763,000,000","19,078,000,000","18,566,000,000","18,618,000,000","18,050,000,000","18,515,000,000","20,291,000,000","19,810,000,000","18,975,000,000","7,971,000,000"
	CurrentLiabilities,"6,234,000,000","5,958,000,000","6,032,000,000","6,013,000,000","5,546,000,000","5,531,000,000","6,627,000,000","6,068,000,000","5,604,000,000","5,138,000,000","5,110,000,000","5,182,000,000","4,789,000,000","4,451,000,000","4,469,000,000"
		PayablesAndAccruedExpenses,"5,617,000,000","5,300,000,000","5,443,000,000","5,354,000,000","4,833,000,000","4,849,000,000","4,895,000,000","4,418,000,000","4,903,000,000","4,440,000,000","4,246,000,000","4,464,000,000","4,011,000,000","3,748,000,000","4,000,000,000"
			Payables,"2,956,000,000","2,926,000,000","2,833,000,000","2,817,000,000","2,403,000,000","2,519,000,000","2,334,000,000","2,158,000,000","2,362,000,000","2,175,000,000","2,170,000,000","2,019,000,000","1,765,000,000","1,776,000,000","2,019,000,000"
				AccountsPayable,"2,956,000,000","2,926,000,000","2,833,000,000","2,817,000,000","2,403,000,000","2,519,000,000","2,334,000,000","2,158,000,000","2,362,000,000","2,175,000,000","1,936,000,000","2,019,000,000","1,765,000,000","1,776,000,000","1,701,000,000"
				TotalTaxPayable,,,,,,,,,,,"234,000,000",,,,"318,000,000"
			CurrentAccruedExpenses,"2,661,000,000","2,374,000,000","2,610,000,000","2,537,000,000","2,430,000,000","2,330,000,000","2,561,000,000","2,260,000,000","2,541,000,000","2,265,000,000","2,076,000,000","2,445,000,000","2,246,000,000","1,972,000,000","1,981,000,000"
				InterestPayable,,,,,,,,,,,"127,000,000",,,,
		CurrentDebtAndCapitalLeaseObligation,"134,000,000","142,000,000","140,000,000","219,000,000","269,000,000","256,000,000","183,000,000","130,000,000","125,000,000","153,000,000","352,000,000","223,000,000","301,000,000","218,000,000",
			CurrentDebt,"134,000,000","142,000,000","140,000,000","219,000,000","269,000,000","256,000,000","183,000,000","130,000,000","125,000,000","153,000,000","191,000,000","223,000,000","301,000,000","218,000,000",
				OtherCurrentBorrowings,,,,,,,,,,,"191,000,000",,,,
			CurrentCapitalLeaseObligation,,,,,,,,,,,"161,000,000",,,,
		CurrentDeferredLiabilities,"483,000,000","516,000,000","449,000,000","440,000,000","444,000,000","426,000,000","415,000,000","418,000,000","576,000,000","545,000,000","512,000,000","495,000,000","477,000,000","485,000,000","469,000,000"
			CurrentDeferredRevenue,"483,000,000","516,000,000","449,000,000","440,000,000","444,000,000","426,000,000","415,000,000","418,000,000","576,000,000","545,000,000","512,000,000","495,000,000","477,000,000","485,000,000","469,000,000"
		OtherCurrentLiabilities,,,,,,,"1,134,000,000","1,102,000,000",,,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"11,762,000,000","11,985,000,000","11,978,000,000","11,874,000,000","11,124,000,000","11,232,000,000","12,451,000,000","12,498,000,000","13,014,000,000","12,912,000,000","13,405,000,000","15,109,000,000","15,021,000,000","14,524,000,000","3,502,000,000"
		LongTermProvisions,,,,,,,,,,,"602,000,000",,,,"277,000,000"
		LongTermDebtAndCapitalLeaseObligation,"9,140,000,000","9,214,000,000","9,231,000,000","9,184,000,000","8,788,000,000","8,796,000,000","10,040,000,000","10,073,000,000","10,235,000,000","10,198,000,000","10,678,000,000","12,427,000,000","12,416,000,000","11,737,000,000","682,000,000"
			LongTermDebt,"8,655,000,000","8,708,000,000","8,702,000,000","8,670,000,000","8,298,000,000","8,305,000,000","9,513,000,000","9,558,000,000","9,600,000,000","9,577,000,000","10,036,000,000","11,751,000,000","11,728,000,000","11,029,000,000",
			LongTermCapitalLeaseObligation,"485,000,000","506,000,000","529,000,000","514,000,000","490,000,000","491,000,000","527,000,000","515,000,000","635,000,000","621,000,000","642,000,000","676,000,000","688,000,000","708,000,000","682,000,000"
		NonCurrentDeferredLiabilities,"560,000,000","581,000,000","568,000,000","522,000,000","335,000,000","366,000,000","354,000,000","331,000,000","556,000,000","477,000,000","479,000,000","471,000,000","445,000,000","1,161,000,000","1,099,000,000"
			NonCurrentDeferredTaxesLiabilities,"560,000,000","581,000,000","568,000,000","522,000,000","335,000,000","366,000,000","354,000,000","331,000,000","556,000,000","477,000,000","479,000,000","471,000,000","445,000,000","1,161,000,000","1,099,000,000"
		TradeandOtherPayablesNonCurrent,,,,,,,,,,,"459,000,000",,,,
		EmployeeBenefits,"350,000,000","354,000,000","349,000,000","431,000,000","366,000,000","376,000,000","380,000,000","416,000,000","511,000,000","507,000,000","524,000,000","473,000,000","462,000,000","456,000,000","456,000,000"
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"350,000,000","354,000,000","349,000,000","431,000,000","366,000,000","376,000,000","380,000,000","416,000,000","511,000,000","507,000,000","524,000,000","473,000,000","462,000,000","456,000,000","456,000,000"
		OtherNonCurrentLiabilities,"1,712,000,000","1,836,000,000","1,830,000,000","1,737,000,000","1,635,000,000","1,694,000,000","1,677,000,000","1,678,000,000","1,712,000,000","1,730,000,000","663,000,000","1,738,000,000","1,698,000,000","1,170,000,000","988,000,000"
