name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"150,054,000,000","147,976,000,000","143,932,000,000","144,209,000,000","152,630,000,000","152,610,000,000","154,889,000,000","154,251,000,000","154,207,000,000","152,081,000,000","155,451,000,000","160,044,000,000","159,628,000,000","154,711,000,000","155,774,000,000","154,847,000,000","154,401,000,000","154,348,000,000","153,226,000,000","82,956,000,000","63,102,000,000","63,141,000,000","61,753,000,000","61,936,000,000","61,738,000,000","61,147,000,000","59,360,000,000","60,762,000,000","59,506,000,000","58,884,000,000","57,088,000,000","56,909,000,000","57,132,000,000","58,122,000,000","55,896,000,000","55,653,000,000","55,929,000,000","55,173,000,000","54,336,000,000","54,043,000,000","53,829,000,000","54,939,000,000","53,734,000,000","53,531,000,000","53,553,000,000","52,785,000,000","51,047,000,000","47,804,000,000","47,033,000,000","46,517,000,000","45,682,000,000","44,432,000,000","43,864,000,000","43,013,000,000","42,653,000,000","41,649,000,000","41,234,000,000","41,406,000,000","40,776,000,000","41,415,000,000","40,988,000,000","40,065,000,000","39,800,000,000","41,526,000,000","42,378,000,000","42,399,000,000","42,189,000,000","42,276,000,000","44,028,000,000","44,863,000,000","45,897,000,000","47,866,000,000","50,877,000,000","81,059,000,000","88,818,000,000","92,013,000,000","92,792,000,000","90,953,000,000","90,173,000,000","91,338,000,000","88,984,000,000","88,950,000,000","89,614,000,000","89,242,000,000","92,286,000,000","91,589,000,000","88,671,000,000","91,494,000,000","88,321,000,000","95,088,000,000","96,725,000,000","96,527,000,000","96,997,000,000","95,333,000,000","92,773,000,000","93,446,000,000","112,453,000,000","114,612,000,000","109,296,000,000","110,927,000,000","111,219,000,000","108,199,000,000","106,428,000,000","103,662,000,000","98,752,000,000","98,932,000,000","97,347,000,000","95,899,000,000","95,417,000,000","95,903,000,000","93,749,000,000","91,734,000,000","88,847,000,000","86,102,000,000","86,004,000,000","84,322,000,000","84,887,000,000","84,975,000,000","82,162,000,000","80,139,000,000","78,225,000,000","69,827,000,000","68,304,000,000","67,533,000,000","67,053,000,000","66,737,000,000","64,790,000,000","65,626,000,000","65,529,000,000","63,691,000,000","61,908,000,000","60,724,000,000","60,174,000,000","57,779,000,000","56,273,700,000","55,824,500,000","53,495,200,000","50,015,800,000","44,736,200,000"
	TotalInvestments,"19,839,000,000","19,924,000,000","17,193,000,000","17,056,000,000","17,478,000,000","18,424,000,000","19,358,000,000","25,130,000,000","24,927,000,000","24,298,000,000","24,593,000,000","23,276,000,000","22,528,000,000","21,581,000,000","22,479,000,000","30,275,000,000","29,845,000,000","28,919,000,000","28,974,000,000","28,976,000,000","29,339,000,000","29,864,000,000","28,619,000,000","28,245,000,000","27,932,000,000","27,259,000,000","26,815,000,000","27,101,000,000","25,863,000,000","25,447,000,000","24,713,000,000","23,899,000,000","23,819,000,000","24,408,000,000","24,342,000,000","24,061,000,000","23,752,000,000","23,105,000,000","22,365,000,000","21,795,000,000","21,631,000,000","22,499,000,000","23,660,000,000","23,956,000,000","23,434,000,000","23,343,000,000","22,577,000,000","22,713,000,000","21,881,000,000","21,362,000,000","21,060,000,000","20,979,000,000","20,226,000,000","19,963,000,000","19,770,000,000","18,680,000,000","17,828,000,000","18,040,000,000","64,000,000","39,000,000","17,549,000,000","17,481,000,000","17,645,000,000","17,774,000,000","18,313,000,000","18,186,000,000","18,496,000,000","18,455,000,000","20,592,000,000","21,296,000,000","21,936,000,000","22,493,000,000","21,591,000,000","21,841,000,000","22,474,000,000","22,525,000,000","39,113,000,000","39,658,000,000","40,255,000,000","41,226,000,000","40,209,000,000","40,362,000,000","38,284,000,000","37,572,000,000","37,856,000,000","37,829,000,000","38,368,000,000","36,872,000,000","36,598,000,000","39,808,000,000","39,428,000,000","38,966,000,000","37,698,000,000","37,506,000,000","37,076,000,000","37,451,000,000","47,770,000,000","49,974,000,000","51,157,000,000","51,407,000,000","51,617,000,000","55,809,000,000","56,773,000,000","55,693,000,000","55,969,000,000","56,534,000,000","55,383,000,000","55,481,000,000","53,858,000,000","57,710,000,000","55,552,000,000","51,477,000,000","49,110,000,000","40,949,000,000","50,054,000,000","49,718,000,000","49,686,000,000","50,728,000,000","47,692,000,000","47,048,000,000","46,017,000,000","45,082,000,000","44,948,000,000","44,387,000,000","43,678,000,000","42,597,000,000","41,869,000,000","41,786,000,000","41,161,000,000","40,092,000,000","38,666,000,000","38,048,000,000","37,431,000,000","36,967,000,000","36,587,300,000",,,,
		FixedMaturityInvestments,,,,,,,,,,,,,,,,,,,,,,,,"22,944,000,000",,,,,,,,,,,,,,,"16,486,000,000",,,,,,,,,,,,,,,,"13,488,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		EquityInvestments,,,,,,,,,,,,,,,,,,,,"23,847,000,000","24,153,000,000","24,745,000,000","23,726,000,000","23,585,000,000","23,148,000,000","22,308,000,000","21,544,000,000","21,432,000,000","20,719,000,000","20,281,000,000","19,645,000,000","18,931,000,000","18,758,000,000","19,323,000,000","19,172,000,000","18,987,000,000","18,452,000,000","17,777,000,000","16,627,000,000","15,785,000,000","15,889,000,000","16,731,000,000","17,816,000,000","17,977,000,000","17,429,000,000","17,156,000,000","16,317,000,000","16,406,000,000","15,654,000,000","15,173,000,000","14,836,000,000","14,861,000,000","14,099,000,000","13,556,000,000","13,592,000,000","12,588,000,000","11,830,000,000","11,893,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetLoan,,,,,,,,,,,,,,,,,,,,"3,288,000,000","3,288,000,000","3,205,000,000","3,176,000,000","3,077,000,000","3,183,000,000","3,183,000,000","3,118,000,000","3,264,000,000","3,256,000,000","3,267,000,000","3,283,000,000","3,446,000,000","3,493,000,000","3,440,000,000","3,519,000,000","3,494,000,000","3,670,000,000","3,585,000,000","3,737,000,000","3,898,000,000","4,092,000,000","4,315,000,000","4,352,000,000","4,465,000,000","4,516,000,000","4,747,000,000","4,803,000,000","4,909,000,000","4,930,000,000","4,985,000,000","5,067,000,000","4,967,000,000","5,022,000,000","5,071,000,000","5,137,000,000","5,148,000,000","5,156,000,000","5,173,000,000",,,"4,795,000,000","4,727,000,000","4,741,000,000","5,107,000,000","5,387,000,000","5,393,000,000","5,514,000,000","5,365,000,000","5,547,000,000","5,271,000,000","5,260,000,000","5,250,000,000","4,956,000,000","5,123,000,000","5,216,000,000","5,292,000,000","10,118,000,000","10,227,000,000","10,297,000,000","10,989,000,000","10,914,000,000","11,134,000,000","11,523,000,000","12,107,000,000","12,343,000,000","12,694,000,000","12,540,000,000","12,275,000,000","12,546,000,000","12,755,000,000","12,763,000,000","12,842,000,000","12,862,000,000","12,816,000,000","13,169,000,000","13,789,000,000","14,280,000,000","15,784,000,000","16,103,000,000","16,082,000,000","15,985,000,000","18,112,000,000","18,065,000,000","18,228,000,000","18,290,000,000","18,223,000,000","18,577,000,000","18,488,000,000","18,408,000,000","18,117,000,000","16,742,000,000","16,263,000,000","15,688,000,000","5,355,000,000","14,272,000,000","14,050,000,000","13,829,000,000","13,684,000,000","13,107,000,000","13,250,000,000",,"12,975,000,000","12,957,000,000","12,994,000,000","12,942,000,000","13,024,000,000","12,826,000,000","12,933,000,000","12,768,000,000","12,544,000,000","12,125,000,000","11,741,000,000","11,554,000,000","11,387,000,000","11,158,600,000",,,,
			MortgageAndConsumerloans,,,,,,,,,,,,,,,,,,,,"1,867,000,000","1,866,000,000","1,801,000,000","1,761,000,000","1,684,000,000","1,741,000,000","1,752,000,000","1,666,000,000","1,822,000,000","1,814,000,000","1,848,000,000","1,864,000,000","2,015,000,000","2,054,000,000","2,010,000,000","2,081,000,000","2,058,000,000","2,217,000,000","2,125,000,000","2,252,000,000","2,404,000,000","2,570,000,000","2,811,000,000","2,851,000,000","2,946,000,000","2,995,000,000","3,259,000,000","3,301,000,000","3,299,000,000","3,315,000,000","3,402,000,000","3,486,000,000","3,409,000,000","3,493,000,000","3,522,000,000","3,607,000,000","3,578,000,000","3,618,000,000","3,617,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PolicyLoans,,,,,,,,,,,,,,,,,,,,"1,421,000,000","1,422,000,000","1,404,000,000","1,415,000,000","1,393,000,000","1,442,000,000","1,431,000,000","1,452,000,000","1,442,000,000","1,442,000,000","1,419,000,000","1,419,000,000","1,431,000,000","1,439,000,000","1,430,000,000","1,438,000,000","1,436,000,000","1,453,000,000","1,460,000,000","1,485,000,000","1,494,000,000","1,522,000,000","1,504,000,000","1,501,000,000","1,519,000,000","1,521,000,000","1,488,000,000","1,502,000,000","1,610,000,000","1,615,000,000","1,583,000,000","1,581,000,000","1,558,000,000","1,529,000,000","1,549,000,000","1,530,000,000","1,570,000,000","1,538,000,000","1,556,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherShortTermInvestments,"872,000,000","914,000,000","905,000,000","783,000,000","754,000,000","731,000,000","920,000,000","1,374,000,000","1,305,000,000","1,477,000,000","1,331,000,000","1,324,000,000","1,190,000,000","973,000,000","937,000,000","1,371,000,000","1,665,000,000","1,662,000,000","2,045,000,000","102,000,000","220,000,000","245,000,000","199,000,000","175,000,000","138,000,000","303,000,000","691,000,000","997,000,000","469,000,000","465,000,000","381,000,000","94,000,000","97,000,000","172,000,000","163,000,000","153,000,000","232,000,000","394,000,000","631,000,000","763,000,000","296,000,000","122,000,000","154,000,000","151,000,000","215,000,000","187,000,000","225,000,000","290,000,000","204,000,000","149,000,000","174,000,000","153,000,000","188,000,000","493,000,000","201,000,000","105,000,000","103,000,000","236,000,000","64,000,000","39,000,000","12,754,000,000","12,754,000,000","12,904,000,000","12,667,000,000","12,926,000,000","12,793,000,000","12,982,000,000","13,090,000,000","15,045,000,000","16,025,000,000","16,676,000,000","17,243,000,000","16,635,000,000","16,718,000,000","17,258,000,000","17,233,000,000","28,995,000,000","29,431,000,000","29,958,000,000","30,237,000,000","29,295,000,000","29,228,000,000","26,761,000,000","25,465,000,000","25,513,000,000","25,135,000,000","25,828,000,000","24,597,000,000","24,052,000,000","27,053,000,000","26,665,000,000","26,124,000,000","24,836,000,000","24,690,000,000","23,907,000,000","23,662,000,000","33,490,000,000","34,190,000,000","35,054,000,000","35,325,000,000","35,632,000,000","37,697,000,000","38,708,000,000","37,465,000,000","37,679,000,000","38,311,000,000","36,806,000,000","36,993,000,000","35,450,000,000","39,593,000,000","38,810,000,000","35,214,000,000","33,422,000,000","35,594,000,000","35,782,000,000","35,668,000,000","35,857,000,000","37,044,000,000","34,585,000,000","33,798,000,000","46,017,000,000","32,107,000,000","31,991,000,000","31,393,000,000","30,736,000,000","29,573,000,000","29,043,000,000","28,853,000,000","28,393,000,000","27,548,000,000","26,541,000,000","26,307,000,000","25,877,000,000","25,580,000,000","25,428,700,000",,,,
		OtherInvestedAssets,"18,967,000,000","19,010,000,000","16,288,000,000","16,273,000,000","16,724,000,000","17,693,000,000","18,438,000,000","23,756,000,000","23,622,000,000","22,821,000,000","23,262,000,000","21,952,000,000","21,338,000,000","20,608,000,000","21,542,000,000","28,904,000,000","28,180,000,000","27,257,000,000","26,929,000,000","1,739,000,000","1,678,000,000","1,669,000,000","1,518,000,000","1,408,000,000","1,463,000,000","1,465,000,000","1,462,000,000","1,408,000,000","1,419,000,000","1,434,000,000","1,404,000,000","1,428,000,000","1,471,000,000","1,473,000,000","1,488,000,000","1,427,000,000","1,398,000,000","1,349,000,000","1,370,000,000","1,349,000,000","1,354,000,000","1,331,000,000","1,338,000,000","1,363,000,000","1,274,000,000","1,253,000,000","1,232,000,000","1,108,000,000","1,093,000,000","1,055,000,000","983,000,000","998,000,000","917,000,000","843,000,000","840,000,000","839,000,000","739,000,000","738,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	CashAndCashEquivalents,"9,585,000,000","7,935,000,000","5,924,000,000","7,079,000,000","4,421,000,000","4,424,000,000","5,081,000,000","3,483,000,000","3,821,000,000","6,505,000,000","10,182,000,000","5,344,000,000","7,185,000,000","4,452,000,000","4,619,000,000","4,577,000,000","3,610,000,000","4,976,000,000","3,855,000,000","24,032,000,000","3,634,000,000","2,771,000,000","2,972,000,000","3,656,000,000","3,611,000,000","4,155,000,000","3,185,000,000","3,224,000,000","2,454,000,000","2,401,000,000","1,968,000,000","2,381,000,000","1,969,000,000","2,620,000,000","1,420,000,000","1,621,000,000","1,967,000,000","2,276,000,000","2,795,000,000","3,055,000,000","3,209,000,000","3,306,000,000","2,978,000,000","2,236,000,000","3,045,000,000","2,111,000,000","4,690,000,000","1,902,000,000","1,774,000,000","1,656,000,000","1,605,000,000","1,449,000,000","1,299,000,000","924,000,000","836,000,000","1,022,000,000","1,375,000,000","1,342,000,000","1,078,000,000","805,000,000","2,850,000,000","1,970,000,000","1,421,000,000","1,104,000,000","1,589,000,000","1,392,000,000","1,208,000,000","1,388,000,000","1,904,000,000","1,709,000,000","1,251,000,000","1,879,000,000","2,400,000,000","2,519,000,000","2,925,000,000","3,033,000,000","1,491,000,000","1,392,000,000","1,961,000,000","1,775,000,000","2,061,000,000","1,575,000,000","2,477,000,000","1,288,000,000","1,625,000,000","1,933,000,000","1,585,000,000","1,674,000,000","2,052,000,000","2,206,000,000","2,017,000,000","2,219,000,000","2,510,000,000","2,232,000,000",,,,"3,028,000,000",,,,"2,625,000,000",,,,"1,287,000,000",,,,"1,559,000,000",,,,"1,693,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
