name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
OperatingCashFlow,"983,151,000","434,090,000","374,483,000","40,473,000","134,105,000","101,097,000","217,138,000","225,236,000","272,579,000","263,366,000","254,675,000","186,924,000","215,127,000","138,216,000","194,847,000","327,161,000","269,397,000","196,379,000","170,097,000","295,819,000","-118,825,000","130,584,000","195,541,000","183,664,000","205,868,000","79,233,000","162,862,000","52,755,000","-47,344,000","54,913,000","71,116,000","116,511,000","10,649,000","52,606,000","20,767,000","15,812,000","34,758,000","46,257,000","17,689,000","-5,967,000","31,867,000","7,061,000","1,687,000"
	CashFlowFromContinuingOperatingActivities,"983,151,000","434,090,000","374,483,000","40,473,000","134,105,000","101,097,000","217,138,000","225,236,000","272,579,000","263,366,000","254,675,000","186,924,000","215,127,000","138,216,000","194,847,000","327,161,000","269,397,000","196,379,000","170,097,000","295,819,000","-118,825,000","130,584,000","195,541,000","183,664,000","205,868,000","79,233,000","162,862,000","52,755,000","-47,344,000","54,913,000","71,116,000","116,511,000","10,649,000","52,606,000","20,767,000","15,812,000","34,758,000","46,257,000","17,689,000","-5,967,000","31,867,000","7,061,000","1,687,000"
		NetIncomeFromContinuingOperations,"1,709,446,000","491,885,000","436,473,000","427,089,000","353,999,000","299,099,000","272,259,000","239,295,000","224,305,000","196,888,000","180,366,000","182,958,000","168,375,000","144,793,000","138,431,000","260,692,000","208,895,000","189,251,000","201,029,000","170,322,000","-137,453,000","150,708,000","144,538,000","103,833,000","133,722,000","102,685,000","82,961,000","58,783,000","51,257,000","38,904,000","35,245,000","43,924,000","28,690,000","23,996,000","24,492,000","31,037,000","21,866,000","21,618,000","12,329,000","13,742,000","11,856,000","10,251,000","6,611,000"
		OperatingGainsLosses,,,,,,,,,,,,"-4,164,000",,,,,"-4,277,000","0","-1,150,000",,,,,,,,,,,,,,,,,"0","0",,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,"0",,,,,"-4,277,000","0","-1,150,000",,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,"0","0","0",,"-4,277,000","0","-1,150,000",,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"73,915,000","18,322,000","20,905,000","17,531,000","17,157,000","14,921,000","13,091,000","12,470,000","12,629,000","12,577,000","12,658,000","12,615,000","10,805,000","10,962,000","10,208,000","7,901,000","8,191,000","8,395,000","8,362,000","9,231,000","7,112,000","5,631,000","5,697,000","5,285,000","5,322,000","5,094,000","4,939,000","4,942,000","5,145,000","4,883,000","4,779,000","3,947,000","3,478,000","3,353,000","2,893,000","2,655,000","2,653,000","2,428,000","2,285,000","2,539,000","1,021,000","767,000","717,000"
			DepreciationAndAmortization,"73,915,000","18,322,000","20,905,000","17,531,000","17,157,000","14,921,000","13,091,000","12,470,000","12,629,000","12,577,000","12,658,000","12,615,000","10,805,000","10,962,000","10,208,000","7,901,000","8,191,000","8,395,000","8,362,000","9,231,000","7,112,000","5,631,000","5,697,000","5,285,000","5,322,000","5,094,000","4,939,000","4,942,000","5,145,000","4,883,000","4,779,000","3,947,000","3,478,000","3,353,000","2,893,000","2,655,000","2,653,000","2,428,000","2,285,000","2,539,000","1,021,000","767,000","717,000"
				Depreciation,"73,915,000","18,322,000","20,905,000","17,531,000","17,157,000","14,921,000","13,091,000","12,470,000","12,629,000","12,577,000","12,658,000","12,615,000","10,805,000","10,962,000","10,208,000","7,901,000","8,191,000","8,395,000","8,362,000","9,231,000","7,112,000","5,631,000","5,697,000","5,285,000","5,322,000","5,094,000","4,939,000","4,942,000","5,145,000","4,883,000","4,779,000","3,947,000","3,478,000","3,353,000","2,893,000","2,655,000","2,653,000","2,428,000","2,285,000","2,539,000","1,021,000","767,000","717,000"
		DeferredTax,"-268,732,000","-59,134,000","-71,153,000","-96,027,000","-42,418,000","-24,115,000","-81,822,000","-98,717,000","2,425,000","-4,423,000","1,425,000","-12,405,000","593,000","2,211,000","457,000","-86,686,000","3,031,000","8,632,000","-718,000","-8,281,000","-45,334,000","-740,000","-3,541,000","31,169,000","-14,228,000","-11,036,000","2,521,000","-8,000,000","-6,844,000","-5,279,000","-1,597,000","-8,926,000","-13,217,000","-3,936,000","1,670,000","-5,992,000","-1,485,000","-1,407,000","2,110,000","-5,866,000","-875,000","-1,430,000","-660,000"
			DeferredIncomeTax,"-268,732,000","-59,134,000","-71,153,000","-96,027,000","-42,418,000","-24,115,000","-81,822,000","-98,717,000","2,425,000","-4,423,000","1,425,000","-12,405,000","593,000","2,211,000","457,000","-86,686,000","3,031,000","8,632,000","-718,000","-8,281,000","-45,334,000","-740,000","-3,541,000","31,169,000","-14,228,000","-11,036,000","2,521,000","-8,000,000","-6,844,000","-5,279,000","-1,597,000","-8,926,000","-13,217,000","-3,936,000","1,670,000","-5,992,000","-1,485,000","-1,407,000","2,110,000","-5,866,000","-875,000","-1,430,000","-660,000"
		AmortizationOfSecurities,"-10,688,000","-7,778,000","-4,220,000","-1,400,000","2,710,000","4,424,000","7,033,000","7,654,000","7,072,000","6,675,000","5,446,000","4,351,000","3,092,000","1,896,000","1,042,000","-739,000","-1,772,000","-2,191,000","-2,069,000","-1,497,000","-1,080,000","-753,000","-30,000","346,000","353,000","423,000","330,000","499,000","609,000","385,000","0","139,000","449,000",,,,,,,,,,
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","0",,,,"0",,
		ProvisionandWriteOffofAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"169,000","280,000","201,000","267,000","219,000","331,000","43,000","45,000","-167,000","-113,000","426,000"
		UnrealizedGainLossOnInvestmentSecurities,"-23,238,000","-24,743,000","5,571,000","-3,358,000","-708,000","5,084,000","-28,497,000",,,,,,,,,,,,,"4,700,000","0",,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"260,439,000","67,127,000","62,881,000","64,954,000","65,477,000","50,224,000","50,279,000","51,243,000","53,135,000","44,944,000","37,553,000","40,095,000","36,469,000","32,922,000","27,556,000","26,435,000","26,257,000","24,297,000","24,291,000","24,619,000","23,254,000","22,478,000","20,851,000","20,436,000","20,152,000","18,400,000","16,439,000","16,324,000","15,116,000","14,232,000","13,360,000","12,978,000","12,278,000","11,208,000","8,839,000","8,050,000","8,082,000","6,705,000","4,782,000","3,760,000","2,584,000","2,073,000","1,742,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-12,812,000","-14,076,000","-9,955,000","-6,012,000","-4,870,000","-9,406,000","-12,406,000","-10,569,000","-16,595,000","-382,000","-148,000","-311,000","-542,000","-127,000","-187,000","-26,000"
		OtherNonCashItems,"18,641,000","4,521,000","4,633,000","4,811,000","4,676,000","4,629,000","4,532,000","4,374,000","4,328,000","4,167,000","4,243,000","4,364,000","4,383,000","4,150,000","4,073,000","4,172,000","4,052,000",,,,,,,,,,,,,,,,,,"487,000","348,000","0","-3,765,000","292,000","286,000","279,000","279,000","274,000"
		ChangeInWorkingCapital,"-776,632,000","-56,110,000","-80,607,000","-373,127,000","-266,788,000","-253,169,000","-19,737,000","8,917,000","-31,315,000","2,538,000","12,984,000","-40,890,000","842,000","-58,718,000","13,080,000","115,386,000","25,020,000","-39,960,000","-59,648,000","96,725,000","34,676,000","-55,840,000","28,026,000","22,595,000","60,547,000","-36,333,000","55,672,000","-6,981,000","-98,551,000","11,743,000","25,341,000","69,969,000","-11,792,000","29,715,000","-7,246,000","-3,958,000","3,805,000","19,815,000","-3,841,000","-19,931,000","17,296,000","-4,579,000","-7,397,000"
			ChangeInReceivables,"-193,826,000","83,149,000","60,221,000","-271,584,000","-65,612,000","67,526,000","-131,861,000","-120,919,000","-31,376,000","16,252,000","9,074,000","-87,598,000","83,008,000","-31,066,000","46,329,000","55,265,000","-104,172,000","-71,834,000","60,531,000","-9,724,000","-54,621,000","-53,578,000","40,007,000","-34,735,000","57,013,000","-60,562,000","44,057,000","-42,876,000","-63,584,000","-11,540,000","9,144,000","16,617,000","-38,057,000","-9,565,000","-16,276,000","-13,187,000","-16,335,000","-5,272,000","14,950,000","-12,677,000","11,933,000","-14,127,000","-13,418,000"
				ChangesInAccountReceivables,"-193,826,000","83,149,000","60,221,000","-271,584,000","-65,612,000","67,526,000","-131,861,000","-120,919,000","-31,376,000","16,252,000","9,074,000","-87,598,000","83,008,000","-31,066,000","46,329,000","55,265,000","-104,172,000","-71,834,000","60,531,000","-9,724,000","-54,621,000","-53,578,000","40,007,000","-34,735,000","57,013,000","-60,562,000","44,057,000","-42,876,000","-63,584,000","-11,540,000","9,144,000","16,617,000","-38,057,000","-9,565,000","-16,276,000","-13,187,000","-16,335,000","-5,272,000","14,950,000","-12,677,000","11,933,000","-14,127,000","-13,418,000"
			ChangeInInventory,"-1,011,524,000","-181,631,000","-392,997,000","-189,156,000","-247,740,000","-158,521,000","-43,531,000","-74,452,000","-32,466,000","-60,031,000","-3,500,000","-41,322,000","-111,105,000","-65,200,000","-17,691,000","-4,024,000","74,571,000","32,976,000","-82,596,000","-47,230,000","37,525,000","22,692,000","38,067,000","26,959,000","30,646,000","-77,017,000","-50,296,000","-74,363,000","-43,997,000","-34,100,000","8,099,000","17,792,000","-9,618,000","-11,591,000","-10,706,000","-17,932,000","2,216,000","7,910,000","-5,619,000","-18,674,000","-17,854,000","-8,510,000","-4,141,000"
			ChangeInPrepaidAssets,,,"-82,278,000","-16,170,000","89,153,000","-50,150,000","-107,999,000","-63,514,000","-26,944,000","-29,084,000","-15,272,000","-24,808,000","11,839,000","1,064,000","25,751,000","-5,129,000","10,524,000","18,200,000","30,664,000","71,918,000","-63,112,000","-1,117,000","13,722,000","9,328,000","1,266,000","6,812,000","-29,051,000","-17,024,000","-95,212,000","-11,716,000","8,878,000","11,525,000","1,395,000","-23,360,000","2,613,000","-23,861,000","-2,538,000","-74,000","-6,143,000","7,046,000","-2,574,000","-230,000","-1,566,000"
			ChangeInPayablesAndAccruedExpense,"459,720,000","122,004,000","261,419,000","12,804,000","63,493,000","-14,053,000","79,804,000","129,752,000","4,916,000","50,122,000","-28,362,000","12,369,000","31,914,000","50,265,000","-41,854,000","16,774,000","23,038,000","17,505,000","-19,365,000","19,530,000","41,812,000","-12,281,000","-24,622,000","67,831,000","-35,177,000","31,566,000","-30,868,000","33,259,000","47,540,000","55,347,000","-24,189,000","18,737,000","5,966,000","42,059,000","-5,309,000","23,424,000","8,047,000","9,115,000","-4,288,000","-7,581,000","17,456,000","9,089,000","5,010,000"
				ChangeInPayable,"306,506,000","110,241,000","202,764,000","-39,092,000","32,593,000","-27,509,000","109,470,000","77,544,000","-6,375,000","9,338,000","-7,603,000","-20,170,000","21,843,000","50,697,000","-2,404,000","6,139,000","7,831,000","7,967,000","-351,000","-1,601,000","30,576,000","-13,268,000","23,518,000","28,471,000","-45,333,000","22,404,000","-15,725,000","18,543,000","26,431,000","45,675,000","-9,321,000","16,441,000","-9,054,000","26,619,000","7,049,000","12,283,000","940,000","10,956,000","-5,795,000","-10,943,000","13,777,000","3,237,000","-65,000"
