name,ttm,07/31/2023,04/30/2023,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990
OperatingCashFlow,"1,140,000,000","33,000,000","44,000,000","1,077,000,000","-14,000,000","15,000,000","66,000,000","1,045,000,000","-126,000,000","324,000,000","249,000,000","1,333,000,000","420,000,000","628,000,000","-342,000,000","1,326,000,000","-252,000,000","235,000,000","-73,000,000","1,364,000,000","-199,000,000","291,000,000","-79,000,000","1,268,000,000","-83,000,000","214,000,000","7,000,000","1,574,000,000","-105,000,000","535,000,000","-114,000,000","1,607,000,000","-113,000,000","531,000,000","-156,000,000","1,416,000,000","-76,000,000","535,000,000","-89,000,000","1,279,000,000","-385,000,000","474,000,000","-120,000,000","1,276,000,000","-130,000,000","388,000,000","-183,000,000","1,172,000,000","-129,000,000","241,000,000","-18,000,000","1,203,000,000","-103,000,000","244,000,000","-60,000,000","1,044,000,000","-114,000,000","362,000,000","-118,000,000","951,000,000","-244,000,000","359,000,000","-112,000,000","1,189,000,000","-388,000,000","300,000,000","-336,000,000","1,207,000,000","-448,000,000","129,033,000","-288,033,000","1,314,282,000","-330,802,000","310,755,000","-213,235,000","1,133,750,000","-355,177,000","324,998,000","-170,571,000","1,213,677,000","-238,888,000","191,211,000","-104,000,000","959,181,000","-267,154,000","167,973,000","-65,000,000","1,116,501,000","-162,263,000","157,057,000","-142,295,000","970,814,000","-186,137,000","135,729,000","-151,311,000","886,126,000","-322,900,000","240,200,000","-217,100,000","830,000,000","-167,100,000","22,000,000","-113,900,000","865,800,000","-136,900,000","69,500,000","-208,400,000","790,300,000","-46,500,000","52,800,000","-84,500,000","579,700,000","-218,200,000","114,500,000","-119,300,000","496,400,000","-116,700,000","46,800,000","-65,400,000","323,300,000","100,200,000","57,600,000","-33,000,000","622,800,000","21,400,000","58,300,000","51,600,000","374,100,000","9,400,000","55,200,000","36,900,000","346,900,000","-27,800,000","52,800,000","52,600,000","247,500,000"
	CashFlowFromContinuingOperatingActivities,"1,140,000,000","33,000,000","44,000,000","1,077,000,000","-14,000,000","15,000,000","66,000,000","1,045,000,000","-126,000,000","324,000,000","249,000,000","1,333,000,000","420,000,000","628,000,000","-342,000,000","1,326,000,000","-252,000,000","235,000,000","-73,000,000","1,364,000,000","-199,000,000","291,000,000","-79,000,000","1,268,000,000","-83,000,000","214,000,000","7,000,000","1,574,000,000","-105,000,000","535,000,000","-114,000,000","1,607,000,000","-113,000,000","531,000,000","-156,000,000","1,416,000,000","-76,000,000","535,000,000","-89,000,000","1,279,000,000","-385,000,000","474,000,000","-120,000,000","1,276,000,000","-130,000,000","388,000,000","-183,000,000","1,172,000,000","-129,000,000","241,000,000","-18,000,000","1,203,000,000","-103,000,000","244,000,000","-60,000,000","1,044,000,000","-114,000,000","362,000,000","-118,000,000","951,000,000","-244,000,000","359,000,000","-112,000,000","1,189,000,000","-388,000,000","300,000,000","-336,000,000","1,207,000,000","-448,000,000","129,033,000","-288,033,000","1,314,282,000","-330,802,000","310,755,000","-213,235,000","1,133,750,000","-355,177,000","324,998,000","-170,571,000","1,213,677,000","-238,888,000","191,211,000","-104,000,000","959,181,000","-267,154,000","167,973,000","-65,000,000","1,116,501,000","-162,263,000","157,057,000","-142,295,000","970,814,000","-186,137,000","135,729,000","-151,311,000","886,126,000","-322,900,000","240,200,000","-217,100,000","830,000,000","-167,100,000","22,000,000","-113,900,000","865,800,000","-136,900,000","69,500,000","-208,400,000","790,300,000","-46,500,000","52,800,000","-84,500,000","579,700,000","-218,200,000","114,500,000","-119,300,000","496,400,000","-116,700,000","46,800,000","-65,400,000","323,300,000","100,200,000","57,600,000","-33,000,000","622,800,000","21,400,000","58,300,000","51,600,000","374,100,000","9,400,000","55,200,000","36,900,000","346,900,000","-27,800,000","52,800,000","52,600,000","247,500,000"
		NetIncomeFromContinuingOperations,"705,000,000","99,000,000","81,000,000","434,000,000","91,000,000","120,000,000","155,000,000","594,000,000","88,000,000","374,000,000","277,000,000","860,000,000","330,000,000","-49,000,000","-297,000,000","-192,000,000","-252,000,000","38,000,000","40,000,000","540,000,000","-43,000,000","99,000,000","48,000,000","664,000,000","86,000,000","139,000,000","94,000,000","632,000,000","121,000,000","253,000,000","152,000,000","636,000,000","164,000,000","203,000,000","250,000,000","565,000,000","132,000,000","188,000,000","157,000,000","490,000,000","92,000,000","178,000,000","143,000,000","411,000,000",,,,,,,,"453,000,000","61,000,000","178,000,000","113,000,000","356,000,000","15,000,000","74,000,000","3,000,000","16,000,000","4,000,000","102,000,000","98,000,000","389,000,000","12,000,000","264,000,000","53,000,000","440,000,000","23,000,000","113,620,000","99,380,000","559,086,000","-12,308,000","113,077,000","23,145,000","382,066,000","78,345,000","147,952,000","96,637,000","387,837,000","129,674,000","101,489,000","98,000,000","353,120,000","15,775,000","83,105,000","50,000,000","326,608,000","90,151,000","71,550,000","30,691,000","238,151,000","49,231,000","77,573,000","62,950,000","334,059,000","40,800,000","52,400,000","33,500,000","250,400,000","39,400,000","1,684,300,000","79,500,000","85,300,000","79,700,000","27,500,000","24,900,000","213,400,000","159,500,000","33,100,000","28,200,000","216,200,000","657,300,000","48,800,000","39,200,000","256,700,000","90,500,000","53,800,000","47,300,000","196,300,000","82,200,000","68,300,000","44,200,000","243,900,000","80,000,000","80,100,000","51,500,000","200,300,000","72,900,000","79,200,000","50,900,000","172,100,000","85,000,000","79,000,000","62,300,000","153,100,000"
		OperatingGainsLosses,,"-9,000,000","-7,000,000",,,,,"0","90,000,000","0","105,000,000","-24,000,000","23,000,000",,,"-1,000,000","-2,000,000","40,000,000","-2,000,000","98,000,000","0",,,"45,000,000","0","-11,000,000","-9,000,000","0","-4,000,000","-72,000,000","-4,000,000","-1,000,000","0","3,000,000","-78,000,000",,,,,,,,,"0",,,,"-274,000,000","0","16,000,000","-86,000,000","-45,000,000","0","-47,000,000","-49,000,000","0","0",,,"4,000,000","0","-16,000,000","-110,000,000","1,000,000","-38,000,000","-346,000,000","-6,000,000",,,"3,543,000","-4,543,000","-13,644,000","8,319,000","3,874,000","9,451,000","65,478,000","-51,927,000","-13,502,000","-46,049,000","20,573,000","-128,356,000","-217,000","-67,000,000","10,716,000","-6,124,000","-592,000","35,000,000","44,063,000","-202,195,000","-31,219,000","351,000","36,229,000","1,591,000","10,161,000","4,965,000","18,414,000","2,300,000","16,300,000","2,200,000","32,500,000","1,600,000","-1,647,200,000","-50,100,000","193,600,000","-35,200,000","5,000,000","-6,100,000","32,800,000","-118,800,000","2,200,000","-800,000","-20,000,000",,,,,,,,"0",,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,"0","0",,,"0","0",,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-78,000,000",,,,,,,,,"13,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,"-1,000,000","-2,000,000","0","-2,000,000","-1,000,000","0",,,"0","0","-11,000,000","-9,000,000","0","0","-108,000,000","-4,000,000",,,,,,,,,,,,,,,,,,,,,"0","0","0","-49,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,"0",,,,"-24,000,000",,"0","0","-1,000,000","-2,000,000","0","-2,000,000","-1,000,000","0","-7,000,000","0","0","0","-11,000,000","-9,000,000","0","-4,000,000",,,,,,,,,,,"0",,,,"0","0",,,"-163,000,000","0","16,000,000","0","0","0",,,"0","0","-9,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"244,000,000","66,000,000","63,000,000","59,000,000","56,000,000","53,000,000","53,000,000","53,000,000","52,000,000","129,000,000","129,000,000","128,000,000","127,000,000","127,000,000","139,000,000","145,000,000","148,000,000","150,000,000","145,000,000","146,000,000","148,000,000","148,000,000","148,000,000","145,000,000","144,000,000","140,000,000","142,000,000","140,000,000","133,000,000","124,000,000","121,000,000","122,000,000","111,000,000","113,000,000","111,000,000","111,000,000","108,000,000","109,000,000","110,000,000","108,000,000","97,000,000","102,000,000","100,000,000","102,000,000","96,000,000","96,000,000","95,000,000","101,000,000","94,000,000","98,000,000","98,000,000","103,000,000","97,000,000","97,000,000","97,000,000","105,000,000","97,000,000","97,000,000","94,000,000","93,000,000","82,000,000","84,000,000","84,000,000","88,000,000","81,000,000","88,000,000","95,000,000","86,000,000","78,000,000","77,986,000","74,014,000","78,125,000","70,141,000","72,981,000","77,753,000","105,783,000","74,532,000","77,110,000","75,575,000","54,262,000","73,639,000","78,099,000","77,000,000","73,880,000","80,031,000","82,089,000","74,000,000","65,386,000","77,498,000","68,791,000","65,325,000","76,220,000","64,107,000","67,045,000","63,774,000","64,143,000","64,500,000","68,400,000","75,400,000","71,900,000","69,700,000","69,700,000","74,700,000","86,700,000","76,900,000","74,300,000","75,400,000","73,500,000","71,800,000","72,500,000","71,800,000","71,000,000","73,500,000","71,900,000","69,500,000","70,400,000","69,500,000","59,900,000","68,000,000","68,500,000","63,900,000","70,500,000","68,500,000","65,600,000","67,100,000","52,200,000","62,100,000","61,400,000","55,300,000","54,400,000","51,600,000","50,000,000","47,400,000","44,400,000","42,600,000","44,200,000"
			DepreciationAndAmortization,"244,000,000","66,000,000","63,000,000","59,000,000","56,000,000","53,000,000","53,000,000","53,000,000","52,000,000","129,000,000","129,000,000","128,000,000","127,000,000","127,000,000","139,000,000","145,000,000","148,000,000","150,000,000","145,000,000","146,000,000","148,000,000","148,000,000","148,000,000","145,000,000","144,000,000","140,000,000","142,000,000","140,000,000","133,000,000","124,000,000","121,000,000","122,000,000","111,000,000","113,000,000","111,000,000","111,000,000","108,000,000","109,000,000","110,000,000","108,000,000","97,000,000","102,000,000","100,000,000","102,000,000","96,000,000","96,000,000","95,000,000","101,000,000","94,000,000","98,000,000","98,000,000","103,000,000","97,000,000","97,000,000","97,000,000","105,000,000","97,000,000","97,000,000","94,000,000","93,000,000","82,000,000","84,000,000","84,000,000","88,000,000","81,000,000","88,000,000","95,000,000","86,000,000","78,000,000","77,986,000","74,014,000","78,125,000","70,141,000","72,981,000","77,753,000","105,783,000","74,532,000","77,110,000","75,575,000","54,262,000","73,639,000","78,099,000","77,000,000","73,880,000","80,031,000","82,089,000","74,000,000","65,386,000","77,498,000","68,791,000","65,325,000","76,220,000","64,107,000","67,045,000","63,774,000","64,143,000","64,500,000","68,400,000","75,400,000","71,900,000","69,700,000","69,700,000","74,700,000","86,700,000","76,900,000","74,300,000","75,400,000","73,500,000","71,800,000","72,500,000","71,800,000","71,000,000","73,500,000","71,900,000","69,500,000","70,400,000","69,500,000","59,900,000","68,000,000","68,500,000","63,900,000","70,500,000","68,500,000","65,600,000","67,100,000","52,200,000","62,100,000","61,400,000","55,300,000","54,400,000","51,600,000","50,000,000","47,400,000","44,400,000","42,600,000","44,200,000"
				Depreciation,"244,000,000","66,000,000","63,000,000","59,000,000","56,000,000","53,000,000","53,000,000","53,000,000","52,000,000","129,000,000","129,000,000","128,000,000","127,000,000","127,000,000","139,000,000","145,000,000","148,000,000","150,000,000","145,000,000","146,000,000","148,000,000","148,000,000","148,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,507,000","72,502,000","69,000,000","66,305,000","69,431,000","70,264,000","70,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
