name,ttm,07/31/2023,04/30/2023,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,10/31/2012,07/31/2012,04/30/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991,05/31/1991,02/28/1991,11/30/1990,08/31/1990,05/31/1990
OperatingCashFlow,"2,714,000,000","512,000,000","-331,000,000","1,932,000,000","601,000,000","675,000,000","-1,384,000,000","2,191,000,000","197,000,000","759,000,000","105,000,000","1,020,000,000","119,000,000","2,961,000,000","827,000,000","1,628,000,000","312,000,000","623,000,000","2,000,000","1,301,000,000","-1,000,000","904,000,000","204,000,000","938,000,000","511,000,000","449,000,000","243,000,000","1,150,000,000","107,000,000","805,000,000","483,000,000","859,000,000","155,000,000","318,000,000","-10,000,000","1,161,000,000","287,000,000","179,000,000","308,000,000","770,000,000","305,000,000","24,000,000","-5,000,000","101,000,000","-601,000,000","379,000,000","666,000,000","1,090,000,000","213,000,000","1,324,000,000","645,000,000","461,000,000","-85,000,000","169,000,000","1,527,000,000","441,000,000","291,000,000","-53,000,000","1,957,000,000","-130,000,000","111,000,000","-61,000,000","779,000,000","1,115,000,000","559,000,000","-428,000,000","1,505,000,000","288,000,000","692,000,000","-723,000,000","1,284,000,000","608,000,000","222,000,000","-419,000,000","1,037,000,000","714,000,000","480,000,000","-390,000,000","1,027,000,000","256,000,000","334,000,000","-256,000,000","800,000,000","228,000,000","107,000,000","-468,000,000","800,000,000","396,000,000","471,000,000","-89,000,000","533,595,000","84,570,000","284,416,000","-94,377,000","588,528,000","224,400,000","125,700,000","-178,400,000","471,000,000","172,200,000","117,300,000","-98,100,000","400,900,000","47,000,000","35,500,000","59,000,000","301,700,000","-60,200,000","27,300,000","-289,200,000","392,200,000","-222,600,000","-10,100,000","-60,000,000","326,100,000","-330,400,000","23,800,000","-56,900,000","40,600,000","-81,000,000","-45,800,000","-40,000,000","91,700,000","-43,500,000","-42,200,000","-37,000,000","68,700,000","-52,100,000","-5,800,000","-4,500,000","49,800,000","-10,100,000","-16,400,000","-1,700,000"
	CashFlowFromContinuingOperatingActivities,"2,714,000,000","512,000,000","-331,000,000","1,932,000,000","601,000,000","675,000,000","-1,384,000,000","2,191,000,000","197,000,000","759,000,000","105,000,000","1,020,000,000","119,000,000","2,961,000,000","827,000,000","1,628,000,000","312,000,000","623,000,000","2,000,000","1,301,000,000","-1,000,000","904,000,000","204,000,000","938,000,000","511,000,000","449,000,000","243,000,000","1,150,000,000","107,000,000","805,000,000","483,000,000","859,000,000","155,000,000","318,000,000","-10,000,000","1,161,000,000","287,000,000","179,000,000","308,000,000","770,000,000","305,000,000","24,000,000","-5,000,000","101,000,000","-601,000,000","379,000,000","666,000,000","1,090,000,000","213,000,000","1,324,000,000","645,000,000","461,000,000","-85,000,000","169,000,000","1,527,000,000","441,000,000","291,000,000","-53,000,000","1,957,000,000","-130,000,000","111,000,000","-61,000,000","779,000,000","1,115,000,000","559,000,000","-428,000,000","1,505,000,000","288,000,000","692,000,000","-723,000,000","1,284,000,000","608,000,000","222,000,000","-419,000,000","1,037,000,000","714,000,000","480,000,000","-390,000,000","1,027,000,000","256,000,000","387,000,000","-256,000,000","879,000,000","228,000,000","107,000,000","-468,000,000","800,000,000","396,000,000","471,000,000","-89,000,000","533,595,000","84,570,000","284,416,000","-94,377,000","588,528,000","224,400,000","125,700,000","-178,400,000","471,000,000","172,200,000","117,300,000","-98,100,000","400,900,000","47,000,000","35,500,000","59,000,000","301,700,000","-60,200,000","27,300,000","-289,200,000","392,200,000","-222,600,000","-10,100,000","-60,000,000","326,100,000","-330,400,000","23,800,000","-56,900,000","40,600,000","-81,000,000","-45,800,000","-40,000,000","91,700,000","-43,500,000","-42,200,000","-37,000,000","68,700,000","-52,100,000","-5,800,000","-4,500,000","49,800,000","-10,100,000","-16,400,000","-1,700,000"
		NetIncomeFromContinuingOperations,"1,290,000,000","274,000,000","244,000,000","495,000,000","277,000,000","306,000,000","341,000,000","626,000,000","499,000,000","734,000,000","595,000,000","816,000,000","391,000,000","432,000,000","159,000,000","745,000,000","293,000,000","238,000,000","265,000,000","735,000,000","277,000,000","244,000,000","208,000,000","364,000,000","239,000,000","209,000,000","188,000,000","607,000,000","194,000,000","198,000,000","229,000,000","479,000,000","125,000,000","164,000,000","129,000,000","520,000,000","107,000,000","147,000,000","461,000,000","294,000,000","54,000,000","248,000,000","-73,000,000","1,000,000","-7,000,000","152,000,000","-432,000,000","131,000,000","160,000,000","163,000,000","688,000,000","240,000,000","257,000,000","181,000,000","810,000,000","271,000,000","157,000,000","156,000,000","570,000,000","52,000,000","202,000,000","179,000,000","737,000,000","228,000,000","250,000,000","192,000,000","763,000,000","150,000,000","230,000,000","234,000,000","644,000,000","138,000,000","188,000,000","170,000,000","522,000,000","148,000,000","150,000,000","114,000,000","469,000,000","122,000,000","139,000,000","-25,000,000","753,000,000","85,000,000","-286,000,000","70,000,000","350,000,000","80,000,000","85,000,000","55,000,000","189,670,000","57,263,000","76,748,000","72,158,000","163,770,000","77,000,000","59,000,000","47,300,000","110,200,000","54,300,000","44,200,000","15,700,000","64,100,000","26,400,000","6,600,000","-2,600,000","8,500,000","-11,000,000","3,800,000","400,000","19,800,000","17,800,000","5,700,000","4,700,000","28,200,000","17,700,000","7,600,000","4,200,000","21,400,000","11,200,000","7,600,000","1,500,000","10,800,000","5,200,000","2,700,000","1,200,000","5,100,000","2,300,000","1,800,000","400,000","3,600,000","1,300,000","800,000","-1,200,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","-99,000,000","0","0",,,"20,000,000","0","151,000,000","-28,000,000",,,,"0",,,,,,,,,,,,"26,000,000","15,000,000",,,"-1,000,000","-4,000,000","5,000,000","-3,000,000","-23,000,000","-2,000,000","6,000,000","8,000,000","18,000,000","42,000,000","7,000,000","33,000,000","7,000,000","13,000,000","21,000,000","4,000,000","4,000,000","12,000,000","7,000,000","94,000,000",,"12,000,000",,,"-2,000,000","21,000,000","19,000,000","8,000,000",,,,,,,,,,,,,,,,,"-14,500,000",,,,,,,,"400,000",,,,"-200,000","500,000","-200,000","600,000","300,000","100,000",,,"0","100,000",,,"500,000","0",,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-99,000,000","0","0","-1,000,000","0","20,000,000","0","151,000,000","-28,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"938,000,000","236,000,000","237,000,000","239,000,000","226,000,000","229,000,000","224,000,000","225,000,000","214,000,000","214,000,000","216,000,000","211,000,000","214,000,000","207,000,000","207,000,000","205,000,000","206,000,000","201,000,000","200,000,000","220,000,000","192,000,000","182,000,000","176,000,000","183,000,000","171,000,000","168,000,000","161,000,000","163,000,000","164,000,000","165,000,000","162,000,000","163,000,000","168,000,000","163,000,000","163,000,000","172,000,000","165,000,000","158,000,000","161,000,000","166,000,000","163,000,000","177,000,000","210,000,000","222,000,000","228,000,000","237,000,000","239,000,000","231,000,000","239,000,000","236,000,000","247,000,000","250,000,000","238,000,000","243,000,000","246,000,000","231,000,000","232,000,000","217,000,000","231,000,000","250,000,000","159,000,000","153,000,000","161,000,000","140,000,000","144,000,000","135,000,000","140,000,000","123,000,000","125,000,000","121,000,000","123,000,000","111,000,000","113,000,000","109,000,000","147,000,000","106,000,000","103,000,000","103,000,000","102,000,000","93,000,000","92,000,000","98,000,000","45,000,000","94,000,000","86,000,000","85,000,000","98,000,000","77,000,000","67,000,000","67,000,000","50,405,000","44,497,000","38,685,000","33,782,000","38,441,000","25,000,000","22,500,000","23,600,000","22,000,000","20,100,000","18,700,000","17,600,000","15,700,000","17,300,000","18,200,000","17,100,000","16,100,000","16,800,000","16,900,000","17,000,000","14,600,000","14,300,000","13,200,000","12,800,000","11,600,000","10,400,000","8,500,000","8,100,000","7,300,000","5,700,000","4,900,000","4,500,000","4,800,000","4,000,000","3,000,000","3,000,000","3,000,000","2,500,000","2,300,000","2,200,000","2,200,000","2,000,000","1,900,000","1,700,000"
			DepreciationAndAmortization,"938,000,000","236,000,000","237,000,000","239,000,000","226,000,000","229,000,000","224,000,000","225,000,000","214,000,000","214,000,000","216,000,000","211,000,000","214,000,000","207,000,000","207,000,000","205,000,000","206,000,000","201,000,000","200,000,000","220,000,000","192,000,000","182,000,000","176,000,000","183,000,000","171,000,000","168,000,000","161,000,000","163,000,000","164,000,000","165,000,000","162,000,000","163,000,000","168,000,000","163,000,000","163,000,000","172,000,000","165,000,000","158,000,000","161,000,000","166,000,000","163,000,000","177,000,000","210,000,000","222,000,000","228,000,000","237,000,000","239,000,000","231,000,000","239,000,000","236,000,000","247,000,000","250,000,000","238,000,000","243,000,000","246,000,000","231,000,000","232,000,000","217,000,000","231,000,000","250,000,000","159,000,000","153,000,000","161,000,000","140,000,000","144,000,000","135,000,000","140,000,000","123,000,000","125,000,000","121,000,000","123,000,000","111,000,000","113,000,000","109,000,000","147,000,000","106,000,000","103,000,000","103,000,000","102,000,000","93,000,000","92,000,000","98,000,000","45,000,000","94,000,000","86,000,000","85,000,000","98,000,000","77,000,000","67,000,000","67,000,000","50,405,000","44,497,000","38,685,000","33,782,000","38,441,000","25,000,000","22,500,000","23,600,000","22,000,000","20,100,000","18,700,000","17,600,000","15,700,000","17,300,000","18,200,000","17,100,000","16,100,000","16,800,000","16,900,000","17,000,000","14,600,000","14,300,000","13,200,000","12,800,000","11,600,000","10,400,000","8,500,000","8,100,000","7,300,000","5,700,000","4,900,000","4,500,000","4,800,000","4,000,000","3,000,000","3,000,000","3,000,000","2,500,000","2,300,000","2,200,000","2,200,000","2,000,000","1,900,000","1,700,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,"182,000,000","176,000,000","183,000,000","171,000,000","168,000,000","161,000,000","163,000,000","164,000,000","165,000,000","162,000,000","163,000,000","168,000,000","163,000,000","163,000,000","172,000,000","165,000,000","158,000,000","161,000,000","164,000,000","162,000,000","175,000,000","200,000,000","212,000,000","218,000,000","227,000,000","229,000,000","223,000,000","224,000,000","221,000,000","228,000,000","230,000,000","217,000,000","221,000,000","224,000,000","207,000,000","211,000,000","196,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","2,000,000","1,000,000","2,000,000","10,000,000","10,000,000","10,000,000","10,000,000","10,000,000","8,000,000","15,000,000","15,000,000","19,000,000","20,000,000","21,000,000","22,000,000","22,000,000","24,000,000","21,000,000","21,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
