name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
OperatingCashFlow,"553,400,000","-503,100,000","1,030,800,000","-143,600,000","169,300,000","-634,400,000","1,259,800,000","-688,600,000","563,600,000","122,700,000","599,100,000","269,400,000","701,100,000","325,000,000","163,300,000","237,700,000","77,500,000","199,600,000","118,000,000","226,600,000","-41,200,000","185,800,000","163,500,000","195,500,000","6,800,000","189,800,000","-9,600,000","55,433,000","59,227,000","17,475,000","97,428,000","51,141,000","88,312,000","27,370,000","78,455,000","78,591,000","62,830,000","32,920,000","88,316,000","52,016,000","55,504,000","21,563,000","95,297,000","59,667,000","54,134,000","23,391,000","63,343,000","38,832,000","71,733,000","14,340,000","78,224,000","50,109,000","13,690,000","8,782,000","62,332,000","16,449,000","17,944,000","28,653,000","49,720,000"
	CashFlowFromContinuingOperatingActivities,"553,400,000","-503,100,000","1,030,800,000","-143,600,000","169,300,000","-634,400,000","1,259,800,000","-688,600,000","563,600,000","122,700,000","599,100,000","269,400,000","701,100,000","325,000,000","163,300,000","237,700,000","77,500,000","199,600,000","118,000,000","226,600,000","-41,200,000","185,800,000","163,500,000","195,500,000","6,800,000","189,800,000","-9,600,000","55,433,000","59,227,000","17,475,000","97,428,000","51,141,000","88,312,000","27,370,000","78,455,000","78,591,000","62,830,000","32,920,000","88,316,000","52,016,000","55,504,000","21,563,000","95,297,000","59,667,000","54,134,000","23,391,000","63,343,000","38,832,000","71,733,000","14,340,000","78,224,000","50,109,000","13,690,000","8,782,000","62,332,000","16,449,000","17,944,000","28,653,000","49,720,000"
		NetIncomeFromContinuingOperations,"651,100,000","167,800,000","173,400,000","159,700,000","150,200,000","-184,500,000","109,600,000","165,900,000","120,400,000","105,500,000","137,200,000","87,300,000","109,900,000","113,600,000","157,400,000","86,300,000","105,900,000","83,400,000","95,200,000","138,400,000","85,700,000","83,000,000","118,100,000","257,100,000","60,300,000","68,000,000","15,200,000","45,162,000","40,451,000","50,931,000","49,176,000","50,402,000","67,516,000","44,846,000","42,259,000","49,342,000","48,367,000","42,981,000","49,024,000","46,110,000","41,356,000","46,160,000","42,373,000",,,"38,496,000","33,417,000",,,,"32,871,000","31,377,000","20,453,000","24,890,000","22,676,000","34,904,000","19,160,000","28,109,000","24,278,000"
		OperatingGainsLosses,"-32,200,000","-9,200,000","-15,300,000","500,000","-8,200,000","-6,900,000","3,200,000","400,000","0","0","400,000","-200,000","-200,000","-200,000","-900,000","3,800,000","4,300,000","-4,900,000","-300,000","-100,000","0","-1,300,000","-100,000","-1,100,000","-400,000","-100,000","-200,000","-337,000","-299,000","-217,000","-305,000","-283,000","-64,000","20,000","133,000","119,000","385,000","613,000","762,000","467,000","540,000","491,000","481,000","414,000","368,000","438,000","476,000","208,000","640,000","569,000","160,000","135,000","168,000","308,000","205,000","225,000","197,000","251,000","226,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"0","0","0","0","0","200,000","100,000",,,,,,,,"0","4,400,000","0","-400,000","400,000","0","500,000",,,,,,,"0","7,000","1,000","1,000","0","225,000","222,000","170,000","63,000","66,000","280,000","253,000","0",,,"1,000","1,000","0","0","0","46,000","450,000","569,000","160,000","0","0",,,,"0",,
			GainLossOnInvestmentSecurities,"-1,600,000","-700,000","-900,000","0","0",,,,,,,"0","0","0","-400,000","-100,000","-500,000","-500,000","-200,000","-200,000","-500,000","-1,100,000","400,000","0","-200,000","-300,000","100,000",,,,,,,,,,,,,,,,,,"368,000","438,000","476,000",,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-30,600,000","-8,500,000","-14,400,000","500,000","-8,200,000","400,000","3,100,000","0","0","0","400,000","-200,000","-200,000","-200,000","-500,000","-500,000","2,800,000","-4,000,000","-500,000","100,000","0","-700,000","-500,000","-1,100,000","-200,000","200,000","-300,000","-337,000","-306,000","-218,000","-306,000","-283,000","-289,000","-202,000","-37,000","56,000","319,000","333,000","509,000","467,000","537,000","492,000","480,000",,,,,,,"0","0","135,000","168,000","169,000","205,000","225,000","197,000","251,000","226,000"
		DepreciationAmortizationDepletion,"166,900,000","39,800,000","41,400,000","44,700,000","41,000,000","40,200,000","40,900,000","42,000,000","42,800,000","40,600,000","42,000,000","40,500,000","39,500,000","38,000,000","40,500,000","42,800,000","42,900,000","43,700,000","47,200,000","49,100,000","50,300,000","50,400,000","54,200,000","55,900,000","55,400,000","55,800,000","25,100,000","10,087,000","10,217,000","12,279,000","11,872,000","12,225,000","12,417,000","11,300,000","10,413,000","11,080,000","10,372,000","9,926,000","8,622,000","9,136,000","8,504,000","8,651,000","8,311,000","6,233,000","8,656,000","8,342,000","8,342,000","7,529,000","8,918,000","9,019,000","8,718,000","8,207,000","7,117,000","7,318,000","7,318,000","6,874,000","6,900,000","7,044,000","6,907,000"
			DepreciationAndAmortization,"166,900,000","39,800,000","41,400,000","44,700,000","41,000,000","40,200,000","40,900,000","42,000,000","42,800,000","40,600,000","42,000,000","40,500,000","39,500,000","38,000,000","40,500,000","42,800,000","42,900,000","43,700,000","47,200,000","49,100,000","50,300,000","50,400,000","54,200,000","55,900,000","55,400,000","55,800,000","25,100,000","10,087,000","10,217,000","12,279,000","11,872,000","12,225,000","12,417,000","11,300,000","10,413,000","11,080,000","10,372,000","9,926,000","8,622,000","9,136,000","8,504,000","8,651,000","8,311,000","6,233,000","8,656,000","8,342,000","8,342,000","7,529,000","8,918,000","9,019,000","8,718,000","8,207,000","7,117,000","7,318,000","7,318,000","6,874,000","6,900,000","7,044,000","6,907,000"
