name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992
OperatingCashFlow,"10,843,000,000","2,515,000,000","2,251,000,000","2,651,000,000","3,432,000,000","2,720,000,000","2,440,000,000","2,600,000,000","3,322,000,000","3,122,000,000","2,105,000,000","2,544,000,000","3,544,000,000","1,985,000,000","1,712,000,000","1,429,000,000","2,205,000,000","1,386,000,000","1,322,000,000","1,583,000,000","1,700,000,000","1,646,000,000","551,000,000","1,092,000,000","1,771,000,000","627,000,000","1,013,000,000","1,455,000,000","1,684,000,000","1,133,000,000","1,020,000,000","1,165,000,000","808,000,000","816,000,000","1,075,000,000","1,274,000,000","1,126,000,000","846,000,000","1,250,000,000","1,286,000,000","928,000,000","895,000,000","913,000,000","970,000,000","1,642,000,000","811,000,000","572,000,000","472,000,000","935,000,000","1,060,000,000","1,003,000,000","771,000,000","1,084,000,000","868,000,000","823,000,000","1,003,000,000","1,010,000,000","760,000,000","562,000,000","961,000,000","1,058,000,000","1,067,000,000","1,015,000,000","823,000,000","1,484,000,000","1,158,000,000","1,236,000,000","804,000,000","1,333,000,000","882,000,000","1,086,000,000","809,000,000","1,193,000,000","1,095,688,000","1,210,312,000","875,394,000","1,798,034,000","1,107,788,000","1,172,122,000","1,585,429,000","1,060,234,000","978,266,000","600,637,000","833,081,000","1,020,812,000","427,238,000","143,857,000","391,683,000","487,977,000","84,666,000","388,679,000","-52,654,000","-170,641,000","-119,869,000","-84,008,000","-175,452,000","147,900,000","-76,800,000","-71,400,000","-121,130,000","73,100,000","63,100,000","51,700,000","24,723,000","40,700,000","129,900,000","86,800,000","177,860,000","130,300,000","168,000,000","145,200,000","78,100,000","149,700,000","62,500,000","146,700,000","86,600,000","110,500,000","38,200,000","101,500,000","-31,600,000","67,000,000","74,500,000","13,400,000"
	CashFlowFromContinuingOperatingActivities,"10,843,000,000","2,515,000,000","2,251,000,000","2,651,000,000","3,432,000,000","2,720,000,000","2,440,000,000","2,600,000,000","3,322,000,000","3,122,000,000","2,105,000,000","2,544,000,000","3,544,000,000","1,985,000,000","1,712,000,000","1,429,000,000","2,205,000,000","1,386,000,000","1,322,000,000","1,583,000,000","1,700,000,000","1,646,000,000","551,000,000","1,092,000,000","1,771,000,000","627,000,000","1,013,000,000","1,455,000,000","1,684,000,000","1,133,000,000","1,020,000,000","1,165,000,000","808,000,000","816,000,000","1,075,000,000","1,274,000,000","1,126,000,000","846,000,000","1,250,000,000","1,286,000,000","928,000,000","895,000,000","913,000,000","970,000,000","1,642,000,000","811,000,000","572,000,000","472,000,000","935,000,000","1,060,000,000","1,003,000,000","771,000,000","1,084,000,000","868,000,000","823,000,000","1,003,000,000","1,010,000,000","760,000,000","562,000,000","961,000,000","1,058,000,000","1,067,000,000","1,015,000,000","823,000,000","1,484,000,000","1,158,000,000","1,236,000,000","804,000,000","1,333,000,000","882,000,000","1,086,000,000","809,000,000","1,193,000,000","1,095,688,000","1,210,312,000","875,394,000","1,798,034,000","1,107,788,000","1,172,122,000","1,585,429,000","1,060,234,000","978,266,000","600,637,000","833,081,000","1,020,812,000","427,238,000","143,857,000","391,683,000","487,977,000","84,666,000","388,679,000","-52,654,000","-170,641,000","-119,869,000","-84,008,000","-175,452,000","147,900,000","-76,800,000","-71,400,000","-121,130,000","73,100,000","63,100,000","51,700,000","24,723,000","40,700,000","129,900,000","86,800,000","177,860,000","130,300,000","168,000,000","145,200,000","78,100,000","149,700,000","62,500,000","146,700,000","86,600,000","110,500,000","38,200,000","101,500,000","-31,600,000","67,000,000","74,500,000","13,400,000"
		NetIncomeFromContinuingOperations,"5,855,000,000","1,793,000,000","1,892,000,000","1,312,000,000","812,000,000","1,215,000,000","1,974,000,000","2,141,000,000","1,833,000,000","2,265,000,000","2,300,000,000","2,418,000,000","1,194,000,000","-331,000,000","252,000,000","1,173,000,000","1,091,000,000","1,150,000,000","1,040,000,000","355,000,000","1,231,000,000","1,294,000,000","1,082,000,000","1,533,000,000","-70,000,000","1,305,000,000","1,093,000,000","1,610,000,000","1,360,000,000","726,000,000","439,000,000","683,000,000","528,000,000","942,000,000","681,000,000","555,000,000","785,000,000","779,000,000","734,000,000","998,000,000","916,000,000","891,000,000","953,000,000","765,000,000","640,000,000","328,000,000","973,000,000","750,000,000","-31,000,000","607,000,000","259,000,000","1,001,000,000","675,000,000","677,000,000","755,000,000","953,000,000","494,000,000","535,000,000","567,000,000","20,000,000","54,000,000","746,000,000","377,000,000","572,000,000","656,000,000","649,000,000","701,000,000","665,000,000","578,000,000","573,000,000","489,000,000","236,000,000","-112,000,000","470,972,000","433,028,000","281,875,000","-2,620,000","413,009,000","446,825,000","444,605,000","354,965,000","370,468,000","247,444,000","-168,646,000","-56,510,000","103,900,000","197,805,000","46,265,000","-442,590,000","131,517,000","118,394,000","113,788,000","140,753,000","113,928,000","174,513,000","152,063,000","69,100,000","129,100,000","238,500,000","39,651,000","171,500,000","236,200,000","112,800,000","127,654,000","130,000,000","78,000,000","125,700,000","86,933,000","52,500,000","56,800,000","93,500,000","86,900,000","97,400,000","51,900,000","1,400,000","44,700,000","-205,300,000","17,800,000","97,100,000","62,300,000","57,900,000","64,300,000","39,000,000"
		OperatingGainsLosses,"678,000,000","94,000,000","-263,000,000","342,000,000","494,000,000","575,000,000","-462,000,000","-2,752,000,000","21,000,000","33,000,000","-887,000,000","-571,000,000","141,000,000","-30,000,000","958,000,000","55,000,000","155,000,000","223,000,000","97,000,000","687,000,000","-19,000,000","-18,000,000","2,000,000","0","10,000,000","-101,000,000","7,000,000","-365,000,000","-100,000,000","216,000,000","394,000,000","60,000,000","397,000,000","-126,000,000","89,000,000","210,000,000","120,000,000","73,000,000","104,000,000","-154,000,000","-40,000,000","-104,000,000","-206,000,000","-272,000,000","60,000,000","394,000,000","-260,000,000","-83,000,000","760,000,000","73,000,000","45,000,000","-305,000,000","50,000,000","-9,000,000","-168,000,000","-373,000,000","223,000,000","225,000,000","121,000,000","644,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"464,000,000","159,000,000","77,000,000","-375,000,000","937,000,000","504,000,000","-101,000,000","-319,000,000","21,000,000","33,000,000","-887,000,000","-571,000,000","141,000,000","-30,000,000","958,000,000","55,000,000","155,000,000","223,000,000","97,000,000","687,000,000","-19,000,000","-18,000,000","2,000,000","0","10,000,000","-101,000,000","7,000,000","-365,000,000","-100,000,000","216,000,000","394,000,000","60,000,000","397,000,000","-126,000,000","89,000,000","210,000,000","120,000,000","73,000,000","104,000,000","-154,000,000","-40,000,000","-104,000,000","-206,000,000","-272,000,000","60,000,000","394,000,000","-260,000,000","-83,000,000","760,000,000","73,000,000","45,000,000","-305,000,000","50,000,000","-9,000,000","-168,000,000","-373,000,000","223,000,000","225,000,000","121,000,000","644,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-185,000,000","-120,000,000","-340,000,000","176,000,000","98,000,000","71,000,000","-361,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortization,"285,000,000","70,000,000","72,000,000","74,000,000","69,000,000","71,000,000","71,000,000","71,000,000","71,000,000","73,000,000","72,000,000","73,000,000","72,000,000","72,000,000","73,000,000","76,000,000","76,000,000","77,000,000","76,000,000","86,000,000","83,000,000","85,000,000","85,000,000","260,000,000","0","0","0","144,000,000","320,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000","-1,000,000","1,000,000","-4,000,000","-2,000,000","-10,000,000","1,000,000","3,000,000","16,000,000","10,000,000","26,000,000","22,755,000","31,245,000","26,728,000","26,520,000","27,936,000","25,972,000",,"27,881,000","22,949,000","15,724,000",,,,,"19,907,000","19,912,000","19,872,000","19,880,000","19,931,000","19,919,000","19,324,000","19,646,000","24,950,000","4,700,000","-1,400,000","2,400,000","-6,396,000","2,000,000","-4,400,000","-900,000","-1,804,000","-1,800,000","-900,000","-1,600,000","-3,447,000","-1,700,000","-200,000","-2,500,000","-2,500,000","-2,300,000","-4,500,000","-3,300,000",,,,,,,,
			AmortizationCashFlow,"285,000,000","70,000,000","72,000,000","74,000,000","69,000,000","71,000,000","71,000,000","71,000,000","71,000,000","73,000,000","72,000,000","73,000,000","72,000,000","72,000,000","73,000,000","76,000,000","76,000,000","77,000,000","76,000,000","86,000,000","83,000,000","85,000,000","85,000,000","260,000,000","0","0","0","144,000,000","320,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","19,907,000","19,912,000","19,872,000","19,880,000","19,931,000","19,919,000","19,324,000","19,646,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangibles,"285,000,000","70,000,000","72,000,000","74,000,000","69,000,000","71,000,000","71,000,000","71,000,000","71,000,000","73,000,000","72,000,000","73,000,000","72,000,000","72,000,000","73,000,000","76,000,000","76,000,000","77,000,000","76,000,000","86,000,000","83,000,000","85,000,000","85,000,000","260,000,000","0","0","0","144,000,000","320,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","19,907,000","19,912,000","19,872,000","19,880,000","19,931,000","19,919,000","19,324,000","19,646,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"67,000,000","34,000,000","9,000,000","139,000,000","-117,000,000","17,000,000","93,000,000","194,000,000","-240,000,000","-28,000,000","0","-46,000,000","15,000,000","-289,000,000","-13,000,000","81,000,000","-45,000,000","-57,000,000","-76,000,000","-30,000,000","117,000,000","-69,000,000","-2,000,000","-376,000,000","-39,000,000","15,000,000","-127,000,000","109,000,000","-61,000,000","90,000,000","-42,000,000","60,000,000","-55,000,000","101,000,000","7,000,000","104,000,000","-76,000,000","117,000,000","0","71,000,000","71,000,000","63,000,000","35,000,000","-53,000,000","45,000,000","2,000,000","-1,000,000","14,000,000","-42,000,000","28,000,000","19,000,000","132,000,000","32,000,000","14,000,000","-62,000,000","103,000,000","-54,000,000","-48,000,000","-20,000,000","-111,000,000","-42,000,000","0","12,000,000","42,000,000","-33,000,000","53,000,000","-37,000,000","-32,000,000","-31,000,000","49,000,000","71,000,000","-26,000,000","-79,000,000","34,172,000","55,828,000","-179,599,000","13,796,000","90,218,000","55,082,000","48,599,000","40,571,000","71,123,000","45,757,000","-154,209,000","-30,646,000","15,306,000","24,429,000","-48,454,000","-85,711,000","23,857,000","-7,750,000","10,765,000","-4,822,000","31,978,000","-4,094,000","-56,353,000","21,800,000","-900,000","-17,500,000",,,,,,,,,,,,,,,,,,,,,,,,
