Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,38.537197,38.537197,35.094776,36.391273,30.919096,2261684
2001-01-03,35.139484,40.414879,34.021816,40.146637,34.109772,4502678
2001-01-04,40.683121,42.694920,39.565453,41.666668,35.401230,4398388
2001-01-05,40.951359,41.666668,38.268955,39.386623,33.464043,3277052
2001-01-08,38.805435,39.878399,37.419529,38.090130,32.362480,2273288
2001-01-09,38.268955,39.297211,37.061874,37.911301,32.210560,2474180
2001-01-10,37.553650,39.744278,37.464233,39.565453,33.615974,2405958
2001-01-11,39.967812,41.264305,38.403076,41.174892,34.983395,3517088
2001-01-12,41.174892,41.487839,39.833691,40.146637,34.109772,2549253
2001-01-16,40.236053,41.666668,39.565453,41.621960,35.363243,2600979
2001-01-17,42.158440,45.198498,42.158440,44.304363,37.642303,8383107
2001-01-18,44.304363,48.640915,43.186695,48.327969,41.060886,6978536
2001-01-19,48.283260,48.283260,46.182045,46.897354,39.845390,6185171
2001-01-22,46.942059,46.942059,43.902004,44.885551,38.136093,2822422
2001-01-23,44.840843,45.779686,43.991417,44.885551,38.136093,3067911
2001-01-24,45.064377,45.332619,41.487839,41.487839,35.249290,5283881
2001-01-25,40.549000,41.040771,38.626610,39.520744,33.577988,4284311
2001-01-26,38.850143,39.833691,37.687767,39.073677,33.198147,3729864
2001-01-29,39.699570,40.414879,38.626610,38.927040,33.073559,3051275
2001-01-30,39.592274,39.592274,38.984264,39.163090,33.274124,2389462
2001-01-31,39.341915,39.878399,38.125893,39.020027,33.152569,2555544
2001-02-01,38.197426,38.662376,37.374821,38.483547,32.696754,3490526
2001-02-02,38.533619,39.155937,37.195995,37.339054,31.724373,3020938
2001-02-05,38.340485,38.583691,34.334763,35.193134,29.901125,3698968
2001-02-06,35.336197,37.553650,35.336197,36.459229,30.976845,3243360
2001-02-07,36.051502,36.552216,35.157368,35.865520,30.472412,1774481
2001-02-08,35.944206,39.155937,35.944206,38.776825,32.945930,4129133
2001-02-09,38.783978,39.141632,37.210300,37.553650,31.906689,2443704
2001-02-12,37.410587,37.904148,36.015736,36.566525,31.067995,3014368
2001-02-13,36.480686,36.909870,33.876968,33.884121,28.788950,4389720
2001-02-14,34.513592,35.050072,34.170242,34.334763,29.171829,4302345
2001-02-15,35.550789,39.341915,35.472103,38.519314,32.727158,3954802
2001-02-16,35.765381,36.123032,34.799713,35.765381,30.387323,5005120
2001-02-20,35.193134,35.371960,30.758226,31.473534,26.740849,6347759
2001-02-21,30.042917,30.221745,28.040056,28.755365,24.431408,9363664
2001-02-22,28.576538,29.041489,27.539343,27.947067,23.744658,6720046
2001-02-23,27.954220,28.161659,25.429186,27.396280,23.276693,5408582
2001-02-26,26.959944,27.718168,26.680973,27.396280,23.276693,3722175
2001-02-27,27.002861,28.369099,26.387697,27.288984,23.185528,3646403
2001-02-28,27.467812,27.753935,25.608011,25.751074,21.878872,3531208
2001-03-01,25.679543,27.896996,24.606581,27.403433,23.282774,5090817
2001-03-02,26.072962,28.783978,26.065807,27.203148,23.112600,3432090
2001-03-05,27.210300,28.061516,26.537910,27.217455,23.124748,2032832
2001-03-06,27.968527,29.556509,27.968527,29.041489,24.674501,3737693
2001-03-07,30.257511,30.314735,29.041489,29.299000,24.893295,2736725
2001-03-08,29.306152,29.484980,28.326180,28.612303,24.309860,2838220
2001-03-09,27.968527,28.233191,26.216022,26.502146,22.517008,2820745
2001-03-12,25.751074,26.180258,25.035765,25.042917,21.277203,3404130
2001-03-13,25.464951,26.380545,25.143063,26.165951,22.231359,2649769
2001-03-14,25.178827,26.244635,24.992847,25.250359,21.453449,3685268
2001-03-15,25.393419,26.158798,24.699572,24.928469,21.179970,2882257
2001-03-16,24.606581,25.572247,24.291845,24.856937,21.119188,4145909
2001-03-19,24.749641,26.859800,24.041489,26.459227,22.480543,2405539
2001-03-20,25.929899,25.929899,24.535049,24.535049,20.845703,4223218
2001-03-21,23.619455,24.134478,21.173103,22.603720,19.204788,8677666
2001-03-22,22.818312,25.021460,22.775393,24.892704,21.149576,4605012
2001-03-23,24.892704,28.254648,24.892704,27.060085,22.991051,5074740
2001-03-26,26.552217,26.924177,25.851215,26.516453,22.529165,2916927
2001-03-27,26.466381,26.487841,25.565092,26.416309,22.444075,2694785
2001-03-28,25.107296,25.193132,23.247496,23.390558,19.873308,4258867
2001-03-29,22.889843,23.733906,21.459227,21.459227,18.232391,8742533
2001-03-30,21.888412,22.768240,21.602289,21.981401,18.676048,5381042
2001-04-02,23.068670,23.297567,21.673820,22.067240,18.748980,3512475
2001-04-03,21.530758,21.816881,20.028612,21.101574,17.928520,5082848
2001-04-04,20.536482,21.030043,19.856937,20.092991,17.071596,2869535
2001-04-05,20.565092,22.317596,20.536482,21.902718,18.609194,3350447
2001-04-06,18.597998,19.957083,17.882690,19.885551,16.895351,7364944
2001-04-09,19.685265,20.214592,19.334764,19.742489,16.773800,2894140
2001-04-10,20.171675,21.802574,19.928469,21.351931,18.141228,2968933
2001-04-11,22.353361,23.319027,22.174536,22.660944,19.253408,3331015
2001-04-12,22.174536,24.678112,21.466381,24.291845,20.639069,3337585
2001-04-16,23.748213,23.998569,23.118740,23.834049,20.250113,2173890
2001-04-17,23.068670,24.299000,22.725323,23.841202,20.256189,1803560
2001-04-18,24.678112,27.811159,24.463518,27.174536,23.088287,4993376
2001-04-19,26.745352,28.969957,26.745352,27.889843,23.696033,3886300
2001-04-20,27.882690,29.327612,27.546495,28.898426,24.552958,3567277
2001-04-23,28.254648,28.612303,27.339056,28.612303,24.309860,2869954
2001-04-24,27.825464,28.075823,26.108727,26.623749,22.620323,2702334
2001-04-25,26.466381,27.896996,26.130186,27.775393,23.598797,2332283
2001-04-26,27.360516,29.306152,27.181688,27.188841,23.100451,2971030
2001-04-27,28.183119,28.755365,27.360516,27.746780,23.574486,1713529
2001-04-30,28.183119,28.791130,27.782545,27.904148,23.708183,1690042
2001-05-01,27.110157,28.218884,26.852648,28.040056,23.823656,2142435
2001-05-02,28.540773,28.934193,28.047211,28.412018,24.139688,1801183
2001-05-03,28.075823,28.075823,27.095852,27.503576,23.367853,1661663
2001-05-04,27.324751,27.968527,26.537910,27.446352,23.319229,2497527
2001-05-07,26.895565,27.961372,26.752504,27.711016,23.544098,2066663
2001-05-08,27.825464,28.326180,27.060085,27.482117,23.349617,1601269
2001-05-09,27.110157,28.569386,26.824034,27.896996,23.702112,2517379
2001-05-10,28.612303,29.456366,27.939915,28.047211,23.829741,2468169
2001-05-11,28.111588,28.884121,28.111588,28.390558,24.121460,2059813
2001-05-14,28.483547,28.490702,27.195993,27.718168,23.550171,1747081
2001-05-15,27.074392,27.811159,26.466381,26.788269,22.760111,2367233
2001-05-16,26.080114,27.539343,25.393419,27.539343,23.398237,3199043
2001-05-17,27.181688,28.254648,26.838341,27.696711,23.531939,2991580
2001-05-18,27.181688,27.861231,25.536482,25.751074,21.878872,9310820
2001-05-21,25.751074,27.396280,25.536482,27.181688,23.094366,6312949
2001-05-22,27.718168,28.469242,27.060085,28.075823,23.854042,3514712
2001-05-23,27.432047,27.496424,26.824034,27.131617,23.051834,3483816
2001-05-24,27.131617,27.253220,25.965666,25.965666,22.061193,2746930
2001-05-25,26.323318,27.539343,26.323318,26.959944,22.905968,2057576
2001-05-29,26.931330,26.931330,25.422031,25.715307,21.848484,2223379
2001-05-30,24.391989,24.892704,23.404863,23.512159,19.976622,3547425
2001-05-31,23.605150,24.320457,23.068670,23.991417,20.383820,4622767
2001-06-01,24.678112,24.856937,23.004292,24.299000,20.645144,2389601
2001-06-04,24.320457,24.456366,23.819742,23.962805,20.359503,2207442
2001-06-05,23.962805,24.570814,23.962805,24.391989,20.724150,3288795
2001-06-06,24.391989,24.964235,23.977110,24.513592,20.827471,2005990
2001-06-07,23.962805,26.072962,23.962805,25.636623,21.781631,2929229
2001-06-08,25.207439,25.536482,24.928469,25.042917,21.277203,1315658
2001-06-11,24.606581,25.035765,23.719599,24.155937,20.523600,3188419
2001-06-12,23.619455,24.070101,22.961372,23.819742,20.237961,2875686
2001-06-13,23.962805,24.270386,23.347639,23.347639,19.836843,1588687
2001-06-14,22.997139,23.004292,21.709585,22.246065,18.900917,3332133
2001-06-15,21.473534,22.145924,20.743919,21.788269,18.511955,4001635
2001-06-18,21.673820,22.224607,20.944206,21.459227,18.232391,2492634
2001-06-19,21.816881,21.945637,20.743919,20.972818,17.819130,3296344
2001-06-20,20.972818,21.030043,19.492132,20.329041,17.272146,4626122
2001-06-21,20.565092,21.208870,20.257511,21.158798,17.977144,3120616
2001-06-22,20.743919,21.716738,20.572247,21.030043,17.867748,3436703
2001-06-25,21.065807,21.423462,20.886980,21.208870,18.019691,2315927
2001-06-26,20.958511,21.423462,20.371960,20.886980,17.746197,3507582
2001-06-27,20.350500,21.816881,20.350500,21.351931,18.141228,3380364
2001-06-28,21.459227,22.818312,21.459227,22.668097,19.259485,4211056
2001-06-29,22.532188,24.391989,22.031473,23.247496,19.751757,5617723
2001-07-02,23.247496,23.962805,22.904148,23.669527,20.110331,2152361
2001-07-03,23.748213,23.748213,23.118740,23.261803,19.763914,938897
2001-07-05,23.254648,23.562231,22.567953,23.011444,19.551205,2075191
2001-07-06,22.818312,22.818312,20.844063,21.566525,18.323557,2225896
2001-07-09,21.566525,21.924177,21.180258,21.394850,18.177689,1387934
2001-07-10,21.394850,21.745352,20.085836,20.243204,17.199221,3387773
2001-07-11,20.278971,20.565092,18.741058,19.220316,16.330149,4336736
2001-07-12,20.386267,22.532188,20.243204,21.988556,18.682131,3449006
2001-07-13,21.995708,22.954220,21.330473,21.673820,18.414719,2782020
2001-07-16,21.566525,21.917025,20.386267,20.672388,17.563873,2229810
2001-07-17,20.207439,21.416309,20.035765,21.101574,17.928520,2932165
2001-07-18,20.100143,20.915594,20.100143,20.379112,17.314699,1461190
2001-07-19,20.486408,21.816881,20.486408,20.715307,17.600334,1882267
2001-07-20,20.536482,21.015738,19.957083,20.672388,17.563873,2055619
2001-07-23,20.736767,20.994278,19.706724,19.821173,16.840656,2068481
2001-07-24,19.742489,19.992847,19.313305,19.635193,16.682640,2478794
2001-07-25,19.599428,19.914164,19.256081,19.914164,16.919668,2293000
2001-07-26,20.028612,21.137339,19.778255,20.894135,17.752270,2545339
2001-07-27,20.851215,21.595137,20.608011,21.530758,18.293165,1849135
2001-07-30,20.779684,21.423462,20.779684,21.044350,17.879902,1809012
2001-07-31,20.779684,21.673820,20.336195,20.464951,17.387619,2143274
2001-08-01,21.101574,22.811159,20.901287,22.711016,19.295944,3514572
2001-08-02,22.532188,23.390558,22.281832,22.711016,19.295944,2576933
2001-08-03,22.317596,23.140200,22.260372,22.389128,19.022465,1418131
2001-08-06,22.396280,22.517883,21.824034,22.045780,18.730742,1707797
2001-08-07,22.045780,22.746780,21.816881,22.195993,18.858376,1478105
2001-08-08,21.244635,21.888412,20.686695,20.708155,17.594269,3093774
2001-08-09,20.708155,20.708155,20.042917,20.486408,17.405857,1616368
2001-08-10,20.493563,20.600859,19.678112,20.450644,17.375465,2393516
2001-08-13,20.743919,20.994278,20.171675,20.686695,17.576025,1203958
2001-08-14,20.743919,21.244635,20.743919,21.130186,17.952831,2181859
2001-08-15,20.672388,20.872675,19.642345,19.921316,16.925737,1619024
2001-08-16,19.492132,19.849785,19.027182,19.670959,16.713026,2513045
2001-08-17,19.527897,19.527897,18.726753,18.919886,16.074903,2154877
2001-08-20,18.669527,18.855509,18.090130,18.662374,15.856104,2238058
2001-08-21,18.025751,19.313305,17.381973,18.919886,16.074903,7619100
2001-08-22,19.206009,19.306152,18.597998,18.869814,16.032356,2534294
2001-08-23,18.869814,19.163090,18.519314,18.719599,15.904727,3637736
2001-08-24,18.955650,20.064379,18.812590,19.878399,16.889265,1958598
2001-08-27,20.050072,20.057224,19.349070,19.427753,16.506392,1373815
2001-08-28,19.456366,19.885551,19.141630,19.670959,16.713026,1880450
2001-08-29,19.599428,19.742489,19.391989,19.420601,16.500317,1934692
2001-08-30,19.241774,19.706724,18.533619,18.633762,15.831802,1991451
