Date,Open,High,Low,Close,Adj Close,Volume
1990-10-24,0.925000,0.941667,0.916667,0.941667,0.528338,697500
1990-10-25,0.950000,0.950000,0.941667,0.950000,0.533014,532500
1990-10-26,0.933333,0.950000,0.933333,0.950000,0.533014,613500
1990-10-29,0.950000,1.008333,0.950000,1.008333,0.565742,2691000
1990-10-30,1.000000,1.000000,0.991667,0.991667,0.556392,982500
1990-10-31,1.000000,1.008333,0.991667,0.991667,0.556392,1303500
1990-11-01,0.991667,1.000000,0.991667,1.000000,0.561067,1413000
1990-11-02,1.000000,1.016667,0.991667,1.016667,0.570418,2605500
1990-11-05,1.016667,1.025000,0.991667,1.000000,0.561067,1417500
1990-11-06,1.000000,1.000000,0.991667,1.000000,0.561067,495000
1990-11-07,1.000000,1.000000,0.983333,0.991667,0.556392,442500
1990-11-08,0.983333,0.991667,0.975000,0.975000,0.547040,897000
1990-11-09,0.975000,0.983333,0.966667,0.975000,0.550427,1174500
1990-11-12,0.983333,1.000000,0.983333,1.000000,0.564541,816000
1990-11-13,1.000000,1.008333,0.991667,1.008333,0.569245,1000500
1990-11-14,1.000000,1.008333,0.991667,1.000000,0.564541,1375500
1990-11-15,1.000000,1.033333,1.000000,1.033333,0.583359,1780500
1990-11-16,1.025000,1.041667,1.016667,1.025000,0.578654,1681500
1990-11-19,1.050000,1.066667,1.041667,1.066667,0.602177,2371500
1990-11-20,1.066667,1.100000,1.050000,1.083333,0.611586,2157000
1990-11-21,1.075000,1.083333,1.066667,1.083333,0.611586,1377000
1990-11-23,1.091667,1.108333,1.083333,1.083333,0.611586,1867500
1990-11-26,1.083333,1.091667,1.066667,1.083333,0.611586,1009500
1990-11-27,1.083333,1.100000,1.075000,1.100000,0.620995,1018500
1990-11-28,1.100000,1.141667,1.100000,1.116667,0.630404,2019000
1990-11-29,1.116667,1.141667,1.116667,1.125000,0.635109,2209500
1990-11-30,1.125000,1.125000,1.116667,1.125000,0.635109,2080500
1990-12-03,1.133333,1.158333,1.133333,1.158333,0.653926,2154000
1990-12-04,1.158333,1.158333,1.125000,1.133333,0.639813,1623000
1990-12-05,1.116667,1.133333,1.116667,1.125000,0.635109,810000
1990-12-06,1.133333,1.141667,1.125000,1.133333,0.639813,2064000
1990-12-07,1.141667,1.175000,1.125000,1.175000,0.663336,2956500
1990-12-10,1.175000,1.183333,1.150000,1.175000,0.663336,1857000
1990-12-11,1.166667,1.183333,1.141667,1.183333,0.668040,2596500
1990-12-12,1.175000,1.250000,1.175000,1.216667,0.686858,4990500
1990-12-13,1.216667,1.233333,1.200000,1.216667,0.686858,2358000
1990-12-14,1.208333,1.233333,1.200000,1.233333,0.696267,3532500
1990-12-17,1.216667,1.216667,1.191667,1.200000,0.677450,1779000
1990-12-18,1.200000,1.258333,1.200000,1.250000,0.705677,3189000
1990-12-19,1.258333,1.266667,1.250000,1.266667,0.715086,4777500
1990-12-20,1.250000,1.275000,1.241667,1.275000,0.719790,2478000
1990-12-21,1.275000,1.283333,1.258333,1.283333,0.724494,2427000
1990-12-24,1.283333,1.283333,1.250000,1.258333,0.710381,726000
1990-12-26,1.266667,1.275000,1.258333,1.275000,0.719790,1542000
1990-12-27,1.266667,1.283333,1.258333,1.283333,0.724494,3265500
1990-12-28,1.266667,1.283333,1.266667,1.275000,0.719790,1155000
1990-12-31,1.275000,1.275000,1.250000,1.275000,0.719790,1479000
1991-01-02,1.266667,1.275000,1.241667,1.258333,0.710381,3477000
1991-01-03,1.250000,1.250000,1.200000,1.200000,0.677450,2038500
